supplier_id,supplier_name,lead_time_days,Total_Sales
S03826,"Dufil Prima Foods 3826",14,2312289.18
S09494,"Flour Mills Nigeria 9494",7,2311928.34
S00960,"Dufil Prima Foods 960",3,2303114.11
S04919,"Flour Mills Nigeria 4919",12,2301859.28
S07448,"Dufil Prima Foods 7448",7,2296306.09
S05897,"Flour Mills Nigeria 5897",6,2294901.92
S07293,"Flour Mills Nigeria 7293",10,2289120.16
S08671,"Dufil Prima Foods 8671",1,2282172.10
S08752,"Nestle Nigeria 8752",13,2280537.63
S05669,"Dangote Sugar 5669",4,2279107.46
S04293,"Nestle Nigeria 4293",11,2271552.44
S00929,"Dangote Sugar 929",8,2271126.40
S04318,"Dufil Prima Foods 4318",13,2264609.64
S06875,"Dufil Prima Foods 6875",9,2258981.92
S04329,"Flour Mills Nigeria 4329",5,2253161.21
S03955,"Flour Mills Nigeria 3955",2,2251721.24
S03940,"Dangote Sugar 3940",10,2244622.46
S08526,"Nestle Nigeria 8526",12,2231794.90
S01744,"Nestle Nigeria 1744",3,2218871.96
S01717,"Dufil Prima Foods 1717",6,2215827.22
S01312,"Dufil Prima Foods 1312",12,2212298.60
S01807,"Flour Mills Nigeria 1807",14,2205594.21
S03784,"Nestle Nigeria 3784",13,2188874.08
S03040,"Dufil Prima Foods 3040",8,2187750.96
S02606,"Dufil Prima Foods 2606",10,2186656.92
S01447,"Flour Mills Nigeria 1447",10,2179727.76
S00722,"Dangote Sugar 722",4,2178140.75
S01667,"Nestle Nigeria 1667",10,2177827.56
S03645,"Dufil Prima Foods 3645",9,2176693.82
S04328,"Nestle Nigeria 4328",9,2172910.08
S05040,"Dangote Sugar 5040",1,2171220.80
S01218,"Dufil Prima Foods 1218",5,2170877.28
S08524,"Flour Mills Nigeria 8524",11,2168336.00
S08329,"Nestle Nigeria 8329",7,2166921.72
S00855,"Dangote Sugar 855",11,2161410.21
S04493,"Dangote Sugar 4493",13,2161050.62
S01529,"Flour Mills Nigeria 1529",13,2158512.60
S03614,"Dufil Prima Foods 3614",10,2153100.02
S02600,"Nestle Nigeria 2600",3,2152258.65
S08059,"Dangote Sugar 8059",12,2135714.16
S06029,"Flour Mills Nigeria 6029",5,2133779.12
S01526,"Flour Mills Nigeria 1526",12,2130438.70
S05902,"Flour Mills Nigeria 5902",9,2130354.38
S09708,"Nestle Nigeria 9708",11,2129531.19
S02400,"Flour Mills Nigeria 2400",9,2113799.95
S08446,"Dufil Prima Foods 8446",12,2113579.85
S05682,"Nestle Nigeria 5682",14,2106379.59
S06363,"Dangote Sugar 6363",10,2106044.46
S06473,"Dangote Sugar 6473",14,2103418.80
S03144,"Dufil Prima Foods 3144",10,2100001.83
S02366,"Dangote Sugar 2366",3,2097693.62
S09408,"Nestle Nigeria 9408",5,2094601.90
S00257,"Nestle Nigeria 257",10,2093517.77
S05570,"Nestle Nigeria 5570",13,2089827.52
S04545,"Flour Mills Nigeria 4545",1,2087816.34
S03821,"Nestle Nigeria 3821",13,2087653.17
S09095,"Nestle Nigeria 9095",2,2086387.81
S02497,"Dufil Prima Foods 2497",5,2082481.69
S03972,"Nestle Nigeria 3972",4,2081244.72
S04426,"Dufil Prima Foods 4426",11,2078987.56
S05264,"Dangote Sugar 5264",11,2077535.35
S00502,"Flour Mills Nigeria 502",12,2073887.87
S00423,"Nestle Nigeria 423",4,2067348.53
S09461,"Nestle Nigeria 9461",10,2064947.22
S01669,"Nestle Nigeria 1669",8,2064798.96
S03188,"Flour Mills Nigeria 3188",11,2061134.01
S07646,"Nestle Nigeria 7646",7,2053452.64
S03090,"Dufil Prima Foods 3090",13,2052822.30
S04948,"Flour Mills Nigeria 4948",3,2052043.32
S04119,"Dangote Sugar 4119",7,2046041.04
S05222,"Flour Mills Nigeria 5222",13,2041935.84
S00023,"Nestle Nigeria 23",6,2038528.62
S01574,"Dangote Sugar 1574",6,2035870.67
S07168,"Dufil Prima Foods 7168",9,2035035.29
S07541,"Dufil Prima Foods 7541",1,2034954.78
S05806,"Flour Mills Nigeria 5806",6,2034827.75
S05785,"Nestle Nigeria 5785",1,2029162.24
S07123,"Flour Mills Nigeria 7123",11,2027230.64
S02340,"Dufil Prima Foods 2340",9,2025480.30
S04386,"Dufil Prima Foods 4386",2,2023504.78
S02347,"Dufil Prima Foods 2347",12,2022456.84
S00709,"Nestle Nigeria 709",8,2021220.86
S03027,"Dufil Prima Foods 3027",13,2013388.27
S02254,"Dangote Sugar 2254",5,2011332.80
S05225,"Dufil Prima Foods 5225",2,2010974.55
S03486,"Flour Mills Nigeria 3486",9,2010398.98
S06191,"Flour Mills Nigeria 6191",6,2000763.58
S02772,"Flour Mills Nigeria 2772",2,1993274.98
S02284,"Nestle Nigeria 2284",9,1992041.62
S06367,"Flour Mills Nigeria 6367",13,1990125.72
S06306,"Dufil Prima Foods 6306",12,1988645.52
S06658,"Dangote Sugar 6658",2,1987119.00
S01930,"Nestle Nigeria 1930",10,1987079.64
S08408,"Dangote Sugar 8408",1,1983980.25
S01428,"Nestle Nigeria 1428",13,1981385.07
S01790,"Dangote Sugar 1790",11,1978992.73
S07739,"Dufil Prima Foods 7739",4,1970022.40
S02416,"Dufil Prima Foods 2416",13,1968409.28
S04217,"Dangote Sugar 4217",4,1966975.03
S05929,"Dangote Sugar 5929",10,1964150.51
S06584,"Flour Mills Nigeria 6584",8,1961205.52
S01901,"Nestle Nigeria 1901",14,1952326.78
S04298,"Dufil Prima Foods 4298",13,1948667.27
S07292,"Nestle Nigeria 7292",2,1943860.57
S01274,"Nestle Nigeria 1274",5,1939922.69
S04048,"Nestle Nigeria 4048",3,1939317.52
S00495,"Dangote Sugar 495",3,1936943.84
S00882,"Dufil Prima Foods 882",11,1936287.51
S01149,"Nestle Nigeria 1149",2,1935817.25
S05158,"Nestle Nigeria 5158",7,1931868.41
S04326,"Dufil Prima Foods 4326",7,1930300.17
S05317,"Dufil Prima Foods 5317",1,1926727.54
S08109,"Dangote Sugar 8109",3,1924854.90
S09492,"Dangote Sugar 9492",6,1922616.22
S01382,"Dufil Prima Foods 1382",13,1915677.84
S02256,"Nestle Nigeria 2256",11,1912528.32
S04251,"Dufil Prima Foods 4251",12,1911018.65
S08361,"Dangote Sugar 8361",1,1905770.64
S04530,"Flour Mills Nigeria 4530",9,1903667.09
S09832,"Dufil Prima Foods 9832",2,1902431.52
S00269,"Dangote Sugar 269",13,1899431.89
S06586,"Flour Mills Nigeria 6586",2,1896173.69
S01591,"Nestle Nigeria 1591",12,1892915.31
S07714,"Nestle Nigeria 7714",4,1890725.66
S09241,"Nestle Nigeria 9241",9,1885168.43
S05247,"Flour Mills Nigeria 5247",10,1883168.59
S01482,"Dufil Prima Foods 1482",9,1880169.58
S01781,"Flour Mills Nigeria 1781",4,1872789.92
S07241,"Nestle Nigeria 7241",2,1870681.50
S09189,"Dufil Prima Foods 9189",5,1869069.15
S08141,"Dufil Prima Foods 8141",3,1868178.33
S00733,"Nestle Nigeria 733",14,1867289.76
S05092,"Nestle Nigeria 5092",14,1864962.94
S06671,"Flour Mills Nigeria 6671",10,1863569.74
S00567,"Dufil Prima Foods 567",10,1859189.52
S07690,"Dufil Prima Foods 7690",3,1855431.58
S02583,"Dufil Prima Foods 2583",7,1855355.70
S06409,"Flour Mills Nigeria 6409",12,1854365.70
S05639,"Flour Mills Nigeria 5639",5,1852261.85
S03837,"Dufil Prima Foods 3837",6,1851791.46
S05425,"Nestle Nigeria 5425",8,1848575.01
S08949,"Dangote Sugar 8949",13,1846498.84
S04494,"Flour Mills Nigeria 4494",12,1845102.75
S09420,"Nestle Nigeria 9420",7,1843604.57
S04674,"Dufil Prima Foods 4674",11,1842748.18
S09365,"Dufil Prima Foods 9365",1,1835485.08
S03933,"Flour Mills Nigeria 3933",10,1835261.55
S01396,"Flour Mills Nigeria 1396",4,1833323.79
S03173,"Flour Mills Nigeria 3173",9,1833141.57
S08687,"Dangote Sugar 8687",2,1833030.78
S07199,"Dufil Prima Foods 7199",10,1828807.14
S07832,"Dangote Sugar 7832",3,1824757.76
S04391,"Dangote Sugar 4391",2,1823355.52
S03680,"Dufil Prima Foods 3680",12,1822799.98
S08044,"Nestle Nigeria 8044",9,1820440.93
S08256,"Dufil Prima Foods 8256",5,1819593.64
S03313,"Nestle Nigeria 3313",11,1817832.12
S08030,"Dangote Sugar 8030",3,1815659.74
S07157,"Dufil Prima Foods 7157",4,1814616.02
S00577,"Dufil Prima Foods 577",3,1812347.64
S07265,"Flour Mills Nigeria 7265",12,1811391.33
S03437,"Dangote Sugar 3437",11,1811385.68
S01699,"Dangote Sugar 1699",3,1809962.96
S09265,"Nestle Nigeria 9265",11,1808910.00
S00356,"Nestle Nigeria 356",6,1807397.79
S05986,"Flour Mills Nigeria 5986",14,1802750.68
S06785,"Dufil Prima Foods 6785",12,1801375.78
S02034,"Nestle Nigeria 2034",5,1800971.12
S09267,"Dangote Sugar 9267",10,1799249.73
S09989,"Nestle Nigeria 9989",10,1797383.18
S06913,"Flour Mills Nigeria 6913",6,1796936.79
S07396,"Flour Mills Nigeria 7396",12,1795681.67
S05718,"Dangote Sugar 5718",4,1793789.00
S09138,"Dufil Prima Foods 9138",14,1791026.01
S08559,"Nestle Nigeria 8559",11,1786759.15
S07387,"Flour Mills Nigeria 7387",5,1782621.60
S01246,"Dufil Prima Foods 1246",4,1781994.50
S08838,"Flour Mills Nigeria 8838",5,1778761.63
S08481,"Dangote Sugar 8481",14,1766367.15
S02893,"Nestle Nigeria 2893",3,1766152.35
S06458,"Dufil Prima Foods 6458",14,1765832.47
S00051,"Nestle Nigeria 51",1,1763571.60
S03913,"Flour Mills Nigeria 3913",5,1763055.72
S07775,"Nestle Nigeria 7775",2,1760449.70
S00955,"Dufil Prima Foods 955",13,1760420.15
S03053,"Dufil Prima Foods 3053",13,1757686.10
S02385,"Dufil Prima Foods 2385",2,1756812.90
S00917,"Dangote Sugar 917",14,1753462.27
S03073,"Dufil Prima Foods 3073",14,1753189.56
S01816,"Nestle Nigeria 1816",5,1752727.88
S09481,"Dufil Prima Foods 9481",12,1746148.85
S08469,"Flour Mills Nigeria 8469",13,1742421.02
S04637,"Nestle Nigeria 4637",14,1741679.80
S08577,"Nestle Nigeria 8577",9,1741273.34
S08639,"Flour Mills Nigeria 8639",3,1740805.01
S08375,"Dangote Sugar 8375",9,1740739.44
S03711,"Nestle Nigeria 3711",11,1740406.52
S09226,"Dufil Prima Foods 9226",4,1740380.64
S02106,"Flour Mills Nigeria 2106",14,1735577.70
S07217,"Nestle Nigeria 7217",7,1735494.62
S03653,"Dufil Prima Foods 3653",2,1731644.62
S07657,"Dangote Sugar 7657",9,1730883.22
S07246,"Dangote Sugar 7246",2,1729961.90
S04685,"Flour Mills Nigeria 4685",11,1725136.26
S07587,"Dangote Sugar 7587",3,1724395.36
S05700,"Nestle Nigeria 5700",3,1720393.82
S01913,"Flour Mills Nigeria 1913",2,1720285.20
S01982,"Dangote Sugar 1982",5,1718095.36
S04438,"Nestle Nigeria 4438",1,1716215.20
S09604,"Nestle Nigeria 9604",5,1711722.60
S02051,"Flour Mills Nigeria 2051",6,1711679.90
S07010,"Dangote Sugar 7010",14,1711033.71
S00413,"Nestle Nigeria 413",10,1707134.59
S03094,"Nestle Nigeria 3094",4,1700340.70
S07770,"Flour Mills Nigeria 7770",4,1700283.82
S03508,"Dangote Sugar 3508",11,1699690.20
S08823,"Dufil Prima Foods 8823",10,1698418.54
S04254,"Flour Mills Nigeria 4254",3,1696329.86
S03588,"Flour Mills Nigeria 3588",6,1694399.88
S00996,"Flour Mills Nigeria 996",7,1693872.08
S07382,"Dufil Prima Foods 7382",5,1693560.84
S06779,"Dangote Sugar 6779",13,1692923.23
S04428,"Flour Mills Nigeria 4428",2,1692198.40
S09078,"Flour Mills Nigeria 9078",8,1691586.40
S05921,"Dufil Prima Foods 5921",12,1691147.64
S08314,"Dufil Prima Foods 8314",7,1690531.30
S00601,"Dangote Sugar 601",8,1690314.34
S00146,"Nestle Nigeria 146",11,1689964.71
S08118,"Flour Mills Nigeria 8118",2,1688906.44
S09740,"Dangote Sugar 9740",12,1686471.34
S04256,"Dufil Prima Foods 4256",5,1685701.60
S05070,"Dangote Sugar 5070",14,1685621.70
S01259,"Dufil Prima Foods 1259",3,1685310.45
S01398,"Nestle Nigeria 1398",9,1683902.10
S04509,"Dufil Prima Foods 4509",9,1681287.76
S06869,"Nestle Nigeria 6869",4,1679715.54
S01368,"Flour Mills Nigeria 1368",3,1678943.06
S02446,"Dangote Sugar 2446",13,1676976.74
S05126,"Nestle Nigeria 5126",3,1675690.48
S02401,"Dufil Prima Foods 2401",2,1674199.44
S00615,"Dangote Sugar 615",5,1671423.92
S04094,"Nestle Nigeria 4094",3,1669703.25
S01390,"Dufil Prima Foods 1390",13,1668141.98
S09259,"Dufil Prima Foods 9259",13,1666401.63
S02220,"Flour Mills Nigeria 2220",5,1665367.13
S01931,"Nestle Nigeria 1931",1,1665345.75
S09416,"Flour Mills Nigeria 9416",9,1665178.26
S06052,"Dufil Prima Foods 6052",14,1661702.95
S06130,"Nestle Nigeria 6130",6,1661426.27
S03697,"Nestle Nigeria 3697",4,1659744.64
S01063,"Dufil Prima Foods 1063",11,1659336.87
S01423,"Dufil Prima Foods 1423",4,1658929.36
S09168,"Flour Mills Nigeria 9168",4,1656816.87
S02268,"Nestle Nigeria 2268",2,1655296.15
S00478,"Dangote Sugar 478",3,1654216.46
S00499,"Dufil Prima Foods 499",6,1651331.72
S00827,"Dangote Sugar 827",10,1649920.45
S04375,"Flour Mills Nigeria 4375",6,1648599.86
S00053,"Flour Mills Nigeria 53",5,1646597.94
S03740,"Dangote Sugar 3740",5,1644739.68
S09903,"Nestle Nigeria 9903",4,1643694.48
S08972,"Dangote Sugar 8972",11,1640268.28
S07780,"Dangote Sugar 7780",8,1639890.15
S05657,"Dufil Prima Foods 5657",10,1639523.04
S08229,"Dangote Sugar 8229",7,1637193.72
S06935,"Dangote Sugar 6935",6,1636950.35
S05334,"Dangote Sugar 5334",3,1636360.75
S07206,"Nestle Nigeria 7206",2,1632796.11
S08541,"Dufil Prima Foods 8541",6,1632591.10
S06577,"Dufil Prima Foods 6577",4,1630524.85
S07258,"Dangote Sugar 7258",12,1630382.23
S06233,"Flour Mills Nigeria 6233",12,1628988.26
S08151,"Dufil Prima Foods 8151",11,1628194.44
S03738,"Dufil Prima Foods 3738",4,1627336.62
S04222,"Nestle Nigeria 4222",1,1626795.20
S04455,"Nestle Nigeria 4455",5,1624222.47
S08788,"Nestle Nigeria 8788",1,1623873.56
S05901,"Flour Mills Nigeria 5901",11,1621499.18
S09016,"Flour Mills Nigeria 9016",7,1620665.92
S02912,"Flour Mills Nigeria 2912",2,1620132.36
S01230,"Dangote Sugar 1230",8,1618156.94
S03523,"Flour Mills Nigeria 3523",3,1616848.52
S03535,"Dufil Prima Foods 3535",8,1616772.42
S08946,"Flour Mills Nigeria 8946",4,1615255.85
S05599,"Dangote Sugar 5599",1,1613932.76
S01925,"Dangote Sugar 1925",4,1613366.06
S09296,"Flour Mills Nigeria 9296",2,1613350.80
S03287,"Flour Mills Nigeria 3287",6,1612118.41
S05568,"Flour Mills Nigeria 5568",3,1610063.81
S07198,"Flour Mills Nigeria 7198",6,1607783.96
S07485,"Dufil Prima Foods 7485",9,1607364.90
S03973,"Flour Mills Nigeria 3973",8,1606530.12
S09795,"Flour Mills Nigeria 9795",5,1602143.67
S08805,"Flour Mills Nigeria 8805",11,1601070.76
S06073,"Dangote Sugar 6073",9,1599917.58
S04268,"Dufil Prima Foods 4268",13,1599562.86
S09052,"Flour Mills Nigeria 9052",1,1599128.16
S03077,"Dangote Sugar 3077",9,1592269.84
S01947,"Dufil Prima Foods 1947",2,1591414.44
S08248,"Dufil Prima Foods 8248",8,1591142.00
S06781,"Dufil Prima Foods 6781",10,1590914.44
S08744,"Nestle Nigeria 8744",3,1587406.39
S08217,"Nestle Nigeria 8217",14,1587135.42
S04524,"Dufil Prima Foods 4524",12,1586701.53
S07925,"Flour Mills Nigeria 7925",9,1586158.25
S08008,"Nestle Nigeria 8008",6,1585733.12
S02733,"Flour Mills Nigeria 2733",3,1582962.50
S08082,"Dangote Sugar 8082",8,1582851.92
S02329,"Dangote Sugar 2329",7,1579652.46
S01789,"Dufil Prima Foods 1789",6,1579327.21
S06267,"Nestle Nigeria 6267",6,1574691.08
S02863,"Nestle Nigeria 2863",9,1574417.63
S05753,"Nestle Nigeria 5753",12,1573970.49
S04083,"Dufil Prima Foods 4083",10,1572919.68
S09574,"Flour Mills Nigeria 9574",6,1571469.84
S07564,"Dangote Sugar 7564",13,1569864.41
S00909,"Flour Mills Nigeria 909",14,1569171.42
S05654,"Dangote Sugar 5654",6,1568726.37
S07672,"Dangote Sugar 7672",3,1568476.72
S04579,"Flour Mills Nigeria 4579",10,1566828.94
S06305,"Dufil Prima Foods 6305",9,1562635.26
S04067,"Dangote Sugar 4067",12,1561895.81
S07146,"Flour Mills Nigeria 7146",10,1559779.50
S08909,"Flour Mills Nigeria 8909",6,1558598.54
S08883,"Dufil Prima Foods 8883",1,1556435.25
S01940,"Flour Mills Nigeria 1940",3,1552883.04
S00489,"Dangote Sugar 489",10,1549003.65
S02135,"Dangote Sugar 2135",13,1547161.43
S09177,"Flour Mills Nigeria 9177",12,1545119.28
S08296,"Nestle Nigeria 8296",13,1538499.66
S09502,"Flour Mills Nigeria 9502",1,1537653.65
S07797,"Dangote Sugar 7797",14,1537263.04
S04435,"Flour Mills Nigeria 4435",13,1536361.45
S04813,"Dufil Prima Foods 4813",4,1529868.56
S06610,"Nestle Nigeria 6610",3,1529088.09
S04717,"Dangote Sugar 4717",4,1528999.80
S02778,"Dangote Sugar 2778",9,1527211.58
S03720,"Dangote Sugar 3720",5,1525836.45
S09640,"Dangote Sugar 9640",13,1524602.88
S05081,"Dufil Prima Foods 5081",6,1523502.63
S07097,"Nestle Nigeria 7097",8,1523123.52
S06117,"Flour Mills Nigeria 6117",2,1523050.00
S04875,"Flour Mills Nigeria 4875",14,1519340.24
S05780,"Flour Mills Nigeria 5780",10,1517918.16
S01481,"Flour Mills Nigeria 1481",4,1517659.57
S04804,"Dangote Sugar 4804",12,1516980.64
S05835,"Dangote Sugar 5835",14,1516616.13
S08193,"Dangote Sugar 8193",11,1516506.04
S07705,"Flour Mills Nigeria 7705",12,1516487.46
S05964,"Nestle Nigeria 5964",9,1516357.26
S06246,"Dufil Prima Foods 6246",1,1516182.78
S01512,"Dufil Prima Foods 1512",1,1515879.28
S00777,"Flour Mills Nigeria 777",8,1515567.46
S03119,"Flour Mills Nigeria 3119",14,1514323.74
S07565,"Flour Mills Nigeria 7565",3,1513866.27
S01643,"Nestle Nigeria 1643",5,1513622.25
S03055,"Flour Mills Nigeria 3055",13,1512612.12
S07461,"Nestle Nigeria 7461",6,1512291.97
S09668,"Flour Mills Nigeria 9668",13,1511308.56
S04748,"Dangote Sugar 4748",9,1511135.50
S00982,"Nestle Nigeria 982",12,1510501.25
S00550,"Nestle Nigeria 550",3,1509552.99
S05764,"Flour Mills Nigeria 5764",13,1509427.30
S02816,"Flour Mills Nigeria 2816",5,1509398.49
S02611,"Nestle Nigeria 2611",1,1508383.85
S01286,"Nestle Nigeria 1286",9,1507457.08
S09185,"Dufil Prima Foods 9185",11,1507431.25
S03916,"Dufil Prima Foods 3916",5,1505852.31
S04901,"Dangote Sugar 4901",6,1505636.81
S07469,"Nestle Nigeria 7469",11,1505184.76
