product_id,product_name,Total_Qty,Total_Sales
P00837,"Peak Product 837",125,1690143.25
P00184,"Milo Product 184",81,1687607.62
P09732,"Dettol Product 9732",103,1683161.00
P00736,"Power Oil Product 736",93,1681189.66
P04279,"Power Oil Product 4279",117,1680180.76
P09337,"Power Oil Product 9337",87,1674015.03
P00219,"Milo Product 219",103,1667431.08
P09572,"Power Oil Product 9572",88,1664528.68
P02493,"Nestle Product 2493",95,1663815.02
P09068,"Power Oil Product 9068",99,1663434.57
P06083,"Power Oil Product 6083",93,1661718.46
P05729,"Indomie Product 5729",70,1661392.98
P08315,"Indomie Product 8315",130,1660739.74
P08215,"Power Oil Product 8215",93,1658778.24
P08662,"Milo Product 8662",112,1655594.38
P04799,"Power Oil Product 4799",134,1654434.88
P05920,"Indomie Product 5920",95,1650010.08
P06522,"Dettol Product 6522",91,1646854.28
P04165,"Dangote Product 4165",83,1644452.27
P03193,"Milo Product 3193",100,1643853.76
P04033,"Dettol Product 4033",123,1643317.47
P09079,"Milo Product 9079",112,1636614.97
P00527,"Golden Penny Product 527",82,1636161.40
P00839,"Peak Product 839",103,1633312.20
P09270,"Nestle Product 9270",76,1630477.81
P00805,"Nestle Product 805",135,1629775.18
P04725,"Dettol Product 4725",97,1629130.08
P01169,"Indomie Product 1169",108,1624915.99
P05344,"Golden Penny Product 5344",85,1619391.15
P00066,"Dangote Product 66",105,1618806.69
P08850,"Power Oil Product 8850",102,1617210.61
P02764,"Milo Product 2764",94,1610829.52
P05912,"Nestle Product 5912",87,1608362.26
P01354,"Dangote Product 1354",100,1607740.60
P06936,"Milo Product 6936",110,1604850.19
P05155,"Golden Penny Product 5155",86,1604515.94
P08226,"Nestle Product 8226",77,1600439.34
P02052,"Milo Product 2052",114,1600428.80
P04927,"Dettol Product 4927",82,1596824.54
P02268,"Dettol Product 2268",83,1595662.99
P04703,"Dangote Product 4703",98,1593837.78
P04658,"Dettol Product 4658",79,1593178.55
P05829,"Power Oil Product 5829",123,1590345.39
P08005,"Power Oil Product 8005",77,1588827.68
P07471,"Power Oil Product 7471",108,1586931.22
P05875,"Indomie Product 5875",117,1579251.80
P04970,"Milo Product 4970",73,1577077.54
P09178,"Indomie Product 9178",99,1572878.69
P06396,"Dettol Product 6396",94,1568333.07
P08228,"Peak Product 8228",125,1567065.05
P09702,"Milo Product 9702",76,1566941.11
P06620,"Golden Penny Product 6620",93,1565753.21
P05679,"Indomie Product 5679",92,1562542.56
P05176,"Milo Product 5176",93,1561585.98
P01749,"Dettol Product 1749",106,1560998.86
P08317,"Peak Product 8317",73,1558961.30
P08008,"Dangote Product 8008",93,1558249.11
P08407,"Power Oil Product 8407",105,1557939.18
P06723,"Power Oil Product 6723",121,1556992.46
P01899,"Nestle Product 1899",111,1556321.72
P02309,"Power Oil Product 2309",98,1554568.81
P08465,"Golden Penny Product 8465",85,1554398.03
P07660,"Dettol Product 7660",73,1552876.37
P01054,"Golden Penny Product 1054",92,1550493.68
P03416,"Dangote Product 3416",142,1550138.90
P04989,"Power Oil Product 4989",86,1549497.44
P01295,"Power Oil Product 1295",85,1547041.71
P07361,"Dangote Product 7361",149,1544965.53
P04317,"Power Oil Product 4317",100,1542001.76
P07737,"Dettol Product 7737",80,1536392.96
P08651,"Golden Penny Product 8651",84,1535558.54
P01923,"Indomie Product 1923",91,1532608.95
P05837,"Dettol Product 5837",71,1532604.43
P08890,"Dangote Product 8890",116,1532007.10
P05521,"Nestle Product 5521",81,1531284.24
P09567,"Milo Product 9567",67,1530864.17
P04138,"Dangote Product 4138",80,1528326.77
P08322,"Nestle Product 8322",80,1527916.40
P02221,"Golden Penny Product 2221",90,1524857.81
P04827,"Indomie Product 4827",98,1523387.19
P04982,"Dangote Product 4982",93,1522196.88
P02304,"Indomie Product 2304",90,1519615.67
P02167,"Indomie Product 2167",103,1512983.28
P08990,"Dettol Product 8990",82,1510828.23
P05157,"Dettol Product 5157",68,1510370.80
P00688,"Power Oil Product 688",72,1510197.74
P08518,"Peak Product 8518",83,1509407.09
P05025,"Golden Penny Product 5025",114,1507236.00
P07638,"Nestle Product 7638",126,1506634.03
P00855,"Dettol Product 855",68,1502277.54
P08232,"Golden Penny Product 8232",128,1502040.78
P08671,"Nestle Product 8671",72,1501178.58
P08401,"Dettol Product 8401",80,1499714.86
P08839,"Dangote Product 8839",118,1499523.70
P02720,"Nestle Product 2720",95,1498155.36
P04438,"Power Oil Product 4438",93,1495649.26
P04775,"Dettol Product 4775",112,1494299.72
P08730,"Dangote Product 8730",64,1493564.76
P02387,"Nestle Product 2387",70,1493503.16
P00092,"Peak Product 92",72,1493336.08
P09896,"Peak Product 9896",103,1492117.27
P09754,"Dettol Product 9754",94,1491552.91
P02681,"Nestle Product 2681",76,1491162.20
P05651,"Power Oil Product 5651",71,1489380.50
P01665,"Golden Penny Product 1665",72,1487336.64
P01547,"Milo Product 1547",115,1485938.45
P04127,"Peak Product 4127",66,1484374.59
P05221,"Power Oil Product 5221",88,1484238.42
P09983,"Dettol Product 9983",92,1484172.37
P01937,"Dangote Product 1937",92,1483938.01
P08692,"Milo Product 8692",111,1483471.17
P04636,"Dangote Product 4636",124,1482842.16
P03890,"Peak Product 3890",112,1481434.05
P02039,"Power Oil Product 2039",97,1480937.98
P06836,"Golden Penny Product 6836",99,1479670.58
P05256,"Dettol Product 5256",64,1478945.12
P06564,"Dettol Product 6564",94,1478497.00
P04503,"Golden Penny Product 4503",83,1478248.49
P00704,"Milo Product 704",119,1476258.31
P09889,"Peak Product 9889",87,1475849.87
P03892,"Golden Penny Product 3892",115,1473988.83
P02209,"Power Oil Product 2209",71,1471402.83
P09904,"Nestle Product 9904",97,1469689.28
P03545,"Power Oil Product 3545",86,1468963.50
P08868,"Milo Product 8868",106,1467976.58
P08653,"Golden Penny Product 8653",68,1467100.23
P06122,"Dettol Product 6122",93,1465617.62
P09255,"Dettol Product 9255",103,1464064.71
P03900,"Milo Product 3900",84,1458055.01
P01477,"Peak Product 1477",82,1456749.95
P04347,"Milo Product 4347",110,1451855.00
P02680,"Golden Penny Product 2680",88,1451620.34
P00375,"Dangote Product 375",94,1451206.41
P07245,"Dangote Product 7245",81,1450863.05
P04548,"Dangote Product 4548",64,1450573.52
P01746,"Milo Product 1746",84,1450361.36
P07810,"Dettol Product 7810",94,1450227.51
P01583,"Nestle Product 1583",105,1447795.46
P03910,"Power Oil Product 3910",67,1445770.89
P04579,"Indomie Product 4579",81,1442869.90
P02870,"Power Oil Product 2870",95,1440939.28
P03119,"Power Oil Product 3119",81,1438681.36
P02294,"Dangote Product 2294",109,1438560.08
P03702,"Dangote Product 3702",82,1438257.24
P01355,"Golden Penny Product 1355",94,1437824.07
P07892,"Dettol Product 7892",96,1437780.79
P00841,"Milo Product 841",90,1437548.98
P05363,"Peak Product 5363",89,1436292.49
P04079,"Dangote Product 4079",77,1435773.94
P07317,"Dettol Product 7317",103,1434835.80
P07071,"Nestle Product 7071",100,1433677.88
P08971,"Indomie Product 8971",103,1433657.75
P00475,"Peak Product 475",103,1432018.66
P09690,"Nestle Product 9690",87,1431992.20
P04694,"Milo Product 4694",88,1431696.18
P05313,"Dangote Product 5313",60,1431593.10
P08440,"Power Oil Product 8440",76,1431529.53
P07823,"Golden Penny Product 7823",92,1430756.80
P07599,"Indomie Product 7599",86,1427527.16
P04488,"Milo Product 4488",111,1425053.63
P05789,"Golden Penny Product 5789",65,1423305.70
P08922,"Power Oil Product 8922",74,1422910.51
P03067,"Dettol Product 3067",79,1422630.52
P04938,"Peak Product 4938",126,1418152.66
P04428,"Nestle Product 4428",66,1418106.24
P06610,"Nestle Product 6610",71,1414417.59
P02787,"Peak Product 2787",97,1413921.34
P00626,"Peak Product 626",72,1408918.32
P08577,"Power Oil Product 8577",107,1407040.69
P00275,"Power Oil Product 275",89,1406283.80
P04216,"Peak Product 4216",91,1406103.52
P06467,"Indomie Product 6467",132,1403909.08
P04076,"Power Oil Product 4076",98,1401870.88
P01061,"Peak Product 1061",65,1395393.34
P01766,"Milo Product 1766",70,1394940.50
P00702,"Milo Product 702",73,1394645.23
P03225,"Indomie Product 3225",111,1392972.58
P07139,"Golden Penny Product 7139",108,1392923.75
P04515,"Indomie Product 4515",79,1391053.47
P00023,"Milo Product 23",93,1387939.21
P02179,"Nestle Product 2179",71,1385951.25
P09162,"Nestle Product 9162",82,1383599.22
P05457,"Peak Product 5457",57,1382351.67
P05542,"Milo Product 5542",92,1382060.64
P05882,"Nestle Product 5882",96,1381792.30
P05745,"Indomie Product 5745",102,1381716.18
P08452,"Nestle Product 8452",107,1379968.20
P05841,"Indomie Product 5841",146,1377964.75
P03757,"Nestle Product 3757",87,1376877.60
P06878,"Indomie Product 6878",74,1371748.24
P09914,"Power Oil Product 9914",65,1371255.21
P00434,"Dettol Product 434",108,1370822.14
P06346,"Golden Penny Product 6346",87,1366940.34
P05339,"Power Oil Product 5339",73,1366164.18
P08042,"Power Oil Product 8042",70,1365027.73
P07517,"Peak Product 7517",74,1361909.42
P09209,"Indomie Product 9209",79,1361430.51
P02128,"Milo Product 2128",69,1361395.89
P06362,"Nestle Product 6362",66,1361253.52
P00783,"Dettol Product 783",80,1361021.52
P03293,"Nestle Product 3293",75,1360092.03
P08127,"Indomie Product 8127",107,1358845.12
P03862,"Milo Product 3862",129,1358776.92
P03752,"Power Oil Product 3752",101,1355891.33
P02067,"Indomie Product 2067",71,1354689.70
P02136,"Peak Product 2136",73,1354640.09
P09239,"Nestle Product 9239",70,1353675.17
P09535,"Indomie Product 9535",74,1349530.24
P01706,"Indomie Product 1706",73,1348495.23
P04101,"Dangote Product 4101",97,1347146.87
P08729,"Golden Penny Product 8729",86,1347141.52
P08541,"Peak Product 8541",65,1346923.80
P06965,"Golden Penny Product 6965",64,1346457.42
P02292,"Indomie Product 2292",74,1345915.90
P09387,"Golden Penny Product 9387",79,1342839.22
P07089,"Nestle Product 7089",60,1342709.40
P07435,"Milo Product 7435",104,1342266.47
P09575,"Golden Penny Product 9575",70,1340336.63
P07730,"Power Oil Product 7730",74,1340225.38
P06998,"Nestle Product 6998",120,1336864.94
P00156,"Nestle Product 156",62,1335279.18
P06407,"Power Oil Product 6407",146,1334226.68
P06639,"Milo Product 6639",70,1333257.45
P09753,"Peak Product 9753",77,1333232.24
P03186,"Power Oil Product 3186",89,1332843.37
P00919,"Dettol Product 919",83,1332437.80
P08664,"Peak Product 8664",80,1329148.40
P05799,"Milo Product 5799",60,1327889.96
P03134,"Milo Product 3134",64,1327806.71
P01977,"Milo Product 1977",81,1326266.59
P04201,"Power Oil Product 4201",78,1322929.96
P05680,"Golden Penny Product 5680",77,1322337.62
P02051,"Milo Product 2051",126,1321198.20
P08389,"Dangote Product 8389",79,1320705.75
P06738,"Nestle Product 6738",55,1316829.30
P05213,"Milo Product 5213",69,1314827.20
P05853,"Milo Product 5853",93,1314180.87
P00268,"Milo Product 268",111,1313321.51
P05878,"Dangote Product 5878",71,1312894.76
P05813,"Nestle Product 5813",129,1312381.79
P00866,"Nestle Product 866",68,1309135.03
P06112,"Indomie Product 6112",108,1308193.42
P01692,"Nestle Product 1692",65,1307789.52
P01150,"Indomie Product 1150",73,1307696.22
P08881,"Dettol Product 8881",78,1306948.92
P07851,"Peak Product 7851",56,1306940.60
P08016,"Golden Penny Product 8016",93,1303772.88
P04620,"Milo Product 4620",73,1303672.48
P05661,"Power Oil Product 5661",71,1302156.25
P09930,"Golden Penny Product 9930",62,1299133.86
P05254,"Indomie Product 5254",86,1298728.78
P02497,"Dettol Product 2497",82,1298504.74
P06512,"Dettol Product 6512",53,1297363.48
P02527,"Dangote Product 2527",84,1297053.48
P01653,"Dangote Product 1653",90,1296920.15
P06199,"Power Oil Product 6199",78,1296916.12
P01681,"Nestle Product 1681",138,1296903.85
P05338,"Dettol Product 5338",78,1295838.63
P00820,"Peak Product 820",80,1294610.90
P00658,"Golden Penny Product 658",80,1293267.78
P05770,"Power Oil Product 5770",173,1292667.19
P09591,"Nestle Product 9591",61,1291106.46
P04320,"Peak Product 4320",97,1291000.21
P03850,"Peak Product 3850",131,1290851.73
P02181,"Dettol Product 2181",55,1290484.66
P02907,"Dangote Product 2907",75,1286282.83
P06704,"Indomie Product 6704",95,1285383.43
P06984,"Power Oil Product 6984",110,1285177.92
P00914,"Golden Penny Product 914",68,1284634.16
P09899,"Dettol Product 9899",72,1281908.78
P02835,"Nestle Product 2835",73,1281447.52
P00672,"Power Oil Product 672",83,1281009.72
P03792,"Golden Penny Product 3792",66,1280570.84
P06205,"Nestle Product 6205",85,1280263.24
P08386,"Power Oil Product 8386",90,1277703.00
P01996,"Nestle Product 1996",70,1275659.41
P00515,"Nestle Product 515",86,1275345.54
P03340,"Nestle Product 3340",57,1273951.14
P08632,"Dettol Product 8632",95,1273917.65
P05152,"Indomie Product 5152",61,1272673.82
P09830,"Dettol Product 9830",134,1272180.88
P02105,"Power Oil Product 2105",108,1272039.25
P09312,"Indomie Product 9312",85,1270936.88
P03114,"Nestle Product 3114",65,1268990.55
P05979,"Milo Product 5979",73,1268183.68
P03562,"Milo Product 3562",61,1267196.34
P09773,"Milo Product 9773",115,1266535.13
P07526,"Golden Penny Product 7526",97,1265760.86
P07364,"Milo Product 7364",78,1264684.32
P03085,"Golden Penny Product 3085",70,1264508.45
P07261,"Nestle Product 7261",112,1263084.67
P01597,"Golden Penny Product 1597",92,1261879.68
P04186,"Indomie Product 4186",83,1261231.76
P06760,"Golden Penny Product 6760",59,1261180.89
P03793,"Peak Product 3793",59,1260427.27
P06679,"Dangote Product 6679",62,1260235.44
P07072,"Milo Product 7072",61,1259539.15
P03458,"Milo Product 3458",98,1257480.16
P08321,"Dangote Product 8321",95,1257466.57
P04401,"Dangote Product 4401",102,1255763.53
P07906,"Milo Product 7906",76,1254555.04
P08605,"Nestle Product 8605",103,1253157.17
P05385,"Indomie Product 5385",85,1252752.60
P07008,"Peak Product 7008",81,1252686.81
P05872,"Indomie Product 5872",90,1251880.14
P09170,"Peak Product 9170",73,1251795.09
P07339,"Dangote Product 7339",55,1250453.60
P00526,"Power Oil Product 526",97,1246253.57
P05762,"Indomie Product 5762",72,1244989.44
P09054,"Peak Product 9054",71,1244008.87
P01122,"Power Oil Product 1122",89,1243835.12
P02660,"Golden Penny Product 2660",86,1243322.21
P01079,"Nestle Product 1079",118,1242526.60
P08620,"Peak Product 8620",73,1241765.40
P00996,"Milo Product 996",107,1239419.53
P00497,"Milo Product 497",70,1237816.99
P09123,"Power Oil Product 9123",60,1237239.55
P03508,"Golden Penny Product 3508",67,1235231.40
P07058,"Indomie Product 7058",97,1235089.93
P01092,"Nestle Product 1092",72,1234364.66
P06661,"Dangote Product 6661",75,1234313.45
P01967,"Dettol Product 1967",107,1233943.02
P05019,"Dettol Product 5019",50,1233586.50
P09644,"Indomie Product 9644",89,1232531.46
P05106,"Nestle Product 5106",67,1232205.44
P03115,"Power Oil Product 3115",50,1232141.00
P03885,"Power Oil Product 3885",74,1230079.75
P05724,"Dettol Product 5724",108,1229769.18
P02079,"Milo Product 2079",83,1226511.82
P08338,"Peak Product 8338",54,1226500.90
P02106,"Dettol Product 2106",95,1226057.29
P04539,"Indomie Product 4539",87,1225067.03
P04914,"Golden Penny Product 4914",86,1223876.10
P05315,"Dettol Product 5315",86,1221356.05
P04276,"Dangote Product 4276",91,1221185.15
P02714,"Golden Penny Product 2714",94,1221147.46
P06447,"Peak Product 6447",58,1220316.08
P04655,"Dettol Product 4655",74,1219423.40
P00850,"Nestle Product 850",86,1216959.74
P09284,"Milo Product 9284",50,1216213.50
P04672,"Golden Penny Product 4672",89,1215398.77
P02521,"Indomie Product 2521",50,1214728.50
P03387,"Indomie Product 3387",78,1212808.79
P09386,"Dangote Product 9386",78,1211815.51
P01995,"Nestle Product 1995",89,1211302.74
P00129,"Dettol Product 129",57,1210388.01
P06576,"Peak Product 6576",71,1209830.33
P02315,"Nestle Product 2315",87,1208797.33
P08069,"Peak Product 8069",58,1207146.18
P07100,"Power Oil Product 7100",65,1206955.71
P01075,"Indomie Product 1075",63,1206779.50
P02399,"Golden Penny Product 2399",72,1206005.85
P02084,"Dangote Product 2084",88,1205542.03
P06164,"Nestle Product 6164",60,1205274.75
P05007,"Golden Penny Product 5007",75,1204705.49
P02636,"Dettol Product 2636",78,1201828.28
P06810,"Indomie Product 6810",116,1201038.48
P04386,"Nestle Product 4386",49,1200655.82
P07539,"Power Oil Product 7539",83,1199157.16
P06100,"Peak Product 6100",77,1199154.56
P09757,"Nestle Product 9757",78,1198231.32
P05110,"Dettol Product 5110",92,1198190.02
P08133,"Dangote Product 8133",128,1197900.29
P05898,"Indomie Product 5898",73,1196407.24
P06277,"Nestle Product 6277",68,1193965.35
P01127,"Indomie Product 1127",63,1193223.11
P07021,"Golden Penny Product 7021",82,1189970.21
P02702,"Peak Product 2702",84,1189868.61
P08496,"Dangote Product 8496",48,1189457.76
P08375,"Nestle Product 8375",73,1188802.81
P03843,"Indomie Product 3843",65,1188783.70
P03514,"Milo Product 3514",72,1187951.51
P09798,"Milo Product 9798",50,1187215.50
P09408,"Golden Penny Product 9408",49,1187130.84
P04023,"Peak Product 4023",49,1186472.77
P02877,"Golden Penny Product 2877",50,1185409.00
P06228,"Power Oil Product 6228",49,1185319.80
P07268,"Dettol Product 7268",61,1183737.04
P08345,"Golden Penny Product 8345",83,1183466.94
P06287,"Dettol Product 6287",85,1182399.73
P02898,"Dangote Product 2898",62,1181718.30
P04056,"Power Oil Product 4056",51,1181540.55
P06097,"Dangote Product 6097",56,1181225.32
P09935,"Peak Product 9935",79,1181147.85
P05608,"Nestle Product 5608",100,1179695.38
P04487,"Nestle Product 4487",91,1178756.46
P05284,"Peak Product 5284",77,1176953.51
P09478,"Dettol Product 9478",49,1176499.80
P07027,"Peak Product 7027",56,1175794.48
P07177,"Dangote Product 7177",64,1173858.72
P02719,"Peak Product 2719",65,1173744.00
P00093,"Nestle Product 93",58,1173378.28
P09760,"Dettol Product 9760",84,1172287.24
P05067,"Dettol Product 5067",74,1172269.53
P02220,"Golden Penny Product 2220",49,1172225.04
P09673,"Dangote Product 9673",56,1171670.92
P00891,"Peak Product 891",105,1171449.86
P07516,"Golden Penny Product 7516",47,1167882.32
P04728,"Peak Product 4728",50,1167338.50
P01717,"Nestle Product 1717",49,1166819.36
P05242,"Power Oil Product 5242",51,1166413.83
P08563,"Nestle Product 8563",62,1166329.22
P08744,"Peak Product 8744",70,1165948.77
P06542,"Golden Penny Product 6542",94,1165752.61
P05537,"Nestle Product 5537",76,1165725.76
P09544,"Golden Penny Product 9544",50,1164433.50
P09233,"Milo Product 9233",68,1164117.98
P09845,"Milo Product 9845",61,1163276.77
P00887,"Golden Penny Product 887",75,1162952.44
P08395,"Power Oil Product 8395",55,1162325.02
P01156,"Nestle Product 1156",61,1161991.95
P07686,"Peak Product 7686",58,1161508.16
P03002,"Milo Product 3002",80,1160979.35
P01612,"Nestle Product 1612",75,1160954.54
P06942,"Peak Product 6942",62,1160224.11
P04696,"Dangote Product 4696",47,1159833.57
P01741,"Golden Penny Product 1741",90,1158908.40
P02956,"Milo Product 2956",60,1157202.40
P06530,"Peak Product 6530",111,1156833.49
P05986,"Dangote Product 5986",59,1154686.79
P09905,"Milo Product 9905",66,1154225.34
P04990,"Peak Product 4990",70,1153729.45
P07569,"Golden Penny Product 7569",53,1153710.53
P05045,"Golden Penny Product 5045",63,1153367.25
P08044,"Milo Product 8044",54,1153328.72
P00291,"Indomie Product 291",56,1152324.10
P00542,"Milo Product 542",78,1151591.75
P06330,"Indomie Product 6330",60,1151285.56
P03546,"Nestle Product 3546",116,1147176.68
P00280,"Nestle Product 280",58,1146825.67
P08446,"Dettol Product 8446",120,1146588.66
P08027,"Golden Penny Product 8027",72,1146429.40
P01360,"Golden Penny Product 1360",66,1146214.75
P09920,"Power Oil Product 9920",64,1145667.50
P05944,"Indomie Product 5944",70,1144224.65
P00214,"Power Oil Product 214",114,1143689.93
P00893,"Dangote Product 893",73,1142745.34
P00085,"Power Oil Product 85",66,1142208.36
P01074,"Indomie Product 1074",65,1142084.29
P02307,"Indomie Product 2307",67,1141802.52
P09351,"Power Oil Product 9351",96,1141565.92
P09744,"Dangote Product 9744",46,1141412.72
P02528,"Dettol Product 2528",63,1140812.54
P08167,"Nestle Product 8167",72,1140504.54
P09593,"Peak Product 9593",74,1138561.57
P09072,"Golden Penny Product 9072",98,1137983.92
P06829,"Dangote Product 6829",49,1136714.25
P01701,"Nestle Product 1701",83,1136686.54
P08601,"Power Oil Product 8601",81,1136599.78
P06185,"Dangote Product 6185",73,1136332.35
P05117,"Indomie Product 5117",88,1136281.86
P08136,"Milo Product 8136",96,1136066.17
P01220,"Milo Product 1220",60,1135589.52
P06227,"Nestle Product 6227",84,1134545.75
P03520,"Peak Product 3520",74,1133410.77
P06202,"Dangote Product 6202",84,1133063.21
P07284,"Dettol Product 7284",80,1132968.00
P00423,"Golden Penny Product 423",47,1128823.44
P06262,"Indomie Product 6262",60,1126357.74
P06785,"Peak Product 6785",53,1125620.46
P06941,"Milo Product 6941",67,1124233.39
P01022,"Indomie Product 1022",58,1123673.66
P00578,"Golden Penny Product 578",47,1123261.93
P02632,"Dangote Product 2632",55,1122248.23
P04439,"Golden Penny Product 4439",46,1122200.82
P08109,"Golden Penny Product 8109",73,1121825.68
P02687,"Golden Penny Product 2687",79,1121483.08
P07345,"Milo Product 7345",78,1120750.04
P02786,"Dangote Product 2786",96,1120393.18
P08798,"Dettol Product 8798",50,1120010.00
P09619,"Indomie Product 9619",50,1119450.00
P02789,"Nestle Product 2789",95,1118973.54
P05797,"Milo Product 5797",50,1118440.50
P07747,"Milo Product 7747",55,1118427.53
P06096,"Peak Product 6096",46,1113741.42
P03678,"Power Oil Product 3678",103,1113350.69
P06308,"Dettol Product 6308",79,1113303.04
P05624,"Nestle Product 5624",52,1112732.43
P02908,"Golden Penny Product 2908",72,1112656.68
P00298,"Milo Product 298",88,1112104.83
P03549,"Milo Product 3549",64,1112043.29
P09197,"Dangote Product 9197",76,1112010.48
