store_id,branch_name,Total_Qty,Total_Sales
ST07834,"Bokku Branch 7834",99,1989646.51
ST07641,"Bokku Branch 7641",134,1984618.79
ST09559,"Bokku Branch 9559",96,1983762.00
ST08827,"Bokku Branch 8827",89,1980761.68
ST07913,"Bokku Branch 7913",82,1974754.70
ST04684,"Bokku Branch 4684",95,1970328.18
ST00328,"Bokku Branch 328",145,1969931.66
ST09078,"Bokku Branch 9078",157,1962747.64
ST03373,"Bokku Branch 3373",124,1961451.48
ST03024,"Bokku Branch 3024",90,1961030.76
ST07865,"Bokku Branch 7865",88,1956851.45
ST07794,"Bokku Branch 7794",128,1951067.93
ST06441,"Bokku Branch 6441",126,1923728.45
ST03645,"Bokku Branch 3645",98,1919349.93
ST02806,"Bokku Branch 2806",103,1917894.27
ST01159,"Bokku Branch 1159",83,1904695.72
ST06138,"Bokku Branch 6138",110,1904346.14
ST04623,"Bokku Branch 4623",168,1893865.06
ST09015,"Bokku Branch 9015",137,1892044.65
ST07163,"Bokku Branch 7163",124,1891596.47
ST07056,"Bokku Branch 7056",159,1886759.31
ST03890,"Bokku Branch 3890",86,1885022.82
ST09685,"Bokku Branch 9685",90,1881763.55
ST00439,"Bokku Branch 439",82,1878012.52
ST06728,"Bokku Branch 6728",95,1877721.13
ST06269,"Bokku Branch 6269",91,1876926.92
ST00802,"Bokku Branch 802",106,1873089.06
ST01170,"Bokku Branch 1170",93,1865798.36
ST07488,"Bokku Branch 7488",91,1855164.28
ST05619,"Bokku Branch 5619",91,1854922.25
ST04904,"Bokku Branch 4904",113,1850763.25
ST07528,"Bokku Branch 7528",84,1849963.10
ST04025,"Bokku Branch 4025",78,1844755.80
ST02422,"Bokku Branch 2422",124,1839486.42
ST06231,"Bokku Branch 6231",83,1838600.70
ST09595,"Bokku Branch 9595",126,1833491.62
ST00745,"Bokku Branch 745",106,1831788.26
ST03103,"Bokku Branch 3103",99,1819609.32
ST01907,"Bokku Branch 1907",82,1813432.38
ST05626,"Bokku Branch 5626",102,1802146.56
ST03830,"Bokku Branch 3830",111,1791129.78
ST05786,"Bokku Branch 5786",112,1789708.98
ST00543,"Bokku Branch 543",207,1788372.03
ST08188,"Bokku Branch 8188",91,1787966.80
ST00355,"Bokku Branch 355",134,1783168.78
ST01797,"Bokku Branch 1797",84,1781874.08
ST02737,"Bokku Branch 2737",99,1778802.49
ST00118,"Bokku Branch 118",89,1777205.80
ST08846,"Bokku Branch 8846",123,1774927.53
ST07754,"Bokku Branch 7754",81,1774486.59
ST03996,"Bokku Branch 3996",81,1774065.32
ST01389,"Bokku Branch 1389",110,1771246.62
ST07808,"Bokku Branch 7808",101,1765459.04
ST02487,"Bokku Branch 2487",94,1764726.62
ST08604,"Bokku Branch 8604",124,1762434.80
ST02823,"Bokku Branch 2823",114,1759058.15
ST07418,"Bokku Branch 7418",85,1758972.14
ST03269,"Bokku Branch 3269",121,1757908.21
ST01146,"Bokku Branch 1146",145,1757469.35
ST02075,"Bokku Branch 2075",87,1754360.04
ST08783,"Bokku Branch 8783",122,1753050.25
ST04738,"Bokku Branch 4738",156,1752628.22
ST06108,"Bokku Branch 6108",112,1745924.31
ST09182,"Bokku Branch 9182",100,1745847.47
ST03375,"Bokku Branch 3375",88,1745228.32
ST08414,"Bokku Branch 8414",98,1739785.61
ST08029,"Bokku Branch 8029",99,1738153.12
ST05028,"Bokku Branch 5028",88,1736958.38
ST08206,"Bokku Branch 8206",82,1734113.76
ST06947,"Bokku Branch 6947",82,1730402.28
ST06831,"Bokku Branch 6831",118,1729643.76
ST00993,"Bokku Branch 993",93,1725867.25
ST08467,"Bokku Branch 8467",118,1724394.47
ST04837,"Bokku Branch 4837",83,1724102.40
ST02230,"Bokku Branch 2230",120,1723058.34
ST00799,"Bokku Branch 799",116,1721748.72
ST08374,"Bokku Branch 8374",99,1716977.75
ST06210,"Bokku Branch 6210",86,1711529.27
ST02377,"Bokku Branch 2377",100,1710916.28
ST06850,"Bokku Branch 6850",118,1709789.24
ST03928,"Bokku Branch 3928",98,1700595.64
ST05950,"Bokku Branch 5950",79,1700267.18
ST00597,"Bokku Branch 597",107,1700151.33
ST01122,"Bokku Branch 1122",106,1691812.58
ST04428,"Bokku Branch 4428",84,1689659.16
ST06763,"Bokku Branch 6763",137,1682814.53
ST01000,"Bokku Branch 1000",107,1675856.22
ST07746,"Bokku Branch 7746",101,1670720.46
ST04835,"Bokku Branch 4835",107,1666951.63
ST05315,"Bokku Branch 5315",90,1665312.26
ST09101,"Bokku Branch 9101",75,1665048.22
ST09129,"Bokku Branch 9129",90,1664381.10
ST07725,"Bokku Branch 7725",88,1663505.20
ST06620,"Bokku Branch 6620",73,1662810.14
ST07462,"Bokku Branch 7462",119,1662015.04
ST02848,"Bokku Branch 2848",133,1661197.81
ST05390,"Bokku Branch 5390",94,1657178.77
ST09295,"Bokku Branch 9295",125,1656475.44
ST01041,"Bokku Branch 1041",87,1654343.22
ST02836,"Bokku Branch 2836",114,1646415.04
ST07144,"Bokku Branch 7144",101,1645473.51
ST02742,"Bokku Branch 2742",140,1643906.46
ST03605,"Bokku Branch 3605",114,1641806.19
ST03563,"Bokku Branch 3563",126,1637287.42
ST09012,"Bokku Branch 9012",94,1637090.12
ST09492,"Bokku Branch 9492",101,1627265.09
ST03380,"Bokku Branch 3380",89,1621011.68
ST05510,"Bokku Branch 5510",108,1619993.76
ST02368,"Bokku Branch 2368",79,1616088.15
ST02055,"Bokku Branch 2055",76,1614562.29
ST09083,"Bokku Branch 9083",81,1612024.40
ST07814,"Bokku Branch 7814",76,1608158.82
ST03414,"Bokku Branch 3414",80,1604938.79
ST09414,"Bokku Branch 9414",111,1604317.70
ST00097,"Bokku Branch 97",138,1603092.85
ST09142,"Bokku Branch 9142",71,1602009.04
ST01796,"Bokku Branch 1796",94,1599238.62
ST04768,"Bokku Branch 4768",93,1596624.06
ST01358,"Bokku Branch 1358",90,1592908.26
ST04426,"Bokku Branch 4426",73,1591106.32
ST02711,"Bokku Branch 2711",133,1586837.00
ST00065,"Bokku Branch 65",102,1586010.96
ST05550,"Bokku Branch 5550",75,1581022.80
ST01269,"Bokku Branch 1269",118,1580288.58
ST01066,"Bokku Branch 1066",82,1579605.78
ST00248,"Bokku Branch 248",87,1572061.00
ST08715,"Bokku Branch 8715",111,1572053.59
ST00071,"Bokku Branch 71",77,1571757.32
ST06895,"Bokku Branch 6895",125,1570567.97
ST05405,"Bokku Branch 5405",97,1569258.88
ST00353,"Bokku Branch 353",119,1569223.37
ST01929,"Bokku Branch 1929",101,1567698.24
ST03249,"Bokku Branch 3249",104,1565612.96
ST00124,"Bokku Branch 124",74,1563415.09
ST09980,"Bokku Branch 9980",97,1563390.07
ST09384,"Bokku Branch 9384",137,1562274.85
ST08147,"Bokku Branch 8147",80,1562035.56
ST07066,"Bokku Branch 7066",101,1561998.79
ST02347,"Bokku Branch 2347",91,1556015.44
ST01590,"Bokku Branch 1590",85,1553222.14
ST08117,"Bokku Branch 8117",111,1549143.05
ST08203,"Bokku Branch 8203",72,1547028.72
ST03959,"Bokku Branch 3959",88,1546484.68
ST09045,"Bokku Branch 9045",128,1545026.81
ST02739,"Bokku Branch 2739",99,1542317.78
ST07460,"Bokku Branch 7460",68,1539273.64
ST01206,"Bokku Branch 1206",128,1537015.66
ST07909,"Bokku Branch 7909",84,1536907.70
ST05156,"Bokku Branch 5156",77,1535217.02
ST03752,"Bokku Branch 3752",88,1534994.80
ST02834,"Bokku Branch 2834",84,1534680.27
ST08959,"Bokku Branch 8959",80,1534429.20
ST07614,"Bokku Branch 7614",113,1533360.68
ST00027,"Bokku Branch 27",101,1533212.40
ST00826,"Bokku Branch 826",117,1531102.09
ST00022,"Bokku Branch 22",81,1530149.08
ST02241,"Bokku Branch 2241",94,1529834.00
ST08321,"Bokku Branch 8321",130,1529750.08
ST01297,"Bokku Branch 1297",84,1528134.84
ST03346,"Bokku Branch 3346",68,1528049.45
ST08164,"Bokku Branch 8164",81,1522776.09
ST01472,"Bokku Branch 1472",113,1522755.11
ST04786,"Bokku Branch 4786",112,1522656.81
ST07071,"Bokku Branch 7071",87,1520562.30
ST09064,"Bokku Branch 9064",79,1517638.78
ST02410,"Bokku Branch 2410",81,1515760.55
ST09637,"Bokku Branch 9637",91,1515744.24
ST09025,"Bokku Branch 9025",95,1512626.96
ST06439,"Bokku Branch 6439",89,1511960.44
ST08632,"Bokku Branch 8632",105,1511872.61
ST07755,"Bokku Branch 7755",80,1510754.36
ST00757,"Bokku Branch 757",81,1508536.53
ST09222,"Bokku Branch 9222",73,1501528.36
ST07474,"Bokku Branch 7474",76,1496524.44
ST05579,"Bokku Branch 5579",100,1496051.63
ST09504,"Bokku Branch 9504",62,1495979.31
ST03310,"Bokku Branch 3310",108,1495872.24
ST07132,"Bokku Branch 7132",106,1495214.93
ST04870,"Bokku Branch 4870",72,1492565.18
ST05664,"Bokku Branch 5664",70,1489225.85
ST06827,"Bokku Branch 6827",78,1488778.16
ST09982,"Bokku Branch 9982",117,1488442.16
ST01829,"Bokku Branch 1829",75,1486096.65
ST03204,"Bokku Branch 3204",68,1483439.48
ST01004,"Bokku Branch 1004",87,1482013.95
ST05698,"Bokku Branch 5698",93,1478964.52
ST02023,"Bokku Branch 2023",107,1475936.32
ST01377,"Bokku Branch 1377",86,1475393.83
ST08589,"Bokku Branch 8589",75,1474857.42
ST05468,"Bokku Branch 5468",95,1473739.94
ST09163,"Bokku Branch 9163",87,1469521.91
ST04488,"Bokku Branch 4488",116,1468959.00
ST06708,"Bokku Branch 6708",86,1468078.62
ST01589,"Bokku Branch 1589",84,1465566.10
ST01537,"Bokku Branch 1537",81,1464989.11
ST04462,"Bokku Branch 4462",81,1464926.94
ST08605,"Bokku Branch 8605",94,1464839.42
ST09640,"Bokku Branch 9640",96,1461438.24
ST06334,"Bokku Branch 6334",73,1461012.21
ST06613,"Bokku Branch 6613",69,1460626.27
ST08273,"Bokku Branch 8273",97,1459652.52
ST03061,"Bokku Branch 3061",71,1459299.77
ST06102,"Bokku Branch 6102",108,1456233.60
ST04046,"Bokku Branch 4046",112,1449667.44
ST02587,"Bokku Branch 2587",105,1445116.08
ST01286,"Bokku Branch 1286",62,1442980.52
ST01250,"Bokku Branch 1250",88,1441803.96
ST01105,"Bokku Branch 1105",119,1441353.85
ST02523,"Bokku Branch 2523",97,1437798.06
ST01535,"Bokku Branch 1535",91,1435766.35
ST07086,"Bokku Branch 7086",75,1434522.00
ST08842,"Bokku Branch 8842",81,1434117.75
ST06158,"Bokku Branch 6158",125,1433700.44
ST09268,"Bokku Branch 9268",81,1432936.60
ST07929,"Bokku Branch 7929",115,1430801.87
ST00998,"Bokku Branch 998",79,1429419.18
ST07045,"Bokku Branch 7045",72,1428320.40
ST02692,"Bokku Branch 2692",130,1426984.03
ST05458,"Bokku Branch 5458",105,1426889.80
ST03343,"Bokku Branch 3343",81,1421106.59
ST02509,"Bokku Branch 2509",87,1419070.20
ST03715,"Bokku Branch 3715",87,1418728.06
ST07682,"Bokku Branch 7682",94,1417673.58
ST05814,"Bokku Branch 5814",71,1417446.50
ST00586,"Bokku Branch 586",81,1414710.13
ST07017,"Bokku Branch 7017",82,1414044.87
ST03831,"Bokku Branch 3831",89,1408980.75
ST08449,"Bokku Branch 8449",88,1408594.34
ST04745,"Bokku Branch 4745",110,1407284.62
ST06280,"Bokku Branch 6280",80,1405543.52
ST02675,"Bokku Branch 2675",94,1404731.87
ST05089,"Bokku Branch 5089",114,1404129.48
ST00548,"Bokku Branch 548",101,1402588.85
ST09716,"Bokku Branch 9716",82,1402270.74
ST06416,"Bokku Branch 6416",67,1402086.60
ST06571,"Bokku Branch 6571",108,1400349.74
ST02702,"Bokku Branch 2702",73,1400112.27
ST03951,"Bokku Branch 3951",87,1399650.61
ST06128,"Bokku Branch 6128",68,1395780.82
ST09201,"Bokku Branch 9201",97,1395400.49
ST03897,"Bokku Branch 3897",75,1394919.09
ST04820,"Bokku Branch 4820",92,1393133.84
ST04952,"Bokku Branch 4952",89,1390350.12
ST07025,"Bokku Branch 7025",96,1389708.73
ST09506,"Bokku Branch 9506",88,1388344.96
ST04628,"Bokku Branch 4628",84,1387929.66
ST08075,"Bokku Branch 8075",115,1387052.32
ST04964,"Bokku Branch 4964",83,1387019.45
ST04661,"Bokku Branch 4661",79,1383980.39
ST08404,"Bokku Branch 8404",78,1383225.04
ST06566,"Bokku Branch 6566",134,1382483.11
ST00545,"Bokku Branch 545",114,1381763.67
ST02005,"Bokku Branch 2005",68,1381422.79
ST09229,"Bokku Branch 9229",82,1378921.57
ST02358,"Bokku Branch 2358",69,1377681.84
ST06898,"Bokku Branch 6898",91,1376756.58
ST09348,"Bokku Branch 9348",72,1375934.96
ST05529,"Bokku Branch 5529",71,1374239.20
ST01729,"Bokku Branch 1729",60,1373942.07
ST00473,"Bokku Branch 473",82,1373797.58
ST07795,"Bokku Branch 7795",122,1370870.78
ST04525,"Bokku Branch 4525",91,1368966.93
ST02255,"Bokku Branch 2255",90,1367667.81
ST06240,"Bokku Branch 6240",77,1366306.16
ST04378,"Bokku Branch 4378",109,1366068.48
ST05846,"Bokku Branch 5846",68,1365314.44
ST02073,"Bokku Branch 2073",114,1365232.08
ST08552,"Bokku Branch 8552",75,1364655.04
ST08144,"Bokku Branch 8144",80,1363965.35
ST04268,"Bokku Branch 4268",85,1363776.38
ST05252,"Bokku Branch 5252",70,1363741.96
ST02100,"Bokku Branch 2100",60,1362689.30
ST00676,"Bokku Branch 676",64,1361964.84
ST07858,"Bokku Branch 7858",58,1361471.92
ST01971,"Bokku Branch 1971",86,1356409.32
ST01073,"Bokku Branch 1073",100,1355549.93
ST08202,"Bokku Branch 8202",61,1355305.50
ST00236,"Bokku Branch 236",108,1355013.53
ST08197,"Bokku Branch 8197",77,1348427.76
ST04895,"Bokku Branch 4895",62,1347019.24
ST01280,"Bokku Branch 1280",112,1346905.53
ST08174,"Bokku Branch 8174",69,1346837.45
ST04035,"Bokku Branch 4035",123,1345941.86
ST03333,"Bokku Branch 3333",113,1345923.66
ST00892,"Bokku Branch 892",123,1343406.72
ST02345,"Bokku Branch 2345",89,1340791.73
ST09445,"Bokku Branch 9445",121,1340137.30
ST04610,"Bokku Branch 4610",65,1339764.12
ST00686,"Bokku Branch 686",132,1338039.08
ST07158,"Bokku Branch 7158",83,1337872.58
ST02392,"Bokku Branch 2392",135,1337398.11
ST06253,"Bokku Branch 6253",93,1336944.58
ST07751,"Bokku Branch 7751",70,1335180.40
ST00244,"Bokku Branch 244",95,1333918.95
ST09511,"Bokku Branch 9511",82,1332946.56
ST06264,"Bokku Branch 6264",81,1330700.04
ST09098,"Bokku Branch 9098",61,1328689.45
ST08707,"Bokku Branch 8707",72,1328100.50
ST02287,"Bokku Branch 2287",97,1327670.95
ST06470,"Bokku Branch 6470",89,1327536.76
ST00784,"Bokku Branch 784",104,1325386.08
ST00861,"Bokku Branch 861",123,1325382.63
ST01803,"Bokku Branch 1803",98,1325109.27
ST06345,"Bokku Branch 6345",66,1323903.48
ST02187,"Bokku Branch 2187",113,1322737.97
ST05755,"Bokku Branch 5755",66,1322033.85
ST08914,"Bokku Branch 8914",68,1321421.98
ST08103,"Bokku Branch 8103",139,1318558.06
ST04466,"Bokku Branch 4466",92,1318470.98
ST08326,"Bokku Branch 8326",62,1316592.41
ST09830,"Bokku Branch 9830",92,1314606.84
ST04831,"Bokku Branch 4831",71,1314155.16
ST02444,"Bokku Branch 2444",91,1310329.58
ST01217,"Bokku Branch 1217",131,1310044.06
ST00426,"Bokku Branch 426",83,1307256.37
ST09903,"Bokku Branch 9903",67,1304882.24
ST07043,"Bokku Branch 7043",72,1304788.27
ST07800,"Bokku Branch 7800",74,1303680.52
ST07683,"Bokku Branch 7683",90,1302057.45
ST04779,"Bokku Branch 4779",62,1302050.94
ST01932,"Bokku Branch 1932",72,1301085.38
ST01732,"Bokku Branch 1732",70,1301039.80
ST02949,"Bokku Branch 2949",91,1300649.29
ST09889,"Bokku Branch 9889",81,1300619.73
ST04062,"Bokku Branch 4062",90,1300192.98
ST08985,"Bokku Branch 8985",101,1297271.92
ST01143,"Bokku Branch 1143",84,1296135.28
ST02008,"Bokku Branch 2008",91,1294591.64
ST04876,"Bokku Branch 4876",79,1294441.48
ST02065,"Bokku Branch 2065",123,1293206.07
ST08782,"Bokku Branch 8782",100,1290750.33
ST01233,"Bokku Branch 1233",83,1290278.27
ST07199,"Bokku Branch 7199",62,1288641.24
ST02956,"Bokku Branch 2956",86,1288569.26
ST05423,"Bokku Branch 5423",83,1286357.78
ST04510,"Bokku Branch 4510",93,1285597.71
ST09359,"Bokku Branch 9359",153,1285291.58
ST04307,"Bokku Branch 4307",71,1285184.90
ST00579,"Bokku Branch 579",108,1283948.23
ST05047,"Bokku Branch 5047",87,1281817.90
ST07085,"Bokku Branch 7085",73,1281605.38
ST03940,"Bokku Branch 3940",57,1281430.82
ST06721,"Bokku Branch 6721",96,1280924.82
ST06088,"Bokku Branch 6088",72,1272942.88
ST08284,"Bokku Branch 8284",54,1272350.28
ST03483,"Bokku Branch 3483",100,1271949.30
ST08746,"Bokku Branch 8746",62,1271915.22
ST01179,"Bokku Branch 1179",58,1270560.76
ST05345,"Bokku Branch 5345",68,1270110.94
ST08692,"Bokku Branch 8692",71,1270065.72
ST08660,"Bokku Branch 8660",56,1269192.75
ST00833,"Bokku Branch 833",67,1269158.67
ST08298,"Bokku Branch 8298",91,1268349.82
ST05256,"Bokku Branch 5256",87,1265490.37
ST05344,"Bokku Branch 5344",94,1265099.74
ST01640,"Bokku Branch 1640",55,1264325.88
ST02205,"Bokku Branch 2205",111,1264320.13
ST03087,"Bokku Branch 3087",84,1263934.20
ST09220,"Bokku Branch 9220",58,1263171.79
ST07429,"Bokku Branch 7429",60,1263155.97
ST04598,"Bokku Branch 4598",97,1261478.40
ST05098,"Bokku Branch 5098",62,1261079.74
ST06907,"Bokku Branch 6907",84,1260010.43
ST02593,"Bokku Branch 2593",87,1259105.94
ST05236,"Bokku Branch 5236",78,1258679.56
ST09014,"Bokku Branch 9014",100,1258438.12
ST08906,"Bokku Branch 8906",85,1257727.90
ST06738,"Bokku Branch 6738",87,1257483.41
ST03593,"Bokku Branch 3593",70,1256873.90
ST07016,"Bokku Branch 7016",100,1252896.99
ST06057,"Bokku Branch 6057",92,1251462.66
ST02689,"Bokku Branch 2689",79,1251414.87
ST07173,"Bokku Branch 7173",65,1250328.00
ST05057,"Bokku Branch 5057",81,1250179.83
ST04737,"Bokku Branch 4737",78,1246595.58
ST06477,"Bokku Branch 6477",93,1245966.69
ST06344,"Bokku Branch 6344",63,1244588.89
ST01511,"Bokku Branch 1511",67,1244308.06
ST08314,"Bokku Branch 8314",79,1243712.68
ST05962,"Bokku Branch 5962",78,1242399.95
ST05927,"Bokku Branch 5927",61,1241836.03
ST03138,"Bokku Branch 3138",57,1241708.94
ST05337,"Bokku Branch 5337",119,1241207.88
ST00706,"Bokku Branch 706",73,1240897.65
ST05486,"Bokku Branch 5486",83,1240811.43
ST07141,"Bokku Branch 7141",55,1240123.56
ST01970,"Bokku Branch 1970",92,1239811.82
ST06966,"Bokku Branch 6966",95,1239483.06
ST04361,"Bokku Branch 4361",111,1238022.76
ST05897,"Bokku Branch 5897",64,1237504.69
ST01940,"Bokku Branch 1940",100,1237020.88
ST04917,"Bokku Branch 4917",75,1236863.50
ST09612,"Bokku Branch 9612",68,1236429.80
ST09658,"Bokku Branch 9658",93,1235206.85
ST09711,"Bokku Branch 9711",77,1234885.94
ST03508,"Bokku Branch 3508",62,1233619.03
ST03968,"Bokku Branch 3968",92,1233132.02
ST04730,"Bokku Branch 4730",64,1232982.84
ST09744,"Bokku Branch 9744",102,1231882.10
ST05677,"Bokku Branch 5677",58,1231610.44
ST01213,"Bokku Branch 1213",54,1230490.08
ST08695,"Bokku Branch 8695",104,1229436.18
ST07644,"Bokku Branch 7644",94,1226683.42
ST05227,"Bokku Branch 5227",85,1226421.28
ST04625,"Bokku Branch 4625",72,1225005.48
ST03355,"Bokku Branch 3355",66,1224431.58
ST04102,"Bokku Branch 4102",58,1224043.74
ST02456,"Bokku Branch 2456",81,1222047.81
ST06294,"Bokku Branch 6294",54,1221510.86
ST04846,"Bokku Branch 4846",62,1221432.26
ST08773,"Bokku Branch 8773",76,1221059.52
ST04574,"Bokku Branch 4574",103,1220402.09
ST02290,"Bokku Branch 2290",64,1218552.16
ST07689,"Bokku Branch 7689",57,1217074.17
ST08486,"Bokku Branch 8486",50,1216827.50
ST00555,"Bokku Branch 555",68,1216105.13
ST07254,"Bokku Branch 7254",84,1215245.52
ST09705,"Bokku Branch 9705",95,1215112.31
ST05169,"Bokku Branch 5169",97,1214617.14
ST06419,"Bokku Branch 6419",70,1214278.94
ST00487,"Bokku Branch 487",57,1213907.98
ST07120,"Bokku Branch 7120",53,1212358.26
ST07516,"Bokku Branch 7516",57,1211867.20
ST01152,"Bokku Branch 1152",64,1211821.04
ST02480,"Bokku Branch 2480",62,1211425.34
ST07467,"Bokku Branch 7467",71,1209508.60
ST00064,"Bokku Branch 64",87,1207822.29
ST01718,"Bokku Branch 1718",78,1207797.87
ST09002,"Bokku Branch 9002",54,1207698.66
ST07931,"Bokku Branch 7931",113,1207340.16
ST00596,"Bokku Branch 596",72,1206908.36
ST00130,"Bokku Branch 130",71,1206688.10
ST06011,"Bokku Branch 6011",55,1205524.10
ST02788,"Bokku Branch 2788",50,1204351.28
ST02169,"Bokku Branch 2169",49,1204305.34
ST03767,"Bokku Branch 3767",69,1203181.52
ST06575,"Bokku Branch 6575",72,1203118.39
ST01985,"Bokku Branch 1985",77,1201597.79
ST02002,"Bokku Branch 2002",65,1201591.63
ST09211,"Bokku Branch 9211",61,1201352.28
ST03640,"Bokku Branch 3640",54,1200914.16
ST05754,"Bokku Branch 5754",49,1200655.82
ST02439,"Bokku Branch 2439",74,1200057.99
ST05834,"Bokku Branch 5834",96,1198945.44
ST00698,"Bokku Branch 698",60,1197829.50
ST07752,"Bokku Branch 7752",54,1197264.24
ST06874,"Bokku Branch 6874",83,1197149.49
ST01445,"Bokku Branch 1445",76,1196935.44
ST07447,"Bokku Branch 7447",69,1196301.75
ST01525,"Bokku Branch 1525",70,1195318.70
ST01635,"Bokku Branch 1635",116,1195226.92
ST06760,"Bokku Branch 6760",91,1194553.02
ST03826,"Bokku Branch 3826",68,1193038.00
ST00375,"Bokku Branch 375",117,1191968.85
ST00319,"Bokku Branch 319",55,1191281.05
ST06225,"Bokku Branch 6225",49,1191173.22
ST05435,"Bokku Branch 5435",98,1190982.89
ST06187,"Bokku Branch 6187",88,1190735.78
ST07189,"Bokku Branch 7189",100,1190681.80
ST08530,"Bokku Branch 8530",95,1190556.30
ST05376,"Bokku Branch 5376",92,1190278.06
ST01576,"Bokku Branch 1576",96,1189854.24
ST07572,"Bokku Branch 7572",74,1189569.58
ST04965,"Bokku Branch 4965",59,1189527.80
ST01872,"Bokku Branch 1872",84,1188710.98
ST05728,"Bokku Branch 5728",69,1188614.23
ST04643,"Bokku Branch 4643",56,1187539.29
ST01663,"Bokku Branch 1663",50,1187215.50
ST05988,"Bokku Branch 5988",50,1185982.77
ST03998,"Bokku Branch 3998",84,1185666.68
ST04947,"Bokku Branch 4947",51,1185296.28
ST04723,"Bokku Branch 4723",115,1185088.50
ST08126,"Bokku Branch 8126",65,1184299.43
ST00729,"Bokku Branch 729",90,1184071.67
ST07313,"Bokku Branch 7313",58,1184064.57
ST01622,"Bokku Branch 1622",49,1183781.20
ST08623,"Bokku Branch 8623",95,1182411.62
ST02918,"Bokku Branch 2918",54,1181502.81
ST03253,"Bokku Branch 3253",98,1180918.30
ST02577,"Bokku Branch 2577",70,1180488.33
ST08882,"Bokku Branch 8882",60,1180161.24
ST01839,"Bokku Branch 1839",48,1179898.56
ST07405,"Bokku Branch 7405",68,1179764.64
ST06705,"Bokku Branch 6705",57,1179043.71
ST07855,"Bokku Branch 7855",72,1176567.32
ST02171,"Bokku Branch 2171",59,1175401.21
ST08574,"Bokku Branch 8574",57,1174431.40
ST03780,"Bokku Branch 3780",65,1172772.13
ST07251,"Bokku Branch 7251",64,1171948.16
ST02375,"Bokku Branch 2375",90,1170149.38
ST01154,"Bokku Branch 1154",70,1169434.00
ST03010,"Bokku Branch 3010",107,1167896.07
ST04592,"Bokku Branch 4592",58,1167796.92
ST05715,"Bokku Branch 5715",69,1167644.61
ST07301,"Bokku Branch 7301",82,1167179.66
ST08624,"Bokku Branch 8624",66,1166647.35
ST04024,"Bokku Branch 4024",51,1165905.11
ST07841,"Bokku Branch 7841",55,1164639.97
ST04830,"Bokku Branch 4830",50,1164433.50
ST07587,"Bokku Branch 7587",65,1164027.68
ST05185,"Bokku Branch 5185",60,1161168.33
ST08512,"Bokku Branch 8512",64,1160651.21
ST07351,"Bokku Branch 7351",55,1159513.20
ST01644,"Bokku Branch 1644",85,1159443.28
ST02352,"Bokku Branch 2352",69,1158659.46
ST09272,"Bokku Branch 9272",122,1157946.52
ST03975,"Bokku Branch 3975",74,1157569.63
ST02068,"Bokku Branch 2068",63,1156569.92
ST00144,"Bokku Branch 144",47,1155023.12
ST01686,"Bokku Branch 1686",56,1153286.05
ST03301,"Bokku Branch 3301",54,1153270.32
ST02645,"Bokku Branch 2645",54,1153064.22
ST05997,"Bokku Branch 5997",65,1152787.56
ST06564,"Bokku Branch 6564",49,1152735.29
ST06537,"Bokku Branch 6537",58,1152598.00
ST05888,"Bokku Branch 5888",74,1151508.98
ST09585,"Bokku Branch 9585",52,1151433.20
ST09165,"Bokku Branch 9165",68,1151064.03
