product_name,Sales_Year,Sales_Month,Sales_Month_Number,Monthly_Sales
"Power Oil Product 3449",2025,October,10,2066901.03
"Nestle Product 7948",2025,June,6,2059388.53
"Peak Product 2057",2025,August,8,2058413.90
"Indomie Product 5511",2025,July,7,2053441.05
"Nestle Product 7752",2025,January,1,2049266.79
"Power Oil Product 60",2025,November,11,2048490.42
"Milo Product 7234",2025,January,1,2037895.62
"Nestle Product 8548",2025,October,10,2031011.99
"Golden Penny Product 9094",2025,October,10,2029157.51
"Indomie Product 2400",2025,May,5,2018615.97
"Dangote Product 2970",2025,March,3,2009131.80
"Nestle Product 9791",2025,October,10,2007840.17
"Golden Penny Product 2849",2025,January,1,2005514.86
"Dettol Product 619",2025,August,8,2000182.76
"Golden Penny Product 151",2025,October,10,1997785.46
"Peak Product 1646",2025,April,4,1997230.82
"Dettol Product 9960",2025,May,5,1978494.93
"Golden Penny Product 3936",2025,February,2,1973668.40
"Nestle Product 6957",2025,February,2,1973141.24
"Power Oil Product 7225",2025,June,6,1969556.45
"Golden Penny Product 9074",2025,November,11,1957154.36
"Golden Penny Product 5825",2025,May,5,1952966.02
"Peak Product 7395",2025,October,10,1937939.50
"Dettol Product 6741",2025,June,6,1919125.89
"Indomie Product 6379",2025,October,10,1909833.87
"Nestle Product 4437",2025,February,2,1908836.59
"Dangote Product 5052",2025,February,2,1904960.10
"Nestle Product 8965",2025,September,9,1897178.40
"Nestle Product 9496",2025,May,5,1877461.36
"Indomie Product 3811",2025,May,5,1868229.54
"Golden Penny Product 9403",2025,November,11,1859705.63
"Peak Product 2511",2025,January,1,1858479.93
"Peak Product 2396",2025,September,9,1857120.32
"Dangote Product 5386",2025,February,2,1850432.84
"Power Oil Product 9721",2025,January,1,1846548.48
"Power Oil Product 1349",2025,August,8,1845006.20
"Power Oil Product 243",2025,April,4,1843497.81
"Indomie Product 1164",2025,January,1,1837261.33
"Dettol Product 2934",2025,June,6,1831545.33
"Indomie Product 4292",2025,April,4,1826393.17
"Peak Product 1351",2025,March,3,1825157.30
"Peak Product 701",2025,July,7,1823568.43
"Milo Product 5964",2025,January,1,1822340.44
"Peak Product 8613",2025,June,6,1815637.97
"Power Oil Product 6546",2025,November,11,1813018.98
"Peak Product 6118",2025,August,8,1812791.49
"Milo Product 6932",2025,January,1,1810724.83
"Milo Product 6427",2025,June,6,1797370.82
"Power Oil Product 3175",2025,January,1,1796111.88
"Golden Penny Product 4133",2025,September,9,1794473.17
"Golden Penny Product 6485",2025,September,9,1784996.18
"Peak Product 4085",2025,January,1,1784223.72
"Peak Product 908",2025,August,8,1783587.69
"Nestle Product 4309",2025,September,9,1779604.90
"Milo Product 5288",2025,November,11,1779420.95
"Dettol Product 6819",2025,October,10,1773046.03
"Dangote Product 950",2025,January,1,1771961.04
"Power Oil Product 9817",2025,September,9,1763704.15
"Dangote Product 1517",2025,March,3,1762445.89
"Indomie Product 3721",2025,March,3,1761944.56
"Golden Penny Product 4278",2025,February,2,1761014.23
"Golden Penny Product 2575",2025,April,4,1760456.41
"Peak Product 9133",2025,June,6,1743520.12
"Milo Product 1817",2025,February,2,1735804.24
"Power Oil Product 2536",2025,October,10,1734804.42
"Power Oil Product 7055",2025,April,4,1719058.25
"Dettol Product 9661",2025,January,1,1718770.73
"Dettol Product 2256",2025,September,9,1718108.01
"Golden Penny Product 3233",2025,February,2,1717737.41
"Dangote Product 9734",2025,August,8,1716468.38
"Milo Product 8132",2025,September,9,1715832.65
"Indomie Product 1610",2025,August,8,1709014.80
"Nestle Product 1863",2025,September,9,1704829.46
"Power Oil Product 9771",2025,March,3,1703715.34
"Dangote Product 813",2025,March,3,1700814.31
"Peak Product 1854",2025,March,3,1696199.56
"Dangote Product 6008",2025,August,8,1696106.23
"Dangote Product 8539",2025,November,11,1694010.15
"Milo Product 7217",2025,March,3,1692419.76
"Dettol Product 2797",2025,March,3,1690589.76
"Peak Product 837",2025,May,5,1690143.25
"Milo Product 184",2025,December,12,1687607.62
"Dettol Product 9732",2025,September,9,1683161.00
"Power Oil Product 736",2025,February,2,1681189.66
"Power Oil Product 4279",2025,August,8,1680180.76
"Power Oil Product 9337",2025,July,7,1674015.03
"Milo Product 219",2025,October,10,1667431.08
"Power Oil Product 9572",2025,May,5,1664528.68
"Nestle Product 2493",2025,January,1,1663815.02
"Power Oil Product 9068",2025,October,10,1663434.57
"Power Oil Product 6083",2025,April,4,1661718.46
"Indomie Product 5729",2025,January,1,1661392.98
"Indomie Product 8315",2025,September,9,1660739.74
"Power Oil Product 8215",2025,May,5,1658778.24
"Milo Product 8662",2025,June,6,1655594.38
"Power Oil Product 4799",2025,September,9,1654434.88
"Indomie Product 5920",2025,June,6,1650010.08
"Dettol Product 6522",2025,October,10,1646854.28
"Dangote Product 4165",2025,January,1,1644452.27
"Milo Product 3193",2025,January,1,1643853.76
"Dettol Product 4033",2025,February,2,1643317.47
"Milo Product 9079",2025,August,8,1636614.97
"Golden Penny Product 527",2025,March,3,1636161.40
"Peak Product 839",2025,June,6,1633312.20
"Nestle Product 9270",2025,October,10,1630477.81
"Nestle Product 805",2025,July,7,1629775.18
"Dettol Product 4725",2025,October,10,1629130.08
"Indomie Product 1169",2025,January,1,1624915.99
"Golden Penny Product 5344",2025,October,10,1619391.15
"Dangote Product 66",2025,October,10,1618806.69
"Power Oil Product 8850",2025,August,8,1617210.61
"Milo Product 2764",2025,March,3,1610829.52
"Nestle Product 5912",2025,September,9,1608362.26
"Dangote Product 1354",2025,March,3,1607740.60
"Milo Product 6936",2025,January,1,1604850.19
"Golden Penny Product 5155",2025,June,6,1604515.94
"Nestle Product 8226",2025,December,12,1600439.34
"Milo Product 2052",2025,October,10,1600428.80
"Dettol Product 4927",2025,May,5,1596824.54
"Dettol Product 2268",2025,October,10,1595662.99
"Dangote Product 4703",2025,October,10,1593837.78
"Dettol Product 4658",2025,April,4,1593178.55
"Power Oil Product 5829",2025,September,9,1590345.39
"Power Oil Product 8005",2025,August,8,1588827.68
"Power Oil Product 7471",2025,August,8,1586931.22
"Indomie Product 5875",2025,April,4,1579251.80
"Milo Product 4970",2025,April,4,1577077.54
"Indomie Product 9178",2025,May,5,1572878.69
"Dettol Product 6396",2025,November,11,1568333.07
"Peak Product 8228",2025,April,4,1567065.05
"Milo Product 9702",2025,June,6,1566941.11
"Golden Penny Product 6620",2025,May,5,1565753.21
"Indomie Product 5679",2025,November,11,1562542.56
"Milo Product 5176",2025,June,6,1561585.98
"Dettol Product 1749",2025,April,4,1560998.86
"Peak Product 8317",2025,May,5,1558961.30
"Dangote Product 8008",2025,September,9,1558249.11
"Power Oil Product 8407",2025,November,11,1557939.18
"Power Oil Product 6723",2025,January,1,1556992.46
"Nestle Product 1899",2025,October,10,1556321.72
"Power Oil Product 2309",2025,June,6,1554568.81
"Golden Penny Product 8465",2025,May,5,1554398.03
"Dettol Product 7660",2025,February,2,1552876.37
"Golden Penny Product 1054",2025,March,3,1550493.68
"Dangote Product 3416",2025,September,9,1550138.90
"Power Oil Product 4989",2025,December,12,1549497.44
"Power Oil Product 1295",2025,August,8,1547041.71
"Dangote Product 7361",2025,March,3,1544965.53
"Power Oil Product 4317",2025,December,12,1542001.76
"Dettol Product 7737",2025,March,3,1536392.96
"Golden Penny Product 8651",2025,September,9,1535558.54
"Indomie Product 1923",2026,January,1,1532608.95
"Dettol Product 5837",2025,June,6,1532604.43
"Dangote Product 8890",2025,December,12,1532007.10
"Nestle Product 5521",2025,November,11,1531284.24
"Milo Product 9567",2025,August,8,1530864.17
"Dangote Product 4138",2025,April,4,1528326.77
"Nestle Product 8322",2025,July,7,1527916.40
"Golden Penny Product 2221",2025,February,2,1524857.81
"Indomie Product 4827",2025,June,6,1523387.19
"Dangote Product 4982",2025,October,10,1522196.88
"Indomie Product 2304",2025,August,8,1519615.67
"Indomie Product 2167",2025,August,8,1512983.28
"Dettol Product 8990",2025,September,9,1510828.23
"Dettol Product 5157",2025,August,8,1510370.80
"Power Oil Product 688",2025,July,7,1510197.74
"Peak Product 8518",2025,September,9,1509407.09
"Golden Penny Product 5025",2025,May,5,1507236.00
"Nestle Product 7638",2025,February,2,1506634.03
"Dettol Product 855",2025,August,8,1502277.54
"Golden Penny Product 8232",2025,July,7,1502040.78
"Nestle Product 8671",2025,September,9,1501178.58
"Dettol Product 8401",2025,August,8,1499714.86
"Dangote Product 8839",2025,April,4,1499523.70
"Nestle Product 2720",2025,February,2,1498155.36
"Power Oil Product 4438",2025,October,10,1495649.26
"Dettol Product 4775",2025,March,3,1494299.72
"Dangote Product 8730",2025,October,10,1493564.76
"Nestle Product 2387",2025,October,10,1493503.16
"Peak Product 92",2025,September,9,1493336.08
"Peak Product 9896",2025,June,6,1492117.27
"Dettol Product 9754",2025,March,3,1491552.91
"Nestle Product 2681",2025,March,3,1491162.20
"Power Oil Product 5651",2025,March,3,1489380.50
"Golden Penny Product 1665",2025,September,9,1487336.64
"Milo Product 1547",2025,December,12,1485938.45
"Peak Product 4127",2025,May,5,1484374.59
"Power Oil Product 5221",2025,June,6,1484238.42
"Dettol Product 9983",2025,September,9,1484172.37
"Dangote Product 1937",2025,October,10,1483938.01
"Milo Product 8692",2025,December,12,1483471.17
"Dangote Product 4636",2025,January,1,1482842.16
"Peak Product 3890",2025,July,7,1481434.05
"Power Oil Product 2039",2025,March,3,1480937.98
"Golden Penny Product 6836",2025,January,1,1479670.58
"Dettol Product 5256",2025,October,10,1478945.12
"Dettol Product 6564",2025,June,6,1478497.00
"Golden Penny Product 4503",2025,July,7,1478248.49
"Milo Product 704",2025,January,1,1476258.31
"Peak Product 9889",2025,June,6,1475849.87
"Golden Penny Product 3892",2025,April,4,1473988.83
"Power Oil Product 2209",2025,April,4,1471402.83
"Nestle Product 9904",2025,February,2,1469689.28
"Power Oil Product 3545",2025,September,9,1468963.50
"Milo Product 8868",2025,April,4,1467976.58
"Golden Penny Product 8653",2025,March,3,1467100.23
"Dettol Product 6122",2025,April,4,1465617.62
"Dettol Product 9255",2025,February,2,1464064.71
"Milo Product 3900",2025,August,8,1458055.01
"Peak Product 1477",2025,June,6,1456749.95
"Milo Product 4347",2025,July,7,1451855.00
"Golden Penny Product 2680",2025,December,12,1451620.34
"Dangote Product 375",2025,December,12,1451206.41
"Dangote Product 7245",2025,July,7,1450863.05
"Dangote Product 4548",2025,July,7,1450573.52
"Milo Product 1746",2025,March,3,1450361.36
"Dettol Product 7810",2025,February,2,1450227.51
"Nestle Product 1583",2025,June,6,1447795.46
"Power Oil Product 3910",2025,May,5,1445770.89
"Indomie Product 4579",2025,June,6,1442869.90
"Power Oil Product 2870",2025,September,9,1440939.28
"Power Oil Product 3119",2025,October,10,1438681.36
"Dangote Product 2294",2025,July,7,1438560.08
"Dangote Product 3702",2025,July,7,1438257.24
"Golden Penny Product 1355",2025,April,4,1437824.07
"Dettol Product 7892",2025,June,6,1437780.79
"Milo Product 841",2025,October,10,1437548.98
"Peak Product 5363",2025,October,10,1436292.49
"Dangote Product 4079",2025,December,12,1435773.94
"Dettol Product 7317",2025,March,3,1434835.80
"Nestle Product 7071",2025,June,6,1433677.88
"Indomie Product 8971",2025,June,6,1433657.75
"Peak Product 475",2025,February,2,1432018.66
"Nestle Product 9690",2025,October,10,1431992.20
"Milo Product 4694",2025,October,10,1431696.18
"Dangote Product 5313",2025,November,11,1431593.10
"Power Oil Product 8440",2025,September,9,1431529.53
"Golden Penny Product 7823",2025,May,5,1430756.80
"Indomie Product 7599",2025,May,5,1427527.16
"Milo Product 4488",2025,November,11,1425053.63
"Golden Penny Product 5789",2025,November,11,1423305.70
"Power Oil Product 8922",2025,April,4,1422910.51
"Dettol Product 3067",2025,May,5,1422630.52
"Peak Product 4938",2025,March,3,1418152.66
"Nestle Product 4428",2025,October,10,1418106.24
"Nestle Product 6610",2025,July,7,1414417.59
"Peak Product 2787",2025,May,5,1413921.34
"Peak Product 626",2025,November,11,1408918.32
"Power Oil Product 8577",2025,October,10,1407040.69
"Power Oil Product 275",2025,July,7,1406283.80
"Peak Product 4216",2025,September,9,1406103.52
"Indomie Product 6467",2025,May,5,1403909.08
"Power Oil Product 4076",2025,July,7,1401870.88
"Peak Product 1061",2025,July,7,1395393.34
"Milo Product 1766",2025,October,10,1394940.50
"Milo Product 702",2025,August,8,1394645.23
"Indomie Product 3225",2025,May,5,1392972.58
"Golden Penny Product 7139",2025,March,3,1392923.75
"Indomie Product 4515",2025,March,3,1391053.47
"Milo Product 23",2025,November,11,1387939.21
"Nestle Product 2179",2025,July,7,1385951.25
"Nestle Product 9162",2025,September,9,1383599.22
"Peak Product 5457",2025,April,4,1382351.67
"Milo Product 5542",2025,April,4,1382060.64
"Nestle Product 5882",2025,November,11,1381792.30
"Indomie Product 5745",2025,January,1,1381716.18
"Nestle Product 8452",2025,March,3,1379968.20
"Indomie Product 5841",2025,April,4,1377964.75
"Nestle Product 3757",2025,May,5,1376877.60
"Indomie Product 6878",2025,May,5,1371748.24
"Power Oil Product 9914",2025,March,3,1371255.21
"Dettol Product 434",2025,November,11,1370822.14
"Golden Penny Product 6346",2025,July,7,1366940.34
"Power Oil Product 5339",2025,August,8,1366164.18
"Power Oil Product 8042",2025,November,11,1365027.73
"Peak Product 7517",2025,September,9,1361909.42
"Indomie Product 9209",2025,July,7,1361430.51
"Milo Product 2128",2025,February,2,1361395.89
"Nestle Product 6362",2025,November,11,1361253.52
"Dettol Product 783",2025,July,7,1361021.52
"Nestle Product 3293",2025,September,9,1360092.03
"Indomie Product 8127",2025,March,3,1358845.12
"Milo Product 3862",2025,August,8,1358776.92
"Power Oil Product 3752",2025,March,3,1355891.33
"Indomie Product 2067",2025,November,11,1354689.70
"Peak Product 2136",2025,December,12,1354640.09
"Nestle Product 9239",2025,October,10,1353675.17
"Indomie Product 9535",2025,October,10,1349530.24
"Indomie Product 1706",2025,June,6,1348495.23
"Dangote Product 4101",2025,September,9,1347146.87
"Golden Penny Product 8729",2025,August,8,1347141.52
"Peak Product 8541",2025,April,4,1346923.80
"Golden Penny Product 6965",2025,August,8,1346457.42
"Indomie Product 2292",2025,December,12,1345915.90
"Golden Penny Product 9387",2025,April,4,1342839.22
"Nestle Product 7089",2025,September,9,1342709.40
"Milo Product 7435",2025,May,5,1342266.47
"Golden Penny Product 9575",2025,February,2,1340336.63
"Power Oil Product 7730",2025,October,10,1340225.38
"Nestle Product 6998",2025,August,8,1336864.94
"Nestle Product 156",2025,June,6,1335279.18
"Power Oil Product 6407",2025,May,5,1334226.68
"Milo Product 6639",2025,November,11,1333257.45
"Peak Product 9753",2025,January,1,1333232.24
"Power Oil Product 3186",2025,July,7,1332843.37
"Dettol Product 919",2025,June,6,1332437.80
"Peak Product 8664",2025,March,3,1329148.40
"Milo Product 5799",2025,January,1,1327889.96
"Milo Product 3134",2025,July,7,1327806.71
"Milo Product 1977",2025,April,4,1326266.59
"Power Oil Product 4201",2025,September,9,1322929.96
"Golden Penny Product 5680",2025,August,8,1322337.62
"Milo Product 2051",2025,July,7,1321198.20
"Dangote Product 8389",2025,February,2,1320705.75
"Nestle Product 6738",2025,August,8,1316829.30
"Milo Product 5213",2025,October,10,1314827.20
"Milo Product 5853",2025,June,6,1314180.87
"Milo Product 268",2025,September,9,1313321.51
"Dangote Product 5878",2025,February,2,1312894.76
"Nestle Product 5813",2025,December,12,1312381.79
"Nestle Product 866",2025,June,6,1309135.03
"Indomie Product 6112",2025,September,9,1308193.42
"Nestle Product 1692",2025,January,1,1307789.52
"Indomie Product 1150",2025,March,3,1307696.22
"Dettol Product 8881",2025,July,7,1306948.92
"Peak Product 7851",2025,June,6,1306940.60
"Golden Penny Product 8016",2025,August,8,1303772.88
"Milo Product 4620",2025,August,8,1303672.48
"Power Oil Product 5661",2025,October,10,1302156.25
"Golden Penny Product 9930",2025,May,5,1299133.86
"Indomie Product 5254",2025,September,9,1298728.78
"Dettol Product 2497",2025,December,12,1298504.74
"Dettol Product 6512",2025,May,5,1297363.48
"Dangote Product 2527",2025,November,11,1297053.48
"Dangote Product 1653",2025,February,2,1296920.15
"Power Oil Product 6199",2025,July,7,1296916.12
"Nestle Product 1681",2025,January,1,1296903.85
"Dettol Product 5338",2025,December,12,1295838.63
"Peak Product 820",2025,February,2,1294610.90
"Golden Penny Product 658",2025,January,1,1293267.78
"Power Oil Product 5770",2025,October,10,1292667.19
"Nestle Product 9591",2025,January,1,1291106.46
"Peak Product 4320",2025,July,7,1291000.21
"Peak Product 3850",2025,September,9,1290851.73
"Dettol Product 2181",2025,June,6,1290484.66
"Dangote Product 2907",2025,June,6,1286282.83
"Indomie Product 6704",2025,March,3,1285383.43
"Power Oil Product 6984",2025,February,2,1285177.92
"Golden Penny Product 914",2025,March,3,1284634.16
"Dettol Product 9899",2025,April,4,1281908.78
"Nestle Product 2835",2025,October,10,1281447.52
"Power Oil Product 672",2025,September,9,1281009.72
"Golden Penny Product 3792",2025,May,5,1280570.84
"Nestle Product 6205",2025,July,7,1280263.24
"Power Oil Product 8386",2025,February,2,1277703.00
"Nestle Product 1996",2025,September,9,1275659.41
"Nestle Product 515",2025,January,1,1275345.54
"Nestle Product 3340",2025,November,11,1273951.14
"Dettol Product 8632",2025,December,12,1273917.65
"Indomie Product 5152",2025,April,4,1272673.82
"Dettol Product 9830",2025,May,5,1272180.88
"Power Oil Product 2105",2025,July,7,1272039.25
"Indomie Product 9312",2025,July,7,1270936.88
"Nestle Product 3114",2025,April,4,1268990.55
"Milo Product 5979",2025,August,8,1268183.68
"Milo Product 3562",2025,July,7,1267196.34
"Milo Product 9773",2025,August,8,1266535.13
"Golden Penny Product 7526",2025,October,10,1265760.86
"Milo Product 7364",2025,March,3,1264684.32
"Golden Penny Product 3085",2025,December,12,1264508.45
"Nestle Product 7261",2025,May,5,1263084.67
"Golden Penny Product 1597",2025,August,8,1261879.68
"Indomie Product 4186",2025,January,1,1261231.76
"Golden Penny Product 6760",2025,September,9,1261180.89
"Peak Product 3793",2025,April,4,1260427.27
"Dangote Product 6679",2025,January,1,1260235.44
"Milo Product 7072",2025,September,9,1259539.15
"Milo Product 3458",2025,January,1,1257480.16
"Dangote Product 8321",2025,May,5,1257466.57
"Dangote Product 4401",2025,January,1,1255763.53
"Milo Product 7906",2025,January,1,1254555.04
"Nestle Product 8605",2025,July,7,1253157.17
"Indomie Product 5385",2025,October,10,1252752.60
"Peak Product 7008",2025,April,4,1252686.81
"Indomie Product 5872",2025,October,10,1251880.14
"Peak Product 9170",2025,March,3,1251795.09
"Dangote Product 7339",2025,January,1,1250453.60
"Power Oil Product 526",2025,September,9,1246253.57
"Indomie Product 5762",2025,May,5,1244989.44
"Peak Product 9054",2025,March,3,1244008.87
"Power Oil Product 1122",2025,August,8,1243835.12
"Golden Penny Product 2660",2025,August,8,1243322.21
"Nestle Product 1079",2025,February,2,1242526.60
"Peak Product 8620",2025,September,9,1241765.40
"Milo Product 996",2025,August,8,1239419.53
"Milo Product 497",2025,October,10,1237816.99
"Power Oil Product 9123",2025,May,5,1237239.55
"Golden Penny Product 3508",2025,April,4,1235231.40
"Indomie Product 7058",2025,September,9,1235089.93
"Nestle Product 1092",2025,April,4,1234364.66
"Dangote Product 6661",2025,September,9,1234313.45
"Dettol Product 1967",2025,August,8,1233943.02
"Dettol Product 5019",2025,January,1,1233586.50
"Indomie Product 9644",2025,January,1,1232531.46
"Nestle Product 5106",2025,April,4,1232205.44
"Power Oil Product 3115",2025,June,6,1232141.00
"Power Oil Product 3885",2025,February,2,1230079.75
"Dettol Product 5724",2025,October,10,1229769.18
"Milo Product 2079",2025,July,7,1226511.82
"Peak Product 8338",2025,July,7,1226500.90
"Dettol Product 2106",2025,February,2,1226057.29
"Indomie Product 4539",2025,March,3,1225067.03
"Golden Penny Product 4914",2025,February,2,1223876.10
"Dettol Product 5315",2025,May,5,1221356.05
"Dangote Product 4276",2025,September,9,1221185.15
"Golden Penny Product 2714",2025,January,1,1221147.46
"Peak Product 6447",2025,November,11,1220316.08
"Dettol Product 4655",2025,January,1,1219423.40
"Nestle Product 850",2025,December,12,1216959.74
"Milo Product 9284",2025,October,10,1216213.50
"Golden Penny Product 4672",2025,November,11,1215398.77
"Indomie Product 2521",2025,November,11,1214728.50
"Indomie Product 3387",2025,November,11,1212808.79
"Dangote Product 9386",2025,May,5,1211815.51
"Nestle Product 1995",2025,August,8,1211302.74
"Dettol Product 129",2025,February,2,1210388.01
"Peak Product 6576",2025,April,4,1209830.33
"Nestle Product 2315",2025,August,8,1208797.33
"Peak Product 8069",2025,August,8,1207146.18
"Power Oil Product 7100",2025,May,5,1206955.71
"Indomie Product 1075",2025,March,3,1206779.50
"Golden Penny Product 2399",2025,September,9,1206005.85
"Dangote Product 2084",2025,January,1,1205542.03
"Nestle Product 6164",2025,February,2,1205274.75
"Golden Penny Product 5007",2025,May,5,1204705.49
"Dettol Product 2636",2025,February,2,1201828.28
"Indomie Product 6810",2025,March,3,1201038.48
"Nestle Product 4386",2025,May,5,1200655.82
"Power Oil Product 7539",2025,February,2,1199157.16
"Peak Product 6100",2025,October,10,1199154.56
"Nestle Product 9757",2025,September,9,1198231.32
"Dettol Product 5110",2025,February,2,1198190.02
"Dangote Product 8133",2025,January,1,1197900.29
"Indomie Product 5898",2025,January,1,1196407.24
"Nestle Product 6277",2025,November,11,1193965.35
"Indomie Product 1127",2025,December,12,1193223.11
"Golden Penny Product 7021",2025,April,4,1189970.21
"Peak Product 2702",2025,May,5,1189868.61
"Dangote Product 8496",2025,August,8,1189457.76
"Nestle Product 8375",2025,October,10,1188802.81
"Indomie Product 3843",2025,August,8,1188783.70
"Milo Product 3514",2025,April,4,1187951.51
"Milo Product 9798",2025,November,11,1187215.50
"Golden Penny Product 9408",2025,October,10,1187130.84
"Peak Product 4023",2025,September,9,1186472.77
"Golden Penny Product 2877",2025,June,6,1185409.00
"Power Oil Product 6228",2025,July,7,1185319.80
"Dettol Product 7268",2025,July,7,1183737.04
"Golden Penny Product 8345",2025,October,10,1183466.94
"Dettol Product 6287",2025,November,11,1182399.73
"Dangote Product 2898",2025,November,11,1181718.30
"Power Oil Product 4056",2025,April,4,1181540.55
"Dangote Product 6097",2025,July,7,1181225.32
"Peak Product 9935",2025,September,9,1181147.85
"Nestle Product 5608",2025,August,8,1179695.38
"Nestle Product 4487",2025,May,5,1178756.46
"Peak Product 5284",2025,February,2,1176953.51
"Dettol Product 9478",2025,January,1,1176499.80
"Peak Product 7027",2025,November,11,1175794.48
"Dangote Product 7177",2025,December,12,1173858.72
"Peak Product 2719",2025,April,4,1173744.00
"Nestle Product 93",2025,January,1,1173378.28
"Dettol Product 9760",2025,April,4,1172287.24
"Dettol Product 5067",2025,May,5,1172269.53
"Golden Penny Product 2220",2025,October,10,1172225.04
"Dangote Product 9673",2025,April,4,1171670.92
"Peak Product 891",2025,September,9,1171449.86
"Golden Penny Product 7516",2025,July,7,1167882.32
"Peak Product 4728",2025,May,5,1167338.50
"Nestle Product 1717",2025,July,7,1166819.36
"Power Oil Product 5242",2025,March,3,1166413.83
"Nestle Product 8563",2025,February,2,1166329.22
"Peak Product 8744",2025,May,5,1165948.77
"Golden Penny Product 6542",2025,June,6,1165752.61
"Nestle Product 5537",2025,January,1,1165725.76
"Golden Penny Product 9544",2025,July,7,1164433.50
"Milo Product 9233",2025,July,7,1164117.98
"Milo Product 9845",2025,March,3,1163276.77
"Golden Penny Product 887",2025,October,10,1162952.44
"Power Oil Product 8395",2025,May,5,1162325.02
"Nestle Product 1156",2025,May,5,1161991.95
"Peak Product 7686",2025,December,12,1161508.16
"Milo Product 3002",2025,June,6,1160979.35
"Nestle Product 1612",2025,October,10,1160954.54
"Peak Product 6942",2025,June,6,1160224.11
"Dangote Product 4696",2025,May,5,1159833.57
"Golden Penny Product 1741",2025,May,5,1158908.40
"Milo Product 2956",2025,July,7,1157202.40
"Peak Product 6530",2025,November,11,1156833.49
"Dangote Product 5986",2025,October,10,1154686.79
"Milo Product 9905",2025,July,7,1154225.34
"Peak Product 4990",2025,December,12,1153729.45
"Golden Penny Product 7569",2025,June,6,1153710.53
"Golden Penny Product 5045",2025,July,7,1153367.25
"Milo Product 8044",2025,February,2,1153328.72
"Indomie Product 291",2025,June,6,1152324.10
"Milo Product 542",2025,July,7,1151591.75
"Indomie Product 6330",2025,February,2,1151285.56
"Nestle Product 3546",2025,October,10,1147176.68
"Nestle Product 280",2025,November,11,1146825.67
"Dettol Product 8446",2025,May,5,1146588.66
"Golden Penny Product 8027",2025,March,3,1146429.40
"Golden Penny Product 1360",2025,April,4,1146214.75
"Power Oil Product 9920",2025,December,12,1145667.50
"Indomie Product 5944",2025,August,8,1144224.65
"Power Oil Product 214",2025,June,6,1143689.93
"Dangote Product 893",2025,November,11,1142745.34
"Power Oil Product 85",2025,August,8,1142208.36
"Indomie Product 1074",2025,June,6,1142084.29
"Indomie Product 2307",2025,June,6,1141802.52
"Power Oil Product 9351",2025,October,10,1141565.92
"Dangote Product 9744",2025,June,6,1141412.72
"Dettol Product 2528",2025,November,11,1140812.54
"Nestle Product 8167",2025,April,4,1140504.54
"Peak Product 9593",2025,January,1,1138561.57
"Golden Penny Product 9072",2025,July,7,1137983.92
"Dangote Product 6829",2025,August,8,1136714.25
"Nestle Product 1701",2025,August,8,1136686.54
"Power Oil Product 8601",2025,March,3,1136599.78
"Dangote Product 6185",2025,September,9,1136332.35
"Indomie Product 5117",2025,March,3,1136281.86
"Milo Product 8136",2025,September,9,1136066.17
"Milo Product 1220",2025,June,6,1135589.52
"Nestle Product 6227",2025,August,8,1134545.75
"Peak Product 3520",2025,December,12,1133410.77
"Dangote Product 6202",2025,April,4,1133063.21
