supplier_id,supplier_name,lead_time_days,supplier_rating
S00243,Dangote Sugar 243,2,3.8
S00244,Dufil Prima Foods 244,2,4.7
S00245,Dufil Prima Foods 245,8,4.5
S00246,Dufil Prima Foods 246,2,4.1
S00247,Dufil Prima Foods 247,14,3.5
S00248,Dangote Sugar 248,4,3.8
S00249,Flour Mills Nigeria 249,8,4.6
S00250,Nestle Nigeria 250,7,4.2
S00251,Nestle Nigeria 251,8,4.6
S00252,Dufil Prima Foods 252,1,4.1
S00253,Dangote Sugar 253,4,4.7
S00254,Nestle Nigeria 254,2,4.2
S00255,Dangote Sugar 255,14,3.5
S00256,Dufil Prima Foods 256,10,4.7
S00257,Nestle Nigeria 257,10,4.1
S00258,Nestle Nigeria 258,14,3.6
S00259,Flour Mills Nigeria 259,9,4.1
S00260,Nestle Nigeria 260,2,4.4
S00261,Flour Mills Nigeria 261,11,4.1
S00262,Dufil Prima Foods 262,9,4.9
S00263,Dufil Prima Foods 263,6,4.6
S00264,Dufil Prima Foods 264,12,3.9
S00265,Dangote Sugar 265,1,4.8
S00266,Flour Mills Nigeria 266,10,4.7
S00267,Dangote Sugar 267,6,3.9
S00268,Flour Mills Nigeria 268,8,5.0
S00269,Dangote Sugar 269,13,3.5
S00270,Dufil Prima Foods 270,14,3.7
S00271,Flour Mills Nigeria 271,5,4.6
S00272,Dangote Sugar 272,1,3.8
S00273,Dufil Prima Foods 273,3,4.8
S00274,Dufil Prima Foods 274,6,3.9
S00275,Dufil Prima Foods 275,7,4.7
S00276,Flour Mills Nigeria 276,10,3.9
S00277,Dangote Sugar 277,3,4.0
S00278,Flour Mills Nigeria 278,10,4.0
S00279,Nestle Nigeria 279,7,4.5
S00280,Flour Mills Nigeria 280,4,4.3
S00281,Dangote Sugar 281,3,4.3
S00282,Nestle Nigeria 282,4,3.7
S00283,Nestle Nigeria 283,3,4.4
S00284,Dufil Prima Foods 284,8,4.3
S00285,Dangote Sugar 285,4,4.9
S00286,Dangote Sugar 286,10,4.4
S00287,Dufil Prima Foods 287,13,4.2
S00288,Nestle Nigeria 288,9,4.0
S00289,Dufil Prima Foods 289,12,4.7
S00290,Nestle Nigeria 290,3,4.0
S00291,Dangote Sugar 291,4,4.2
S00292,Dufil Prima Foods 292,4,4.1
S00293,Nestle Nigeria 293,9,4.2
S00294,Flour Mills Nigeria 294,8,4.7
S00295,Dufil Prima Foods 295,6,4.8
S00296,Dangote Sugar 296,10,4.6
S00297,Dangote Sugar 297,4,4.4
S00298,Dangote Sugar 298,13,3.6
S00299,Dangote Sugar 299,9,4.7
S00300,Nestle Nigeria 300,10,3.9
S00301,Dufil Prima Foods 301,4,4.7
S00302,Flour Mills Nigeria 302,10,4.4
S00303,Dufil Prima Foods 303,12,3.7
S00304,Dangote Sugar 304,6,4.5
S00305,Dangote Sugar 305,2,4.2
S00306,Nestle Nigeria 306,12,4.7
S00307,Dangote Sugar 307,4,3.6
S00308,Flour Mills Nigeria 308,5,3.7
S00309,Flour Mills Nigeria 309,6,3.9
S00310,Flour Mills Nigeria 310,10,4.1
S00311,Dufil Prima Foods 311,3,4.0
S00312,Nestle Nigeria 312,9,4.9
S00313,Dangote Sugar 313,8,3.9
S00314,Dangote Sugar 314,1,4.9
S00315,Dangote Sugar 315,3,4.6
S00316,Dufil Prima Foods 316,11,4.5
S00317,Flour Mills Nigeria 317,4,4.1
S00318,Dufil Prima Foods 318,7,4.1
S00319,Nestle Nigeria 319,1,4.9
S00320,Dufil Prima Foods 320,10,4.7
S00321,Dufil Prima Foods 321,6,3.6
S00322,Flour Mills Nigeria 322,10,3.5
S00323,Dangote Sugar 323,13,4.7
S00324,Flour Mills Nigeria 324,10,4.8
S00325,Flour Mills Nigeria 325,8,3.8
S00326,Nestle Nigeria 326,5,4.9
S00327,Dufil Prima Foods 327,2,4.0
S00328,Flour Mills Nigeria 328,5,3.7
S00329,Flour Mills Nigeria 329,8,3.6
S00330,Nestle Nigeria 330,10,3.7
S00331,Flour Mills Nigeria 331,10,3.7
S00332,Dangote Sugar 332,2,4.6
S00333,Nestle Nigeria 333,10,3.5
S00334,Nestle Nigeria 334,10,4.5
S00335,Flour Mills Nigeria 335,2,4.7
S00336,Flour Mills Nigeria 336,5,4.2
S00337,Dufil Prima Foods 337,3,4.4
S00338,Flour Mills Nigeria 338,12,4.0
S00339,Dangote Sugar 339,6,3.7
S00340,Dufil Prima Foods 340,9,3.8
S00341,Flour Mills Nigeria 341,5,4.4
S00342,Dufil Prima Foods 342,6,4.2
S00343,Dangote Sugar 343,6,4.1
S00344,Dangote Sugar 344,5,3.7
S00345,Dufil Prima Foods 345,4,3.8
S00346,Nestle Nigeria 346,13,4.8
S00347,Dangote Sugar 347,12,4.8
S00348,Dangote Sugar 348,2,4.4
S00349,Flour Mills Nigeria 349,4,4.6
S00350,Nestle Nigeria 350,13,3.6
S00351,Nestle Nigeria 351,5,3.6
S00352,Flour Mills Nigeria 352,2,4.1
S00353,Flour Mills Nigeria 353,7,4.5
S00354,Dangote Sugar 354,11,4.8
S00355,Dangote Sugar 355,13,4.4
S00356,Nestle Nigeria 356,6,4.5
S00357,Nestle Nigeria 357,14,5.0
S00358,Flour Mills Nigeria 358,8,4.5
S00359,Nestle Nigeria 359,4,3.9
S00360,Nestle Nigeria 360,13,4.6
S00361,Flour Mills Nigeria 361,13,4.6
S00362,Dufil Prima Foods 362,2,4.3
S00363,Nestle Nigeria 363,14,5.0
S00364,Nestle Nigeria 364,2,4.7
S00365,Flour Mills Nigeria 365,7,4.5
S00366,Nestle Nigeria 366,4,3.6
S00367,Dufil Prima Foods 367,8,5.0
S00368,Flour Mills Nigeria 368,11,3.6
S00369,Flour Mills Nigeria 369,9,4.7
S00370,Flour Mills Nigeria 370,3,4.9
S00371,Nestle Nigeria 371,9,4.3
S00372,Dufil Prima Foods 372,10,4.5
S00373,Flour Mills Nigeria 373,13,4.5
S00374,Dangote Sugar 374,8,4.4
S00375,Dangote Sugar 375,4,4.7
S00376,Dufil Prima Foods 376,5,3.9
S00377,Flour Mills Nigeria 377,2,4.4
S00378,Nestle Nigeria 378,6,3.9
S00379,Dufil Prima Foods 379,12,3.8
S00380,Dufil Prima Foods 380,4,4.4
S00381,Dufil Prima Foods 381,3,4.0
S00382,Flour Mills Nigeria 382,11,3.7
S00383,Dangote Sugar 383,10,3.7
S00384,Nestle Nigeria 384,2,4.2
S00385,Dangote Sugar 385,10,3.6
S00386,Dangote Sugar 386,1,4.4
S00387,Flour Mills Nigeria 387,11,3.8
S00388,Dangote Sugar 388,13,4.2
S00389,Dufil Prima Foods 389,10,3.9
S00390,Dangote Sugar 390,4,4.4
S00391,Flour Mills Nigeria 391,1,4.1
S00392,Dufil Prima Foods 392,4,3.8
S00393,Nestle Nigeria 393,8,4.1
S00394,Dangote Sugar 394,14,3.8
S00395,Dangote Sugar 395,9,4.5
S00396,Nestle Nigeria 396,12,3.9
S00397,Dufil Prima Foods 397,7,4.3
S00398,Nestle Nigeria 398,4,4.9
S00399,Dangote Sugar 399,9,4.0
S00400,Dangote Sugar 400,12,3.8
S00401,Flour Mills Nigeria 401,1,4.5
S00402,Flour Mills Nigeria 402,11,4.5
S00403,Dangote Sugar 403,11,4.0
S00404,Dangote Sugar 404,9,4.8
S00405,Dufil Prima Foods 405,10,3.7
S00406,Dufil Prima Foods 406,5,3.6
S00407,Flour Mills Nigeria 407,13,4.6
S00408,Dufil Prima Foods 408,1,5.0
S00409,Nestle Nigeria 409,3,3.7
S00410,Dufil Prima Foods 410,8,4.0
S00411,Flour Mills Nigeria 411,3,4.0
S00412,Dangote Sugar 412,12,4.8
S00413,Nestle Nigeria 413,10,3.6
S00414,Nestle Nigeria 414,3,3.5
S00415,Dangote Sugar 415,2,4.6
S00416,Nestle Nigeria 416,11,4.2
S00417,Flour Mills Nigeria 417,1,5.0
S00418,Dufil Prima Foods 418,3,4.4
S00419,Dufil Prima Foods 419,6,5.0
S00420,Flour Mills Nigeria 420,3,4.1
S00421,Dufil Prima Foods 421,1,4.5
S00422,Dufil Prima Foods 422,13,4.4
S00423,Nestle Nigeria 423,4,4.6
S00424,Nestle Nigeria 424,3,4.0
S00425,Dufil Prima Foods 425,7,4.1
S00426,Nestle Nigeria 426,2,4.9
S00427,Dufil Prima Foods 427,5,4.1
S00428,Flour Mills Nigeria 428,14,3.8
S00429,Dangote Sugar 429,6,4.4
S00430,Dangote Sugar 430,9,3.8
S00431,Dangote Sugar 431,7,4.9
S00432,Dufil Prima Foods 432,3,3.6
S00433,Nestle Nigeria 433,10,4.9
S00434,Dangote Sugar 434,14,4.4
S00435,Dangote Sugar 435,14,3.9
S00436,Dangote Sugar 436,8,4.0
S00437,Nestle Nigeria 437,13,4.2
S00438,Nestle Nigeria 438,13,4.2
S00439,Nestle Nigeria 439,6,4.9
S00440,Dangote Sugar 440,13,4.3
S00441,Dufil Prima Foods 441,5,5.0
S00442,Dufil Prima Foods 442,7,4.4
S00443,Dangote Sugar 443,11,4.2
S00444,Flour Mills Nigeria 444,6,3.7
S00445,Dufil Prima Foods 445,14,4.0
S00446,Flour Mills Nigeria 446,7,4.2
S00447,Dufil Prima Foods 447,5,4.8
S00448,Flour Mills Nigeria 448,2,4.1
S00449,Flour Mills Nigeria 449,6,4.4
S00450,Dangote Sugar 450,7,4.3
S00451,Flour Mills Nigeria 451,5,4.8
S00452,Dufil Prima Foods 452,5,4.1
S00453,Dufil Prima Foods 453,10,4.0
S00454,Flour Mills Nigeria 454,13,4.7
S00455,Dufil Prima Foods 455,7,4.8
S00456,Dufil Prima Foods 456,4,4.3
S00457,Nestle Nigeria 457,9,4.1
S00458,Dangote Sugar 458,2,4.1
S00459,Dufil Prima Foods 459,6,3.5
S00460,Nestle Nigeria 460,1,4.5
S00461,Nestle Nigeria 461,3,4.0
S00462,Flour Mills Nigeria 462,3,4.6
S00463,Nestle Nigeria 463,9,3.5
S00464,Dangote Sugar 464,5,4.5
S00465,Dufil Prima Foods 465,14,3.7
S00466,Dufil Prima Foods 466,7,3.9
S00467,Flour Mills Nigeria 467,14,3.9
S00468,Dufil Prima Foods 468,5,4.4
S00469,Dufil Prima Foods 469,11,3.6
S00470,Flour Mills Nigeria 470,3,4.5
S00471,Dangote Sugar 471,5,4.1
S00472,Nestle Nigeria 472,12,5.0
S00473,Dangote Sugar 473,4,4.8
S00474,Nestle Nigeria 474,6,4.3
S00475,Dangote Sugar 475,10,4.4
S00476,Flour Mills Nigeria 476,7,4.4
S00477,Nestle Nigeria 477,6,4.9
S00478,Dangote Sugar 478,3,3.7
S00479,Dufil Prima Foods 479,11,4.5
S00480,Flour Mills Nigeria 480,3,5.0
S00481,Flour Mills Nigeria 481,2,4.3
S00482,Dufil Prima Foods 482,11,4.0
S00483,Dufil Prima Foods 483,4,4.6
S00484,Flour Mills Nigeria 484,2,3.9
S00485,Dufil Prima Foods 485,4,3.8
S00486,Flour Mills Nigeria 486,10,4.3
S00487,Flour Mills Nigeria 487,14,3.6
S00488,Flour Mills Nigeria 488,5,4.5
S00489,Dangote Sugar 489,10,4.6
S00490,Flour Mills Nigeria 490,10,4.5
S00491,Dangote Sugar 491,1,3.5
S00492,Dangote Sugar 492,10,4.2
S00493,Nestle Nigeria 493,5,4.9
S00494,Dangote Sugar 494,6,4.4
S00495,Dangote Sugar 495,3,3.6
S00496,Dangote Sugar 496,3,3.5
S00497,Dangote Sugar 497,14,3.6
S00498,Nestle Nigeria 498,9,4.4
S00499,Dufil Prima Foods 499,6,3.9
S00500,Flour Mills Nigeria 500,14,4.2
S00501,Dufil Prima Foods 501,3,4.0
S00502,Flour Mills Nigeria 502,12,4.1
S00503,Flour Mills Nigeria 503,6,5.0
S00504,Flour Mills Nigeria 504,10,3.6
S00505,Nestle Nigeria 505,8,4.1
S00506,Dufil Prima Foods 506,13,4.2
S00507,Flour Mills Nigeria 507,14,4.8
S00508,Dufil Prima Foods 508,11,4.9
S00509,Dufil Prima Foods 509,2,4.9
S00510,Dufil Prima Foods 510,10,3.9
S00511,Nestle Nigeria 511,13,4.0
S00512,Flour Mills Nigeria 512,3,4.7
S00513,Dangote Sugar 513,13,4.8
S00514,Nestle Nigeria 514,7,4.8
S00515,Dangote Sugar 515,13,4.7
S00516,Dangote Sugar 516,9,5.0
S00517,Dufil Prima Foods 517,8,4.6
S00518,Dufil Prima Foods 518,10,4.4
S00519,Nestle Nigeria 519,3,4.1
S00520,Flour Mills Nigeria 520,14,4.1
S00521,Dangote Sugar 521,10,3.5
S00522,Flour Mills Nigeria 522,14,4.3
S00523,Nestle Nigeria 523,8,4.1
S00524,Flour Mills Nigeria 524,1,3.8
S00525,Nestle Nigeria 525,6,4.7
S00526,Nestle Nigeria 526,1,4.9
S00527,Dangote Sugar 527,6,5.0
S00528,Dufil Prima Foods 528,10,3.7
S00529,Dufil Prima Foods 529,4,4.6
S00530,Dangote Sugar 530,4,4.3
S00531,Dufil Prima Foods 531,4,3.8
S00532,Dangote Sugar 532,10,4.8
S00533,Dangote Sugar 533,10,4.5
S00534,Nestle Nigeria 534,12,4.3
S00535,Dufil Prima Foods 535,12,4.3
S00536,Flour Mills Nigeria 536,2,4.3
S00537,Flour Mills Nigeria 537,11,4.7
S00538,Flour Mills Nigeria 538,2,4.6
S00539,Nestle Nigeria 539,13,4.2
S00540,Dangote Sugar 540,11,4.9
S00541,Nestle Nigeria 541,4,3.6
S00542,Nestle Nigeria 542,3,3.9
S00543,Dufil Prima Foods 543,1,4.5
S00544,Flour Mills Nigeria 544,3,4.2
S00545,Dufil Prima Foods 545,13,4.4
S00546,Nestle Nigeria 546,4,4.6
S00547,Dufil Prima Foods 547,13,4.7
S00548,Flour Mills Nigeria 548,14,4.3
S00549,Flour Mills Nigeria 549,4,4.5
S00550,Nestle Nigeria 550,3,4.6
S00551,Nestle Nigeria 551,3,4.8
S00552,Dangote Sugar 552,5,4.3
S00553,Nestle Nigeria 553,14,4.0
S00554,Dufil Prima Foods 554,9,4.7
S00555,Flour Mills Nigeria 555,7,4.8
S00556,Dangote Sugar 556,8,3.7
S00557,Flour Mills Nigeria 557,13,3.9
S00558,Nestle Nigeria 558,11,4.8
S00559,Flour Mills Nigeria 559,1,4.6
S00560,Nestle Nigeria 560,9,3.9
S00561,Nestle Nigeria 561,5,4.6
S00562,Dufil Prima Foods 562,1,4.6
S00563,Nestle Nigeria 563,14,4.4
S00564,Flour Mills Nigeria 564,4,4.2
S00565,Dangote Sugar 565,4,3.9
S00566,Nestle Nigeria 566,1,4.8
S00567,Dufil Prima Foods 567,10,3.8
S00568,Flour Mills Nigeria 568,8,3.8
S00569,Nestle Nigeria 569,6,4.3
S00570,Nestle Nigeria 570,7,4.3
S00571,Nestle Nigeria 571,1,3.6
S00572,Dangote Sugar 572,14,3.7
S00573,Dufil Prima Foods 573,10,4.1
S00574,Dangote Sugar 574,5,4.1
S00575,Flour Mills Nigeria 575,2,4.1
S00576,Dufil Prima Foods 576,1,4.5
S00577,Dufil Prima Foods 577,3,3.6
S00578,Nestle Nigeria 578,2,4.7
S00579,Dangote Sugar 579,1,4.2
S00580,Dufil Prima Foods 580,7,3.9
S00581,Dangote Sugar 581,11,4.7
S00582,Dufil Prima Foods 582,3,4.7
S00583,Nestle Nigeria 583,2,4.6
S00584,Nestle Nigeria 584,12,4.0
S00585,Flour Mills Nigeria 585,2,3.9
S00586,Dangote Sugar 586,10,4.1
S00587,Dangote Sugar 587,1,4.4
S00588,Flour Mills Nigeria 588,14,4.7
S00589,Dangote Sugar 589,9,4.9
S00590,Dangote Sugar 590,6,3.9
S00591,Dangote Sugar 591,12,4.4
S00592,Nestle Nigeria 592,6,3.9
S00593,Nestle Nigeria 593,11,4.8
S00594,Flour Mills Nigeria 594,5,4.2
S00595,Dangote Sugar 595,3,4.5
S00596,Dufil Prima Foods 596,14,4.0
S00597,Nestle Nigeria 597,10,3.9
S00598,Flour Mills Nigeria 598,5,4.7
S00599,Dangote Sugar 599,2,4.8
S00600,Dangote Sugar 600,5,4.0
S00601,Dangote Sugar 601,8,4.0
S00602,Flour Mills Nigeria 602,13,3.9
S00603,Dangote Sugar 603,3,4.0
S00604,Dufil Prima Foods 604,5,4.1
S00605,Flour Mills Nigeria 605,9,4.4
S00606,Flour Mills Nigeria 606,5,3.9
S00607,Flour Mills Nigeria 607,8,4.9
S00608,Dangote Sugar 608,3,3.6
S00609,Flour Mills Nigeria 609,4,4.7
S00610,Dufil Prima Foods 610,6,3.9
S00611,Nestle Nigeria 611,10,3.8
S00612,Dufil Prima Foods 612,8,4.8
S00613,Nestle Nigeria 613,12,4.7
S00614,Dufil Prima Foods 614,12,3.7
S00615,Dangote Sugar 615,5,4.8
S00616,Nestle Nigeria 616,5,3.7
S00617,Dangote Sugar 617,13,5.0
S00618,Flour Mills Nigeria 618,12,3.8
S00619,Nestle Nigeria 619,5,4.6
S00620,Nestle Nigeria 620,5,4.2
