inventory_id,product_id,warehouse_id,current_stock,reorder_level,max_capacity,last_updated
I00265,P08455,W08350,3769,333,6286,2026-04-27
I00266,P03430,W03259,4621,226,8086,2026-03-31
I00267,P08564,W03024,1877,279,2229,2026-04-18
I00268,P01219,W07857,3054,492,8811,2026-05-13
I00269,P06435,W03591,4834,235,4451,2026-04-14
I00270,P02474,W01412,862,210,2533,2026-05-31
I00271,P03517,W00565,1181,480,8846,2026-03-26
I00272,P04988,W06957,3203,204,6349,2026-05-14
I00273,P05237,W06860,1240,312,8480,2026-03-15
I00274,P06100,W01049,2150,169,5586,2026-03-18
I00275,P02444,W08437,3543,423,7845,2026-04-07
I00276,P01027,W02534,927,55,3870,2026-05-16
I00277,P09558,W05144,4029,119,3416,2026-05-27
I00278,P03148,W05350,2713,153,4320,2026-05-11
I00279,P06805,W00231,2741,162,7496,2026-04-11
I00280,P09889,W08388,2857,305,1704,2026-06-04
I00281,P04614,W03993,32,382,3210,2026-05-10
I00282,P03435,W09159,2933,202,6224,2026-06-03
I00283,P01083,W05003,4263,83,2790,2026-04-01
I00284,P04733,W07443,4658,118,3146,2026-03-16
I00285,P01976,W06936,8,371,1528,2026-04-05
I00286,P09276,W00751,428,78,4485,2026-05-31
I00287,P07632,W08163,2026,411,1369,2026-05-06
I00288,P09010,W07273,547,90,5462,2026-05-29
I00289,P01101,W02993,2950,384,4875,2026-05-28
I00290,P08792,W03448,4760,394,9064,2026-03-14
I00291,P04596,W06984,4731,237,8093,2026-05-01
I00292,P02074,W04035,4053,215,6892,2026-03-21
I00293,P08673,W02241,1344,69,5519,2026-03-17
I00294,P03094,W05013,1957,242,5337,2026-03-30
I00295,P09016,W03649,149,386,3481,2026-03-19
I00296,P04815,W03973,4989,70,4566,2026-03-17
I00297,P00257,W06042,1170,483,8224,2026-04-16
I00298,P03590,W04352,3652,364,2588,2026-04-29
I00299,P08208,W09379,227,139,3114,2026-04-10
I00300,P04781,W09181,2386,344,4717,2026-04-18
I00301,P07972,W00502,3756,465,9130,2026-04-24
I00302,P04544,W04385,1130,391,1494,2026-03-21
I00303,P08946,W04507,2216,198,5404,2026-05-08
I00304,P00527,W03246,3731,93,1921,2026-05-21
I00305,P03642,W08150,4667,383,6564,2026-04-12
I00306,P07449,W01345,1357,326,3512,2026-04-02
I00307,P01089,W07720,1680,438,6923,2026-03-29
I00308,P03082,W04308,3001,473,9664,2026-05-10
I00309,P01310,W01115,3153,262,6443,2026-05-27
I00310,P07442,W02833,3972,75,9709,2026-04-28
I00311,P01950,W00506,3108,205,4780,2026-04-15
I00312,P09297,W05174,2738,103,3158,2026-06-06
I00313,P03767,W06722,3542,464,3706,2026-03-18
I00314,P03776,W07968,2218,78,5121,2026-04-02
I00315,P00548,W06583,4675,381,6011,2026-04-09
I00316,P05306,W07796,2790,375,8450,2026-04-01
I00317,P01195,W05852,4356,383,8552,2026-04-02
I00318,P07635,W00296,310,474,7150,2026-04-02
I00319,P09563,W03334,2820,101,8537,2026-04-05
I00320,P04213,W01638,1468,257,9936,2026-06-06
I00321,P04021,W01092,4167,370,4060,2026-05-24
I00322,P02318,W03917,4872,338,6562,2026-03-14
I00323,P02002,W02773,4352,403,4570,2026-04-05
I00324,P05818,W03344,675,335,6142,2026-06-01
I00325,P05591,W08173,3585,236,2182,2026-04-29
I00326,P05437,W04775,3655,155,9249,2026-06-02
I00327,P02057,W04222,4592,188,4454,2026-04-04
I00328,P05875,W08613,282,304,3365,2026-03-17
I00329,P03749,W01281,4033,227,1186,2026-03-28
I00330,P04153,W00694,887,497,3370,2026-03-19
I00331,P08482,W00813,2460,297,4641,2026-04-12
I00332,P04216,W02416,36,229,2076,2026-03-12
I00333,P08057,W07397,4344,490,6148,2026-03-10
I00334,P02915,W06293,1650,287,4943,2026-04-06
I00335,P00999,W02345,1823,220,6597,2026-06-07
I00336,P03139,W03107,4037,118,4180,2026-06-06
I00337,P01344,W05199,4094,72,4025,2026-06-02
I00338,P09773,W08310,2103,92,6284,2026-03-24
I00339,P00091,W09347,816,431,3215,2026-06-02
I00340,P06712,W01560,979,472,5083,2026-05-05
I00341,P03348,W08012,1911,346,3350,2026-05-05
I00342,P00029,W01714,3578,59,2727,2026-04-01
I00343,P04200,W00355,2434,165,1880,2026-05-10
I00344,P04271,W04168,2866,482,8306,2026-05-20
I00345,P06174,W02208,1671,420,3114,2026-03-23
I00346,P03350,W02593,3178,409,1492,2026-04-30
I00347,P09918,W01052,3628,172,2867,2026-04-29
I00348,P00942,W08637,386,351,5650,2026-04-06
I00349,P06063,W01003,1070,241,5356,2026-05-11
I00350,P09197,W02698,4622,488,8690,2026-04-24
I00351,P04774,W07161,732,241,6247,2026-04-09
I00352,P03807,W07257,2552,111,1972,2026-05-16
I00353,P03777,W00135,986,421,2581,2026-05-01
I00354,P03577,W05204,4792,359,3462,2026-05-25
I00355,P02318,W07679,540,240,6637,2026-03-17
I00356,P07995,W06418,4977,263,4299,2026-03-29
I00357,P05416,W04652,63,165,7607,2026-03-25
I00358,P03048,W04854,313,324,7935,2026-04-12
I00359,P02593,W03759,189,145,8491,2026-03-15
I00360,P01432,W04494,1995,104,1539,2026-04-01
I00361,P00621,W08331,1110,455,3472,2026-04-13
I00362,P04527,W05766,212,138,6556,2026-04-01
I00363,P09935,W01528,1503,346,9490,2026-03-11
I00364,P07797,W03544,4349,189,5811,2026-03-16
I00365,P05581,W01303,2224,357,5050,2026-06-05
I00366,P01713,W08873,4146,222,7985,2026-05-20
I00367,P01432,W06312,4924,389,8864,2026-05-27
I00368,P01606,W02892,2522,183,5691,2026-03-24
I00369,P03823,W03662,4578,118,9436,2026-04-15
I00370,P05415,W04620,2980,330,3816,2026-05-03
I00371,P06568,W03026,3796,88,6515,2026-06-01
I00372,P08944,W09181,1267,458,7656,2026-03-26
I00373,P01875,W01477,4266,227,1394,2026-05-02
I00374,P03054,W01817,3815,491,9091,2026-05-15
I00375,P00969,W03707,434,228,5378,2026-04-03
I00376,P04115,W05748,4623,196,1256,2026-05-20
I00377,P06537,W04712,3064,113,3293,2026-04-06
I00378,P05344,W09061,860,370,5921,2026-05-30
I00379,P04624,W05556,2123,125,3914,2026-04-17
I00380,P00816,W04050,2333,60,5984,2026-04-15
I00381,P00015,W02020,532,371,4571,2026-05-05
I00382,P05076,W09887,4992,299,7441,2026-04-22
I00383,P02589,W02262,2106,228,7263,2026-03-17
I00384,P09041,W08038,4192,422,2600,2026-04-27
I00385,P00408,W05226,2326,62,5608,2026-06-06
I00386,P07200,W08212,4761,207,4155,2026-03-18
I00387,P09577,W02944,4103,146,3166,2026-04-17
I00388,P08234,W05391,1826,318,8764,2026-04-02
I00389,P00119,W03566,4062,211,1213,2026-06-03
I00390,P07426,W07884,1345,300,1202,2026-04-06
I00391,P09196,W08220,797,57,2739,2026-04-26
I00392,P01893,W07199,3316,115,7306,2026-05-08
I00393,P03940,W07801,4164,367,4007,2026-03-29
I00394,P00158,W00656,774,395,1241,2026-03-12
I00395,P09898,W01505,4736,207,1296,2026-04-09
I00396,P09513,W03136,3384,446,9213,2026-05-16
I00397,P05353,W01802,1965,193,9779,2026-05-21
I00398,P02668,W08107,1644,189,3154,2026-06-02
I00399,P09383,W05059,2135,262,5334,2026-04-15
I00400,P03390,W09699,4868,189,5632,2026-04-14
I00401,P09884,W07763,4302,67,5680,2026-03-12
I00402,P08958,W01146,83,358,1817,2026-05-08
I00403,P05689,W06946,2819,202,7193,2026-05-27
I00404,P03803,W06811,2108,93,7689,2026-03-18
I00405,P06717,W04857,3049,236,5519,2026-04-12
I00406,P03666,W06867,3982,106,1813,2026-03-21
I00407,P08130,W07862,68,113,8824,2026-03-18
I00408,P07334,W00968,649,311,2616,2026-05-20
I00409,P02999,W03697,2184,401,5940,2026-05-29
I00410,P06828,W06261,2731,337,2089,2026-05-16
I00411,P02942,W03292,4476,293,2348,2026-04-17
I00412,P09682,W07446,1533,282,7509,2026-04-04
I00413,P09983,W07615,3275,291,9524,2026-05-26
I00414,P04602,W01807,1254,458,5090,2026-03-20
I00415,P01841,W05538,3073,104,2112,2026-03-30
I00416,P03693,W03589,2291,323,6023,2026-03-28
I00417,P06537,W03634,3680,78,1668,2026-05-07
I00418,P04453,W04290,3389,188,2560,2026-05-18
I00419,P09475,W08717,121,320,2156,2026-04-04
I00420,P05928,W06277,2548,171,3760,2026-05-11
I00421,P01599,W01716,4810,144,2664,2026-04-18
I00422,P03391,W03636,494,365,2797,2026-05-08
I00423,P09989,W00849,3166,300,8258,2026-04-01
I00424,P04200,W06176,4103,415,1838,2026-04-18
I00425,P03327,W09942,5,293,6735,2026-05-22
I00426,P06692,W02042,749,162,9437,2026-06-07
I00427,P09439,W00678,2506,426,1963,2026-03-31
I00428,P06714,W02386,3414,299,5954,2026-04-19
I00429,P09653,W01282,3624,192,6943,2026-05-19
I00430,P05274,W04727,3379,313,2310,2026-04-03
I00431,P05544,W09809,2657,275,7502,2026-05-05
I00432,P06740,W02664,2890,312,7173,2026-05-13
I00433,P06889,W06198,1584,426,1548,2026-03-20
I00434,P04127,W09512,3542,455,7304,2026-06-04
I00435,P01589,W08710,478,166,3458,2026-04-02
I00436,P00466,W05817,1758,422,1787,2026-04-22
I00437,P06287,W05025,4629,66,9212,2026-03-14
I00438,P05616,W08284,3747,343,5237,2026-05-02
I00439,P01494,W04886,4160,70,1481,2026-06-04
I00440,P08455,W03529,250,124,5438,2026-03-25
I00441,P09052,W08751,3759,265,5832,2026-04-16
I00442,P06334,W01528,694,167,3679,2026-04-21
I00443,P09346,W08469,4526,158,4339,2026-06-05
I00444,P03588,W06989,1006,258,8240,2026-03-28
I00445,P09643,W00964,164,500,8766,2026-04-02
I00446,P01044,W01291,3925,276,6552,2026-04-07
I00447,P08354,W00436,1309,468,2713,2026-05-16
I00448,P08772,W08621,1649,189,3881,2026-03-21
I00449,P09327,W00554,1749,322,1192,2026-03-31
I00450,P06673,W09509,3013,457,2489,2026-04-14
I00451,P03296,W01481,4988,402,2830,2026-06-05
I00452,P01446,W08049,3269,357,4653,2026-05-31
I00453,P01750,W01875,274,165,2787,2026-05-05
I00454,P00240,W00310,1382,249,8773,2026-05-02
I00455,P09766,W09304,1646,211,8586,2026-06-02
I00456,P00514,W01816,3666,272,4416,2026-05-03
I00457,P01326,W09538,3886,260,2181,2026-05-17
I00458,P03233,W08571,3218,465,2007,2026-04-23
I00459,P06200,W00327,952,305,5971,2026-05-05
I00460,P02668,W09912,330,421,7360,2026-05-08
I00461,P02128,W09576,4376,97,5161,2026-03-14
I00462,P05285,W01521,346,212,7199,2026-05-25
I00463,P02099,W05675,2181,389,5937,2026-03-29
I00464,P09482,W00484,4493,376,8907,2026-04-18
I00465,P09121,W00730,583,212,9230,2026-04-27
I00466,P08358,W04299,4481,61,2718,2026-05-02
I00467,P04142,W00868,4149,62,2117,2026-05-29
I00468,P02243,W05407,101,165,8629,2026-04-07
I00469,P05443,W04869,2724,78,7064,2026-03-29
I00470,P08974,W00732,4584,79,2752,2026-05-24
I00471,P05447,W06056,2565,225,2416,2026-05-23
I00472,P04112,W00777,1616,180,9032,2026-06-01
I00473,P09265,W04751,3893,283,7165,2026-04-27
I00474,P04549,W06617,1810,303,8856,2026-04-01
I00475,P02429,W02235,4041,194,6227,2026-05-25
I00476,P01375,W07664,3710,250,4938,2026-05-02
I00477,P00649,W04683,4962,171,2050,2026-05-07
I00478,P05517,W03185,936,93,5155,2026-04-30
I00479,P01710,W02210,1999,170,2797,2026-04-02
I00480,P07717,W03502,4374,374,4557,2026-06-04
I00481,P06522,W04820,1035,371,9323,2026-04-08
I00482,P05369,W05265,655,212,4669,2026-03-23
I00483,P00915,W06961,1573,149,8805,2026-04-11
I00484,P08132,W03917,839,331,1148,2026-04-30
I00485,P09363,W03231,1649,423,3504,2026-05-14
I00486,P08772,W01342,1830,308,5969,2026-05-12
I00487,P00449,W03556,4595,158,7958,2026-04-15
I00488,P05019,W02638,2904,387,2069,2026-04-29
I00489,P01473,W07357,4930,55,9599,2026-04-17
I00490,P07528,W05369,4007,286,9086,2026-05-01
I00491,P07610,W04903,2526,247,3778,2026-03-26
I00492,P00112,W06303,30,381,1739,2026-03-26
I00493,P01317,W00061,467,468,6806,2026-04-14
I00494,P08899,W06077,41,344,2432,2026-03-22
I00495,P01783,W05337,1649,127,3308,2026-04-05
I00496,P07855,W06310,344,156,6018,2026-05-26
I00497,P08982,W04423,3703,432,9701,2026-05-27
I00498,P08293,W00784,96,184,8533,2026-05-23
I00499,P02866,W04210,3028,295,2167,2026-06-05
I00500,P02870,W06522,4041,289,3783,2026-05-12
I00501,P08655,W00116,3647,424,3799,2026-04-05
I00502,P00853,W00816,4910,77,2048,2026-06-05
I00503,P05691,W04602,3544,243,1598,2026-04-20
I00504,P07972,W09834,3714,498,9904,2026-03-24
I00505,P04292,W02896,2959,211,4402,2026-04-18
I00506,P09473,W06507,719,92,7601,2026-05-10
I00507,P09000,W04649,3609,410,9379,2026-05-11
I00508,P00702,W05079,58,231,8787,2026-05-07
I00509,P02971,W04684,2775,317,9181,2026-03-19
I00510,P04932,W01567,4888,253,5360,2026-05-27
I00511,P05455,W03258,3863,212,8995,2026-04-25
I00512,P03293,W09873,2095,119,7193,2026-03-25
I00513,P06212,W01106,325,356,6926,2026-05-08
I00514,P08798,W03612,1959,52,7007,2026-04-02
I00515,P03885,W09649,4491,95,4263,2026-05-17
I00516,P07387,W02023,3925,230,3529,2026-06-05
I00517,P08025,W01080,615,204,8372,2026-04-29
I00518,P09649,W03170,2375,206,3578,2026-03-24
I00519,P03450,W06429,3381,460,6890,2026-04-26
