inventory_id,product_id,warehouse_id,current_stock,reorder_level,max_capacity,last_updated,unit_price_ngn,inventory_value
I00105,P06658,W04423,2113,336,5334,2026-05-27,9756.85,20616224.05
I00106,P09089,W07346,4460,364,7066,2026-05-01,20099.85,89645331.0
I00107,P08224,W08542,3414,78,4854,2026-05-31,20386.6,69599852.39999999
I00108,P09383,W07279,382,273,5404,2026-05-31,19251.65,7354130.300000001
I00109,P06062,W04258,3312,253,1167,2026-03-31,23752.17,78667187.03999999
I00110,P09455,W07074,2085,320,5137,2026-03-18,7922.8,16519038.0
I00111,P07830,W04573,2590,111,7143,2026-03-26,17699.97,45842922.300000004
I00112,P06696,W06787,465,416,1956,2026-05-20,3298.41,1533760.65
I00113,P09669,W08083,4092,211,4191,2026-05-18,11095.17,45401435.64
I00114,P07544,W04041,4368,349,4189,2026-04-07,10921.29,47704194.720000006
I00115,P05810,W00953,2630,452,8479,2026-04-25,10701.4,28144682.0
I00116,P09042,W06157,2156,325,3028,2026-03-27,4579.1,9872539.600000001
I00117,P00415,W07890,1703,449,9143,2026-05-10,20258.58,34500361.74
I00118,P08876,W06694,1904,422,7245,2026-04-11,8119.53,15459585.12
I00119,P09663,W01124,153,68,6608,2026-05-19,11613.03,1776793.59
I00120,P07447,W09949,3574,200,9935,2026-04-08,16765.35,59919360.9
I00121,P03766,W04258,2528,86,2901,2026-06-03,10632.79,26879693.12
I00122,P04522,W03718,1921,291,8166,2026-06-06,2689.11,5165780.3100000005
I00123,P06804,W06953,4632,415,2418,2026-03-18,3929.44,18201166.080000002
I00124,P07022,W07300,1096,489,3279,2026-03-25,14498.42,15890268.32
I00125,P04546,W03133,3948,259,3653,2026-03-19,19743.91,77948956.67999999
I00126,P03891,W09807,3901,335,5019,2026-04-08,16336.5,63728686.5
I00127,P01328,W01207,943,215,1298,2026-04-14,18589.89,17530266.27
I00128,P02193,W03969,4271,91,9416,2026-04-05,3044.78,13004255.38
I00129,P05078,W04742,3117,280,6996,2026-05-12,10762.79,33547616.430000003
I00130,P03922,W03337,2061,456,1545,2026-03-12,13870.43,28586956.23
I00131,P04828,W04542,463,450,2557,2026-04-02,8657.0,4008191.0
I00132,P01985,W02756,4598,217,1751,2026-05-09,20729.98,95316448.03999999
I00133,P08009,W09220,3323,352,2483,2026-03-21,17251.34,57326202.82
I00134,P04402,W07300,3392,62,5692,2026-03-25,13902.62,47157687.04
I00135,P09252,W02989,4450,400,5746,2026-03-23,9806.57,43639236.5
I00136,P06175,W01117,3969,324,1450,2026-04-14,1358.73,5392799.37
I00137,P05116,W01744,1947,464,4334,2026-05-15,17298.87,33680899.89
I00138,P07748,W09054,414,107,5284,2026-05-30,9468.09,3919789.2600000002
I00139,P03118,W05921,2708,221,1958,2026-05-23,3510.39,9506136.12
I00140,P09634,W05451,2202,205,6551,2026-03-25,9162.93,20176771.86
I00141,P04935,W09336,4812,221,3426,2026-05-31,13710.28,65973867.36000001
I00142,P05253,W09487,4366,248,5741,2026-03-27,17964.93,78434884.38
I00143,P09588,W02171,2279,185,4299,2026-04-23,8805.85,20068532.150000002
I00144,P09953,W02145,1057,442,4582,2026-04-05,6548.44,6921701.079999999
I00145,P07690,W04318,3273,489,7723,2026-05-01,4877.09,15962715.57
I00146,P04272,W09015,3637,211,1627,2026-04-21,6772.37,24631109.69
I00147,P03233,W03019,3003,341,6086,2026-04-06,5282.99,15864818.969999999
I00148,P01845,W04261,346,460,6689,2026-03-25,771.06,266786.76
I00149,P07694,W05718,4778,228,6140,2026-06-05,7179.73,34304749.94
I00150,P09737,W06402,2846,104,4112,2026-05-11,1500.44,4270252.24
I00151,P02043,W02820,4337,67,2536,2026-04-23,23358.72,101306768.64
I00152,P05740,W01832,786,211,4448,2026-04-17,3960.89,3113259.54
I00153,P08691,W05963,1542,251,1672,2026-03-18,22561.51,34789848.419999994
I00154,P03253,W08893,2425,262,8752,2026-05-30,6800.27,16490654.750000002
I00155,P06033,W07371,2259,480,2993,2026-04-21,21205.57,47903382.63
I00156,P09479,W02881,2150,245,6797,2026-05-03,21310.27,45817080.5
I00157,P04290,W01031,2667,89,9263,2026-05-27,24584.61,65567154.870000005
I00158,P01273,W02369,1171,410,3814,2026-04-07,21320.95,24966832.45
I00159,P02291,W09367,504,359,6603,2026-05-10,20802.02,10484218.08
I00160,P08118,W06080,493,136,3654,2026-05-23,18708.05,9223068.65
I00161,P07377,W01191,4949,447,9047,2026-05-17,7558.18,37405432.82
I00162,P05381,W06811,106,368,4452,2026-03-29,23089.09,2447443.54
I00163,P03193,W07422,3670,176,3848,2026-03-12,6754.2,24787914.0
I00164,P08239,W06708,2505,275,9571,2026-05-24,10415.49,26090802.45
I00165,P06155,W02848,4626,427,8265,2026-05-17,8406.17,38886942.42
I00166,P01181,W02943,4129,182,1328,2026-05-23,21531.79,88904760.91
I00167,P05373,W06115,2809,185,3526,2026-04-14,4824.63,13552385.67
I00168,P03902,W02115,3854,130,8719,2026-04-18,19956.49,76912312.46000001
I00169,P00176,W03009,3867,322,7534,2026-03-24,24807.98,95932458.66
I00170,P04434,W09497,926,167,4763,2026-05-17,19108.2,17694193.2
I00171,P01900,W06483,586,433,5730,2026-05-15,18727.86,10974525.96
I00172,P05876,W03279,4406,382,8194,2026-03-28,3048.41,13431294.459999999
I00173,P04277,W07977,903,213,6426,2026-04-27,988.58,892687.74
I00174,P08219,W09513,1514,479,6779,2026-04-19,12076.52,18283851.28
I00175,P04503,W00840,1526,271,5610,2026-04-28,21275.09,32465787.34
I00176,P02346,W07533,743,477,9282,2026-05-02,17243.1,12811623.299999999
I00177,P06941,W04321,901,194,7002,2026-05-13,16758.26,15099192.259999998
I00178,P04074,W07992,1594,165,8163,2026-05-23,23753.97,37863828.18
I00179,P08647,W06171,400,130,1566,2026-05-26,6383.93,2553572.0
I00180,P04130,W00010,1025,229,2148,2026-03-14,2066.65,2118316.25
I00181,P03887,W04420,2821,288,7151,2026-03-24,21137.14,59627871.94
I00182,P04561,W08906,4204,310,8650,2026-05-25,21463.26,90231545.03999999
I00183,P01737,W09951,835,365,5260,2026-04-02,2466.38,2059427.3
I00184,P01803,W01561,254,431,2489,2026-04-28,15535.12,3945920.48
I00185,P04357,W05225,117,271,2359,2026-04-03,22367.07,2616947.19
I00186,P06570,W01236,2714,72,9160,2026-03-16,9304.93,25253580.02
I00187,P03019,W09332,851,360,7879,2026-05-10,16037.16,13647623.16
I00188,P01014,W06791,894,188,5774,2026-03-25,16516.45,14765706.3
I00189,P09944,W04780,4211,119,3390,2026-06-06,12908.48,54357609.28
I00190,P00211,W02516,3858,285,6996,2026-03-12,24191.13,93329379.54
I00191,P04130,W04374,832,468,1518,2026-05-24,2066.65,1719452.8
I00192,P09474,W09458,1967,224,9583,2026-05-22,13744.64,27035706.88
I00193,P05930,W02526,1075,280,5590,2026-03-10,15488.13,16649739.75
I00194,P01975,W06628,2062,489,8916,2026-03-16,3787.76,7810361.12
I00195,P01130,W09259,4888,140,2320,2026-04-15,20028.48,97899210.24
I00196,P02236,W08441,554,373,9673,2026-03-29,20180.42,11179952.68
I00197,P05452,W08184,759,247,4725,2026-06-07,17314.36,13141599.24
I00198,P01219,W00695,1823,59,2547,2026-03-25,23082.85,42080035.55
I00199,P00671,W03480,1590,383,8998,2026-04-16,5400.17,8586270.3
I00200,P00023,W03589,2694,439,2727,2026-05-02,13322.04,35889575.760000005
I00201,P06113,W05992,3973,365,6558,2026-06-06,11635.17,46226530.410000004
I00202,P03810,W06610,2156,427,3464,2026-05-01,15767.86,33995506.160000004
I00203,P01111,W03410,3989,365,2086,2026-05-26,23300.7,92946492.3
I00204,P01802,W05169,3187,346,8363,2026-05-10,21751.33,69321488.71000001
I00205,P01380,W05891,282,497,5227,2026-05-06,24690.58,6962743.5600000005
I00206,P00551,W07309,3331,264,8644,2026-03-19,12319.75,41037087.25
I00207,P09949,W01769,3917,321,4703,2026-03-11,23846.7,93407523.9
I00208,P07176,W05022,3240,393,6111,2026-03-12,7752.88,25119331.2
I00209,P03984,W08227,17,160,7864,2026-03-11,10008.94,170151.98
I00210,P07614,W02350,1568,81,1653,2026-04-10,13469.8,21120646.4
I00211,P07664,W01775,2760,178,7160,2026-05-19,20961.48,57853684.8
I00212,P00202,W06725,49,99,6578,2026-05-23,21362.72,1046773.28
I00213,P04683,W08394,1284,280,3568,2026-04-19,1579.16,2027641.4400000002
I00214,P02990,W00157,135,270,8674,2026-03-10,2342.16,316191.6
I00215,P08200,W07943,4107,194,9709,2026-05-09,9547.81,39212855.669999994
I00216,P09249,W09815,438,440,1943,2026-04-13,23605.09,10339029.42
I00217,P08708,W06578,2050,269,8865,2026-04-01,15775.64,32340062.0
I00218,P05848,W02964,4498,69,8512,2026-04-21,11816.01,53148412.980000004
I00219,P05210,W04652,1477,493,1471,2026-05-17,23474.92,34672456.839999996
I00220,P01668,W05107,1413,453,7730,2026-04-03,23540.81,33263164.53
I00221,P09330,W09595,4335,328,6626,2026-05-17,13766.84,59679251.4
I00222,P07566,W09603,1785,326,4653,2026-04-21,23812.79,42505830.15
I00223,P04423,W02039,1883,335,2925,2026-05-03,2703.16,5090050.279999999
I00224,P03616,W01856,2348,63,7001,2026-03-19,24529.11,57594350.28
I00225,P04542,W05787,3535,329,2538,2026-03-10,4366.47,15435471.450000001
I00226,P02617,W05347,2159,74,3006,2026-04-17,3184.89,6876177.51
I00227,P08897,W09958,4133,60,7117,2026-04-05,9147.23,37805501.589999996
I00228,P03458,W08387,4131,123,8937,2026-04-15,23897.54,98720737.74000001
I00229,P02211,W03429,3386,91,2970,2026-05-13,15224.88,51551443.68
I00230,P08989,W05378,3723,478,9082,2026-04-02,16269.25,60570417.75
I00231,P07989,W09693,2639,98,3579,2026-04-20,18219.31,48080759.09
I00232,P04839,W01427,3961,395,5330,2026-05-23,2654.12,10512969.32
I00233,P03569,W03548,4844,337,3920,2026-05-29,14722.0,71313368.0
I00234,P01663,W00630,2465,412,2835,2026-05-18,5138.25,12665786.25
I00235,P09422,W02731,1398,193,6933,2026-06-07,13779.04,19263097.92
I00236,P00201,W06412,2086,187,3997,2026-05-10,17319.78,36129061.08
I00237,P03928,W05060,1004,264,8419,2026-05-02,13446.48,13500265.92
I00238,P00513,W02771,4113,101,2203,2026-03-25,15159.64,62351599.32
I00239,P06420,W07990,2738,372,1589,2026-04-05,8968.83,24556656.54
I00240,P02110,W02408,125,439,3910,2026-06-04,8567.27,1070908.75
I00241,P04212,W06439,426,286,7826,2026-04-28,14495.66,6175151.16
I00242,P02976,W06996,1681,467,3559,2026-03-19,20072.43,33741754.83
I00243,P07361,W04115,4645,120,6648,2026-05-02,18384.74,85397117.30000001
I00244,P06174,W01982,1379,325,6287,2026-03-13,4524.05,6238664.95
I00245,P03853,W09599,2006,155,2918,2026-06-05,3159.42,6337796.5200000005
I00246,P01656,W03978,1419,75,1662,2026-04-29,10583.64,15018185.159999998
I00247,P09215,W02140,343,425,7052,2026-04-13,19779.17,6784255.31
I00248,P08968,W01680,232,395,8272,2026-05-10,22334.97,5181713.04
I00249,P06149,W09746,1919,327,2420,2026-04-26,1002.55,1923893.45
I00250,P04065,W06253,476,380,3084,2026-03-29,3102.24,1476666.24
I00251,P09872,W01665,3465,108,7949,2026-05-31,19081.67,66117986.55
I00252,P01647,W08650,2650,289,7336,2026-03-28,9013.7,23886305.000000004
I00253,P02535,W04966,4062,457,3481,2026-03-22,7523.24,30559400.88
I00254,P07770,W05397,4490,403,2333,2026-04-24,11510.82,51683581.8
I00255,P09932,W00627,4249,404,2410,2026-04-28,12974.64,55129245.36
I00256,P05385,W04801,4235,224,1774,2026-05-25,19584.79,82941585.65
I00257,P00509,W03405,608,75,3588,2026-03-12,6442.15,3916827.1999999997
I00258,P07193,W07317,2007,106,7338,2026-04-23,5599.89,11238979.23
I00259,P04689,W00263,4778,492,9142,2026-05-23,10344.2,49424587.6
I00260,P05374,W06021,3076,159,5865,2026-05-18,6336.78,19491935.279999997
I00261,P00354,W00278,153,151,5641,2026-05-08,19240.98,2943869.94
I00262,P00262,W09778,2176,310,9271,2026-04-13,1326.35,2886137.5999999996
I00263,P04935,W05043,4372,353,5290,2026-04-22,13710.28,59941344.160000004
I00264,P07205,W03701,659,340,8697,2026-03-18,11311.85,7454509.15
I00265,P08455,W08350,3769,333,6286,2026-04-27,12648.68,47672874.92
I00266,P03430,W03259,4621,226,8086,2026-03-31,959.73,4434912.33
I00267,P08564,W03024,1877,279,2229,2026-04-18,2283.14,4285453.779999999
I00268,P01219,W07857,3054,492,8811,2026-05-13,23082.85,70495023.89999999
I00269,P06435,W03591,4834,235,4451,2026-04-14,9935.37,48027578.580000006
I00270,P02474,W01412,862,210,2533,2026-05-31,24522.22,21138153.64
I00271,P03517,W00565,1181,480,8846,2026-03-26,10370.77,12247879.370000001
I00272,P04988,W06957,3203,204,6349,2026-05-14,22766.85,72922220.55
I00273,P05237,W06860,1240,312,8480,2026-03-15,7200.76,8928942.4
I00274,P06100,W01049,2150,169,5586,2026-03-18,16699.7,35904355.0
I00275,P02444,W08437,3543,423,7845,2026-04-07,13760.1,48752034.300000004
I00276,P01027,W02534,927,55,3870,2026-05-16,20688.64,19178369.28
I00277,P09558,W05144,4029,119,3416,2026-05-27,19193.24,77329563.96000001
I00278,P03148,W05350,2713,153,4320,2026-05-11,1303.94,3537589.22
I00279,P06805,W00231,2741,162,7496,2026-04-11,22148.52,60709093.32
I00280,P09889,W08388,2857,305,1704,2026-06-04,14443.05,41263793.85
I00281,P04614,W03993,32,382,3210,2026-05-10,11698.53,374352.96
I00282,P03435,W09159,2933,202,6224,2026-06-03,21684.04,63599289.32
I00283,P01083,W05003,4263,83,2790,2026-04-01,10333.01,44049621.63
I00284,P04733,W07443,4658,118,3146,2026-03-16,23808.93,110901995.94
I00285,P01976,W06936,8,371,1528,2026-04-05,8944.7,71557.6
I00286,P09276,W00751,428,78,4485,2026-05-31,13744.23,5882530.4399999995
I00287,P07632,W08163,2026,411,1369,2026-05-06,1879.7,3808272.2
I00288,P09010,W07273,547,90,5462,2026-05-29,19221.04,10513908.88
I00289,P01101,W02993,2950,384,4875,2026-05-28,10605.63,31286608.499999996
I00290,P08792,W03448,4760,394,9064,2026-03-14,22964.86,109312733.60000001
I00291,P04596,W06984,4731,237,8093,2026-05-01,8569.03,40540080.93
I00292,P02074,W04035,4053,215,6892,2026-03-21,18212.55,73815465.14999999
I00293,P08673,W02241,1344,69,5519,2026-03-17,21649.87,29097425.279999997
I00294,P03094,W05013,1957,242,5337,2026-03-30,1238.91,2424546.87
I00295,P09016,W03649,149,386,3481,2026-03-19,17260.73,2571848.77
I00296,P04815,W03973,4989,70,4566,2026-03-17,7211.57,35978522.73
I00297,P00257,W06042,1170,483,8224,2026-04-16,7928.61,9276473.7
I00298,P03590,W04352,3652,364,2588,2026-04-29,1730.52,6319859.04
I00299,P08208,W09379,227,139,3114,2026-04-10,415.09,94225.43
I00300,P04781,W09181,2386,344,4717,2026-04-18,1419.57,3387094.02
I00301,P07972,W00502,3756,465,9130,2026-04-24,9802.7,36818941.2
I00302,P04544,W04385,1130,391,1494,2026-03-21,2447.86,2766081.8000000003
I00303,P08946,W04507,2216,198,5404,2026-05-08,24658.0,54642128.0
I00304,P00527,W03246,3731,93,1921,2026-05-21,11255.31,41993561.61
I00305,P03642,W08150,4667,383,6564,2026-04-12,19680.82,91850386.94
I00306,P07449,W01345,1357,326,3512,2026-04-02,24579.0,33353703.0
I00307,P01089,W07720,1680,438,6923,2026-03-29,13063.83,21947234.4
I00308,P03082,W04308,3001,473,9664,2026-05-10,22198.75,66618448.75
I00309,P01310,W01115,3153,262,6443,2026-05-27,4720.56,14883925.680000002
I00310,P07442,W02833,3972,75,9709,2026-04-28,14320.97,56882892.839999996
I00311,P01950,W00506,3108,205,4780,2026-04-15,2523.54,7843162.32
I00312,P09297,W05174,2738,103,3158,2026-06-06,15046.98,41198631.24
I00313,P03767,W06722,3542,464,3706,2026-03-18,1165.16,4126996.72
I00314,P03776,W07968,2218,78,5121,2026-04-02,15797.81,35039542.58
I00315,P00548,W06583,4675,381,6011,2026-04-09,8001.58,37407386.5
I00316,P05306,W07796,2790,375,8450,2026-04-01,12825.36,35782754.4
I00317,P01195,W05852,4356,383,8552,2026-04-02,2246.25,9784665.0
I00318,P07635,W00296,310,474,7150,2026-04-02,14907.23,4621241.3
I00319,P09563,W03334,2820,101,8537,2026-04-05,9819.18,27690087.6
I00320,P04213,W01638,1468,257,9936,2026-06-06,11806.66,17332176.88
I00321,P04021,W01092,4167,370,4060,2026-05-24,5897.1,24573215.700000003
I00322,P02318,W03917,4872,338,6562,2026-03-14,14463.42,70465782.24
I00323,P02002,W02773,4352,403,4570,2026-04-05,15008.35,65316339.2
I00324,P05818,W03344,675,335,6142,2026-06-01,14369.65,9699513.75
I00325,P05591,W08173,3585,236,2182,2026-04-29,18772.12,67298050.2
I00326,P05437,W04775,3655,155,9249,2026-06-02,18606.19,68005624.44999999
I00327,P02057,W04222,4592,188,4454,2026-04-04,15911.42,73065240.64
I00328,P05875,W08613,282,304,3365,2026-03-17,11952.46,3370593.7199999997
I00329,P03749,W01281,4033,227,1186,2026-03-28,1834.59,7398901.47
I00330,P04153,W00694,887,497,3370,2026-03-19,20498.81,18182444.470000003
I00331,P08482,W00813,2460,297,4641,2026-04-12,16644.6,40945716.0
I00332,P04216,W02416,36,229,2076,2026-03-12,18663.94,671901.84
I00333,P08057,W07397,4344,490,6148,2026-03-10,20296.9,88169733.60000001
I00334,P02915,W06293,1650,287,4943,2026-04-06,18903.45,31190692.5
I00335,P00999,W02345,1823,220,6597,2026-06-07,2466.76,4496903.48
I00336,P03139,W03107,4037,118,4180,2026-06-06,384.48,1552145.76
I00337,P01344,W05199,4094,72,4025,2026-06-02,7433.27,30431807.380000003
I00338,P09773,W08310,2103,92,6284,2026-03-24,689.35,1449703.05
I00339,P00091,W09347,816,431,3215,2026-06-02,19884.64,16225866.24
I00340,P06712,W01560,979,472,5083,2026-05-05,6777.93,6635593.470000001
I00341,P03348,W08012,1911,346,3350,2026-05-05,3843.91,7345712.01
I00342,P00029,W01714,3578,59,2727,2026-04-01,12317.42,44071728.76
I00343,P04200,W00355,2434,165,1880,2026-05-10,15557.48,37866906.32
I00344,P04271,W04168,2866,482,8306,2026-05-20,21081.15,60418575.900000006
I00345,P06174,W02208,1671,420,3114,2026-03-23,4524.05,7559687.550000001
I00346,P03350,W02593,3178,409,1492,2026-04-30,2887.2,9175521.6
I00347,P09918,W01052,3628,172,2867,2026-04-29,13108.45,47557456.6
I00348,P00942,W08637,386,351,5650,2026-04-06,23971.47,9252987.42
I00349,P06063,W01003,1070,241,5356,2026-05-11,14968.85,16016669.5
I00350,P09197,W02698,4622,488,8690,2026-04-24,18980.58,87728240.76
I00351,P04774,W07161,732,241,6247,2026-04-09,5502.1,4027537.2
I00352,P03807,W07257,2552,111,1972,2026-05-16,20745.37,52942184.239999995
I00353,P03777,W00135,986,421,2581,2026-05-01,22259.18,21947551.48
I00354,P03577,W05204,4792,359,3462,2026-05-25,6356.4,30459868.799999997
I00355,P02318,W07679,540,240,6637,2026-03-17,14463.42,7810246.8
I00356,P07995,W06418,4977,263,4299,2026-03-29,24796.34,123411384.18
I00357,P05416,W04652,63,165,7607,2026-03-25,1977.44,124578.72
I00358,P03048,W04854,313,324,7935,2026-04-12,11415.7,3573114.1
I00359,P02593,W03759,189,145,8491,2026-03-15,4766.67,900900.63
I00360,P01432,W04494,1995,104,1539,2026-04-01,17550.52,35013287.4
I00361,P00621,W08331,1110,455,3472,2026-04-13,21255.35,23593438.5
I00362,P04527,W05766,212,138,6556,2026-04-01,17570.22,3724886.64
I00363,P09935,W01528,1503,346,9490,2026-03-11,24906.63,37434664.89
