warehouse_id,warehouse_name,city,capacity
W00047,Distribution Hub 47,Port Harcourt,93573
W00048,Central Warehouse 48,Kano,84067
W00049,Distribution Hub 49,Abuja,50031
W00050,Distribution Hub 50,Ogun,26830
W00051,Central Warehouse 51,Ogun,28317
W00052,Supply Center 52,Kano,42007
W00053,Supply Center 53,Lagos,14809
W00054,Central Warehouse 54,Ogun,22911
W00055,Supply Center 55,Lagos,7620
W00056,Central Warehouse 56,Lagos,93440
W00057,Central Warehouse 57,Ibadan,81543
W00058,Central Warehouse 58,Ibadan,14918
W00059,Supply Center 59,Ibadan,90878
W00060,Supply Center 60,Ogun,19226
W00061,Central Warehouse 61,Ogun,11989
W00062,Distribution Hub 62,Lagos,14567
W00063,Central Warehouse 63,Port Harcourt,71838
W00064,Central Warehouse 64,Kano,80191
W00065,Supply Center 65,Port Harcourt,46030
W00066,Central Warehouse 66,Abuja,54368
W00067,Distribution Hub 67,Port Harcourt,93332
W00068,Central Warehouse 68,Ibadan,52867
W00069,Central Warehouse 69,Kano,36432
W00070,Central Warehouse 70,Lagos,72891
W00071,Supply Center 71,Lagos,40491
W00072,Supply Center 72,Ibadan,17898
W00073,Supply Center 73,Port Harcourt,52428
W00074,Central Warehouse 74,Abuja,71225
W00075,Supply Center 75,Ogun,12490
W00076,Distribution Hub 76,Kano,41230
W00077,Distribution Hub 77,Abuja,95789
W00078,Central Warehouse 78,Abuja,33964
W00079,Supply Center 79,Kano,96247
W00080,Distribution Hub 80,Ogun,19198
W00081,Distribution Hub 81,Port Harcourt,82103
W00082,Distribution Hub 82,Kano,80438
W00083,Supply Center 83,Port Harcourt,76961
W00084,Distribution Hub 84,Abuja,31038
W00085,Supply Center 85,Lagos,50590
W00086,Central Warehouse 86,Lagos,59826
W00087,Distribution Hub 87,Port Harcourt,38875
W00088,Central Warehouse 88,Kano,55799
W00089,Distribution Hub 89,Kano,74141
W00090,Distribution Hub 90,Lagos,99100
W00091,Central Warehouse 91,Ibadan,17518
W00092,Supply Center 92,Ibadan,7855
W00093,Distribution Hub 93,Ogun,45051
W00094,Distribution Hub 94,Lagos,84194
W00095,Supply Center 95,Abuja,59138
W00096,Supply Center 96,Kano,44547
W00097,Central Warehouse 97,Lagos,37272
W00098,Distribution Hub 98,Ibadan,51815
W00099,Distribution Hub 99,Ibadan,85490
W00100,Supply Center 100,Port Harcourt,90337
W00101,Central Warehouse 101,Port Harcourt,83325
W00102,Distribution Hub 102,Ogun,18821
W00103,Supply Center 103,Ibadan,95367
W00104,Central Warehouse 104,Ogun,42767
W00105,Central Warehouse 105,Port Harcourt,86945
W00106,Distribution Hub 106,Lagos,16090
W00107,Central Warehouse 107,Abuja,35059
W00108,Supply Center 108,Kano,94278
W00109,Central Warehouse 109,Abuja,19692
W00110,Distribution Hub 110,Kano,82850
W00111,Supply Center 111,Ibadan,23743
W00112,Central Warehouse 112,Ibadan,57048
W00113,Supply Center 113,Abuja,1904
W00114,Distribution Hub 114,Kano,76446
W00115,Supply Center 115,Port Harcourt,96910
W00116,Supply Center 116,Ogun,20173
W00117,Supply Center 117,Lagos,76533
W00118,Distribution Hub 118,Ibadan,53612
W00119,Distribution Hub 119,Abuja,28080
W00120,Supply Center 120,Port Harcourt,20395
W00121,Distribution Hub 121,Abuja,79522
W00122,Central Warehouse 122,Ogun,69928
W00123,Distribution Hub 123,Kano,52583
W00124,Central Warehouse 124,Kano,82498
W00125,Distribution Hub 125,Kano,55146
W00126,Supply Center 126,Lagos,29998
W00127,Supply Center 127,Port Harcourt,16268
W00128,Central Warehouse 128,Ogun,85806
W00129,Central Warehouse 129,Port Harcourt,66460
W00130,Supply Center 130,Ibadan,5265
W00131,Central Warehouse 131,Port Harcourt,78262
W00132,Supply Center 132,Ogun,55999
W00133,Distribution Hub 133,Kano,95940
W00134,Central Warehouse 134,Lagos,97535
W00135,Supply Center 135,Ogun,9431
W00136,Supply Center 136,Lagos,70730
W00137,Distribution Hub 137,Abuja,73930
W00138,Supply Center 138,Ogun,42529
W00139,Supply Center 139,Ibadan,19455
W00140,Central Warehouse 140,Lagos,68157
W00141,Supply Center 141,Abuja,47606
W00142,Central Warehouse 142,Lagos,60515
W00143,Distribution Hub 143,Ibadan,69547
W00144,Distribution Hub 144,Lagos,24561
W00145,Distribution Hub 145,Abuja,31445
W00146,Distribution Hub 146,Port Harcourt,13160
W00147,Central Warehouse 147,Kano,87631
W00148,Supply Center 148,Abuja,78135
W00149,Central Warehouse 149,Kano,80692
W00150,Distribution Hub 150,Ogun,58889
W00151,Central Warehouse 151,Ogun,86991
W00152,Supply Center 152,Ibadan,49839
W00153,Distribution Hub 153,Abuja,78279
W00154,Distribution Hub 154,Ibadan,73868
W00155,Distribution Hub 155,Kano,1092
W00156,Supply Center 156,Ibadan,22610
W00157,Central Warehouse 157,Port Harcourt,55654
W00158,Central Warehouse 158,Port Harcourt,70198
W00159,Central Warehouse 159,Abuja,20305
W00160,Distribution Hub 160,Lagos,50470
W00161,Distribution Hub 161,Abuja,57839
W00162,Supply Center 162,Ogun,93555
W00163,Supply Center 163,Port Harcourt,58186
W00164,Distribution Hub 164,Ogun,69588
W00165,Central Warehouse 165,Ibadan,14705
W00166,Supply Center 166,Kano,82815
W00167,Distribution Hub 167,Port Harcourt,96528
W00168,Distribution Hub 168,Port Harcourt,6665
W00169,Distribution Hub 169,Ogun,70049
W00170,Supply Center 170,Abuja,67996
W00171,Supply Center 171,Port Harcourt,22208
W00172,Distribution Hub 172,Port Harcourt,69805
W00173,Distribution Hub 173,Abuja,91587
W00174,Central Warehouse 174,Kano,39860
W00175,Central Warehouse 175,Port Harcourt,47863
W00176,Distribution Hub 176,Lagos,82926
W00177,Distribution Hub 177,Abuja,10092
W00178,Distribution Hub 178,Abuja,23321
W00179,Distribution Hub 179,Port Harcourt,50858
W00180,Distribution Hub 180,Ogun,71038
W00181,Supply Center 181,Ogun,48136
W00182,Distribution Hub 182,Abuja,46617
W00183,Distribution Hub 183,Ibadan,9656
W00184,Distribution Hub 184,Abuja,48313
W00185,Supply Center 185,Port Harcourt,67265
W00186,Central Warehouse 186,Lagos,36206
W00187,Central Warehouse 187,Lagos,78948
W00188,Supply Center 188,Ibadan,30991
W00189,Central Warehouse 189,Lagos,71986
W00190,Supply Center 190,Ogun,14885
W00191,Supply Center 191,Ibadan,90981
W00192,Central Warehouse 192,Lagos,43872
W00193,Supply Center 193,Port Harcourt,95594
W00194,Distribution Hub 194,Ibadan,35467
W00195,Supply Center 195,Ogun,31296
W00196,Supply Center 196,Port Harcourt,74629
W00197,Central Warehouse 197,Abuja,66462
W00198,Central Warehouse 198,Port Harcourt,14595
W00199,Distribution Hub 199,Ibadan,23732
W00200,Distribution Hub 200,Lagos,68289
W00201,Supply Center 201,Abuja,82788
W00202,Distribution Hub 202,Kano,44010
W00203,Supply Center 203,Abuja,50554
W00204,Supply Center 204,Abuja,14264
W00205,Distribution Hub 205,Kano,48771
W00206,Supply Center 206,Ogun,40350
W00207,Supply Center 207,Lagos,81387
W00208,Distribution Hub 208,Kano,46957
W00209,Supply Center 209,Abuja,15163
W00210,Central Warehouse 210,Kano,74878
W00211,Central Warehouse 211,Ibadan,62669
W00212,Distribution Hub 212,Kano,88134
W00213,Supply Center 213,Ibadan,6579
W00214,Central Warehouse 214,Ibadan,41085
W00215,Central Warehouse 215,Port Harcourt,47922
W00216,Supply Center 216,Lagos,2271
W00217,Supply Center 217,Abuja,5758
W00218,Central Warehouse 218,Lagos,66357
W00219,Supply Center 219,Kano,79039
W00220,Supply Center 220,Ibadan,32257
W00221,Distribution Hub 221,Ogun,37244
W00222,Supply Center 222,Abuja,11818
W00223,Distribution Hub 223,Kano,57154
W00224,Distribution Hub 224,Port Harcourt,67942
W00225,Distribution Hub 225,Port Harcourt,26300
W00226,Distribution Hub 226,Lagos,83415
W00227,Distribution Hub 227,Port Harcourt,52582
W00228,Supply Center 228,Kano,33515
W00229,Supply Center 229,Kano,35682
W00230,Central Warehouse 230,Ogun,63226
W00231,Central Warehouse 231,Abuja,69377
W00232,Distribution Hub 232,Lagos,31007
W00233,Supply Center 233,Ogun,7766
W00234,Central Warehouse 234,Ibadan,9680
W00235,Central Warehouse 235,Port Harcourt,20643
W00236,Distribution Hub 236,Kano,8402
W00237,Distribution Hub 237,Kano,6675
W00238,Distribution Hub 238,Port Harcourt,22907
W00239,Supply Center 239,Kano,11597
W00240,Distribution Hub 240,Port Harcourt,58808
W00241,Distribution Hub 241,Ibadan,85385
W00242,Distribution Hub 242,Abuja,3652
W00243,Distribution Hub 243,Abuja,40112
W00244,Central Warehouse 244,Lagos,46105
W00245,Central Warehouse 245,Kano,9022
W00246,Supply Center 246,Lagos,2215
W00247,Central Warehouse 247,Lagos,70252
W00248,Supply Center 248,Ogun,55834
W00249,Central Warehouse 249,Kano,53350
W00250,Central Warehouse 250,Lagos,16452
W00251,Central Warehouse 251,Port Harcourt,80075
W00252,Central Warehouse 252,Abuja,71268
W00253,Supply Center 253,Abuja,1611
W00254,Supply Center 254,Kano,80507
W00255,Central Warehouse 255,Port Harcourt,8097
W00256,Distribution Hub 256,Ogun,33238
W00257,Central Warehouse 257,Abuja,97441
W00258,Supply Center 258,Abuja,30280
W00259,Supply Center 259,Ibadan,46767
W00260,Distribution Hub 260,Ibadan,45412
W00261,Central Warehouse 261,Kano,82959
W00262,Distribution Hub 262,Lagos,93199
W00263,Distribution Hub 263,Port Harcourt,90159
W00264,Distribution Hub 264,Ogun,85443
W00265,Distribution Hub 265,Port Harcourt,19529
W00266,Central Warehouse 266,Lagos,22826
W00267,Central Warehouse 267,Ogun,82900
W00268,Supply Center 268,Ibadan,18069
W00269,Central Warehouse 269,Abuja,55191
W00270,Distribution Hub 270,Kano,33556
W00271,Distribution Hub 271,Port Harcourt,29336
W00272,Central Warehouse 272,Ibadan,56066
W00273,Central Warehouse 273,Kano,67802
W00274,Central Warehouse 274,Kano,62571
W00275,Central Warehouse 275,Lagos,45927
W00276,Distribution Hub 276,Abuja,41112
W00277,Distribution Hub 277,Lagos,84745
W00278,Distribution Hub 278,Abuja,20940
W00279,Central Warehouse 279,Ibadan,92759
W00280,Distribution Hub 280,Kano,74890
W00281,Supply Center 281,Ibadan,90029
W00282,Supply Center 282,Port Harcourt,92632
W00283,Supply Center 283,Ibadan,63894
W00284,Supply Center 284,Lagos,56881
W00285,Supply Center 285,Kano,76044
W00286,Supply Center 286,Ogun,56216
W00287,Supply Center 287,Lagos,65723
W00288,Supply Center 288,Ibadan,50228
W00289,Supply Center 289,Ogun,89067
W00290,Supply Center 290,Abuja,71101
W00291,Central Warehouse 291,Ibadan,88686
W00292,Central Warehouse 292,Ibadan,44044
W00293,Supply Center 293,Lagos,12275
W00294,Supply Center 294,Ibadan,44948
W00295,Distribution Hub 295,Lagos,2577
W00296,Distribution Hub 296,Kano,3141
W00297,Central Warehouse 297,Abuja,25852
W00298,Supply Center 298,Ogun,61010
W00299,Distribution Hub 299,Port Harcourt,12878
W00300,Central Warehouse 300,Kano,23331
W00301,Supply Center 301,Kano,56159
W00302,Supply Center 302,Lagos,30968
W00303,Central Warehouse 303,Port Harcourt,68612
W00304,Central Warehouse 304,Port Harcourt,45450
W00305,Distribution Hub 305,Abuja,5697
W00306,Central Warehouse 306,Abuja,4753
W00307,Central Warehouse 307,Abuja,12321
W00308,Supply Center 308,Port Harcourt,82328
W00309,Supply Center 309,Kano,95827
W00310,Distribution Hub 310,Port Harcourt,39947
W00311,Central Warehouse 311,Ibadan,91876
W00312,Central Warehouse 312,Ibadan,99552
W00313,Central Warehouse 313,Ibadan,32064
W00314,Distribution Hub 314,Lagos,81366
W00315,Distribution Hub 315,Ogun,4772
W00316,Supply Center 316,Abuja,47858
W00317,Supply Center 317,Port Harcourt,77883
W00318,Distribution Hub 318,Kano,87446
W00319,Distribution Hub 319,Ibadan,1477
W00320,Supply Center 320,Lagos,96822
W00321,Supply Center 321,Port Harcourt,42548
W00322,Supply Center 322,Port Harcourt,21403
W00323,Supply Center 323,Kano,68949
W00324,Central Warehouse 324,Lagos,85506
W00325,Distribution Hub 325,Ibadan,76908
W00326,Supply Center 326,Kano,96077
W00327,Distribution Hub 327,Ogun,2518
W00328,Supply Center 328,Ogun,80741
W00329,Supply Center 329,Kano,63746
W00330,Distribution Hub 330,Ogun,87131
W00331,Distribution Hub 331,Lagos,72011
W00332,Supply Center 332,Ogun,26351
W00333,Supply Center 333,Kano,78326
W00334,Distribution Hub 334,Ogun,40566
W00335,Supply Center 335,Lagos,5442
W00336,Central Warehouse 336,Abuja,30463
W00337,Supply Center 337,Port Harcourt,97691
W00338,Distribution Hub 338,Ibadan,78619
W00339,Central Warehouse 339,Ibadan,39614
W00340,Distribution Hub 340,Port Harcourt,82141
W00341,Supply Center 341,Abuja,2595
W00342,Distribution Hub 342,Ibadan,42816
W00343,Distribution Hub 343,Ibadan,25977
W00344,Supply Center 344,Port Harcourt,23323
W00345,Central Warehouse 345,Ogun,85856
W00346,Supply Center 346,Ibadan,4956
W00347,Supply Center 347,Lagos,59445
W00348,Central Warehouse 348,Port Harcourt,91970
W00349,Supply Center 349,Ibadan,64604
W00350,Distribution Hub 350,Ogun,69967
W00351,Central Warehouse 351,Abuja,66157
W00352,Supply Center 352,Ogun,74335
W00353,Central Warehouse 353,Abuja,47234
W00354,Supply Center 354,Port Harcourt,60289
W00355,Distribution Hub 355,Port Harcourt,6766
W00356,Distribution Hub 356,Port Harcourt,73660
W00357,Central Warehouse 357,Lagos,47661
W00358,Central Warehouse 358,Kano,31282
W00359,Central Warehouse 359,Ibadan,58267
W00360,Supply Center 360,Ogun,77178
W00361,Supply Center 361,Ogun,27653
W00362,Supply Center 362,Port Harcourt,50378
W00363,Supply Center 363,Kano,29414
W00364,Distribution Hub 364,Ibadan,67102
W00365,Distribution Hub 365,Ogun,30381
W00366,Distribution Hub 366,Ogun,86695
W00367,Distribution Hub 367,Ogun,69828
W00368,Distribution Hub 368,Kano,93713
W00369,Supply Center 369,Ibadan,85691
W00370,Supply Center 370,Port Harcourt,10691
W00371,Central Warehouse 371,Kano,34815
W00372,Distribution Hub 372,Abuja,48322
W00373,Supply Center 373,Kano,61178
W00374,Central Warehouse 374,Port Harcourt,54562
W00375,Supply Center 375,Port Harcourt,4897
W00376,Distribution Hub 376,Lagos,91789
W00377,Distribution Hub 377,Ibadan,42034
W00378,Central Warehouse 378,Lagos,44691
W00379,Central Warehouse 379,Ibadan,61629
W00380,Central Warehouse 380,Port Harcourt,98085
W00381,Distribution Hub 381,Kano,12123
W00382,Central Warehouse 382,Kano,6056
W00383,Central Warehouse 383,Ogun,1150
W00384,Central Warehouse 384,Ogun,45689
W00385,Supply Center 385,Ogun,87379
W00386,Distribution Hub 386,Ibadan,13840
W00387,Distribution Hub 387,Kano,23646
W00388,Supply Center 388,Abuja,30079
W00389,Central Warehouse 389,Ibadan,82841
W00390,Distribution Hub 390,Port Harcourt,65530
W00391,Supply Center 391,Port Harcourt,32384
W00392,Distribution Hub 392,Lagos,95065
W00393,Supply Center 393,Lagos,20333
W00394,Supply Center 394,Port Harcourt,40687
W00395,Supply Center 395,Kano,92680
W00396,Distribution Hub 396,Kano,48028
W00397,Supply Center 397,Port Harcourt,25069
W00398,Supply Center 398,Lagos,39758
W00399,Distribution Hub 399,Kano,14184
W00400,Distribution Hub 400,Kano,22954
W00401,Distribution Hub 401,Lagos,11942
W00402,Supply Center 402,Port Harcourt,16296
W00403,Central Warehouse 403,Port Harcourt,74091
W00404,Distribution Hub 404,Ogun,15851
W00405,Distribution Hub 405,Kano,18182
W00406,Supply Center 406,Port Harcourt,33155
W00407,Distribution Hub 407,Lagos,57837
W00408,Supply Center 408,Abuja,56358
W00409,Supply Center 409,Port Harcourt,99482
W00410,Distribution Hub 410,Ibadan,72501
W00411,Distribution Hub 411,Port Harcourt,38721
W00412,Supply Center 412,Ogun,12404
W00413,Distribution Hub 413,Ogun,26913
W00414,Central Warehouse 414,Ogun,4815
W00415,Distribution Hub 415,Ogun,37535
W00416,Supply Center 416,Port Harcourt,5039
W00417,Distribution Hub 417,Ogun,60830
W00418,Distribution Hub 418,Ogun,45023
W00419,Supply Center 419,Kano,48625
W00420,Distribution Hub 420,Port Harcourt,28712
W00421,Central Warehouse 421,Port Harcourt,65122
W00422,Supply Center 422,Ibadan,93087
W00423,Central Warehouse 423,Ibadan,18937
W00424,Central Warehouse 424,Ibadan,3203
W00425,Central Warehouse 425,Ibadan,8256
W00426,Supply Center 426,Lagos,47269
W00427,Central Warehouse 427,Port Harcourt,83658
W00428,Central Warehouse 428,Kano,92777
W00429,Distribution Hub 429,Ibadan,8450
W00430,Central Warehouse 430,Abuja,31554
W00431,Distribution Hub 431,Lagos,80704
W00432,Central Warehouse 432,Kano,51330
W00433,Supply Center 433,Ogun,45954
W00434,Supply Center 434,Kano,95745
W00435,Supply Center 435,Ogun,56821
W00436,Central Warehouse 436,Abuja,49694
W00437,Central Warehouse 437,Ibadan,34482
W00438,Central Warehouse 438,Port Harcourt,72314
W00439,Supply Center 439,Ogun,94181
W00440,Central Warehouse 440,Kano,67488
W00441,Distribution Hub 441,Lagos,8218
W00442,Central Warehouse 442,Lagos,29533
W00443,Distribution Hub 443,Kano,12524
W00444,Central Warehouse 444,Port Harcourt,76834
W00445,Supply Center 445,Ogun,28310
W00446,Central Warehouse 446,Ogun,77885
W00447,Supply Center 447,Port Harcourt,94621
W00448,Distribution Hub 448,Kano,37716
W00449,Supply Center 449,Kano,38956
W00450,Distribution Hub 450,Lagos,22041
W00451,Central Warehouse 451,Abuja,56112
W00452,Supply Center 452,Kano,87432
W00453,Central Warehouse 453,Abuja,71023
W00454,Distribution Hub 454,Abuja,1982
W00455,Distribution Hub 455,Kano,53870
W00456,Distribution Hub 456,Ibadan,86008
W00457,Supply Center 457,Ogun,1457
W00458,Distribution Hub 458,Lagos,65714
W00459,Distribution Hub 459,Lagos,31308
W00460,Supply Center 460,Ibadan,89441
W00461,Supply Center 461,Port Harcourt,21443
W00462,Supply Center 462,Ogun,33344
W00463,Central Warehouse 463,Ogun,72719
W00464,Supply Center 464,Port Harcourt,66583
W00465,Distribution Hub 465,Lagos,12624
W00466,Supply Center 466,Kano,57340
W00467,Supply Center 467,Kano,1360
W00468,Distribution Hub 468,Ibadan,17701
W00469,Central Warehouse 469,Lagos,14248
W00470,Supply Center 470,Ogun,50430
W00471,Central Warehouse 471,Ibadan,59987
W00472,Distribution Hub 472,Port Harcourt,79116
W00473,Distribution Hub 473,Abuja,53648
W00474,Supply Center 474,Abuja,41038
W00475,Distribution Hub 475,Kano,43656
W00476,Distribution Hub 476,Lagos,48555
W00477,Distribution Hub 477,Ibadan,87095
W00478,Central Warehouse 478,Port Harcourt,35964
W00479,Central Warehouse 479,Ibadan,17767
W00480,Distribution Hub 480,Ibadan,66704
W00481,Central Warehouse 481,Kano,42799
W00482,Supply Center 482,Lagos,71218
W00483,Distribution Hub 483,Kano,99413
W00484,Central Warehouse 484,Lagos,48233
W00485,Distribution Hub 485,Port Harcourt,35772
W00486,Distribution Hub 486,Kano,49988
W00487,Supply Center 487,Lagos,91001
W00488,Distribution Hub 488,Abuja,49619
W00489,Central Warehouse 489,Ibadan,23405
W00490,Distribution Hub 490,Ibadan,86759
W00491,Central Warehouse 491,Ogun,66680
W00492,Supply Center 492,Lagos,86750
W00493,Central Warehouse 493,Kano,21064
W00494,Distribution Hub 494,Lagos,23283
W00495,Supply Center 495,Abuja,85837
W00496,Supply Center 496,Kano,98811
W00497,Distribution Hub 497,Port Harcourt,4190
W00498,Distribution Hub 498,Abuja,78865
W00499,Distribution Hub 499,Kano,84410
W00500,Supply Center 500,Abuja,88723
W00501,Central Warehouse 501,Ogun,46169
W00502,Central Warehouse 502,Lagos,14081
W00503,Supply Center 503,Port Harcourt,80347
W00504,Distribution Hub 504,Abuja,12780
W00505,Central Warehouse 505,Lagos,90697
W00506,Supply Center 506,Abuja,57741
W00507,Central Warehouse 507,Lagos,22434
W00508,Supply Center 508,Abuja,56656
W00509,Supply Center 509,Kano,86152
W00510,Distribution Hub 510,Ogun,48802
W00511,Supply Center 511,Kano,73844
W00512,Central Warehouse 512,Port Harcourt,76892
W00513,Supply Center 513,Ibadan,61912
W00514,Supply Center 514,Lagos,87221
W00515,Distribution Hub 515,Ogun,11549
W00516,Distribution Hub 516,Port Harcourt,53457
W00517,Supply Center 517,Port Harcourt,22571
W00518,Supply Center 518,Ogun,73949
W00519,Supply Center 519,Ibadan,46201
W00520,Central Warehouse 520,Kano,46193
W00521,Central Warehouse 521,Lagos,88696
W00522,Supply Center 522,Ogun,34079
W00523,Distribution Hub 523,Abuja,58436
W00524,Central Warehouse 524,Lagos,67354
W00525,Supply Center 525,Lagos,35070
W00526,Supply Center 526,Kano,1514
W00527,Supply Center 527,Lagos,23622
W00528,Supply Center 528,Abuja,17820
W00529,Distribution Hub 529,Kano,37391
W00530,Distribution Hub 530,Lagos,6376
W00531,Central Warehouse 531,Lagos,12677
W00532,Distribution Hub 532,Abuja,55454
W00533,Central Warehouse 533,Kano,16790
W00534,Supply Center 534,Lagos,4454
W00535,Supply Center 535,Port Harcourt,36066
W00536,Supply Center 536,Ibadan,45698
W00537,Distribution Hub 537,Kano,80612
W00538,Supply Center 538,Ogun,80001
W00539,Supply Center 539,Ogun,68859
W00540,Central Warehouse 540,Ogun,33773
W00541,Central Warehouse 541,Lagos,38493
W00542,Distribution Hub 542,Abuja,51612
W00543,Supply Center 543,Abuja,37221
W00544,Supply Center 544,Ibadan,57522
W00545,Central Warehouse 545,Ibadan,81600
W00546,Central Warehouse 546,Lagos,15945
W00547,Distribution Hub 547,Ibadan,23077
W00548,Supply Center 548,Abuja,87004
W00549,Central Warehouse 549,Abuja,87971
W00550,Central Warehouse 550,Kano,2051
W00551,Distribution Hub 551,Ogun,89286
W00552,Central Warehouse 552,Lagos,25891
W00553,Supply Center 553,Abuja,43488
W00554,Central Warehouse 554,Port Harcourt,26036
W00555,Central Warehouse 555,Kano,1361
W00556,Supply Center 556,Abuja,94654
W00557,Central Warehouse 557,Abuja,30581
W00558,Distribution Hub 558,Kano,46246
W00559,Supply Center 559,Port Harcourt,81863
W00560,Distribution Hub 560,Lagos,63703
W00561,Distribution Hub 561,Abuja,21517
W00562,Central Warehouse 562,Abuja,51091
W00563,Distribution Hub 563,Lagos,11345
W00564,Distribution Hub 564,Ogun,43000
W00565,Supply Center 565,Ibadan,26673
W00566,Distribution Hub 566,Ibadan,36314
W00567,Distribution Hub 567,Port Harcourt,99478
W00568,Distribution Hub 568,Ogun,71005
W00569,Supply Center 569,Kano,5067
W00570,Supply Center 570,Port Harcourt,26500
W00571,Distribution Hub 571,Ogun,43046
W00572,Supply Center 572,Ibadan,57236
W00573,Central Warehouse 573,Abuja,95543
W00574,Supply Center 574,Port Harcourt,74675
W00575,Central Warehouse 575,Abuja,88803
W00576,Distribution Hub 576,Lagos,14877
W00577,Distribution Hub 577,Port Harcourt,17377
W00578,Supply Center 578,Lagos,23164
W00579,Distribution Hub 579,Lagos,99309
W00580,Supply Center 580,Ogun,53054
W00581,Distribution Hub 581,Kano,54126
W00582,Distribution Hub 582,Kano,63423
W00583,Distribution Hub 583,Lagos,98201
W00584,Supply Center 584,Lagos,48193
W00585,Central Warehouse 585,Abuja,23687
W00586,Central Warehouse 586,Kano,66397
W00587,Distribution Hub 587,Ibadan,26734
W00588,Distribution Hub 588,Ibadan,62893
W00589,Distribution Hub 589,Port Harcourt,90651
W00590,Central Warehouse 590,Lagos,42838
W00591,Central Warehouse 591,Abuja,87099
W00592,Central Warehouse 592,Abuja,39898
W00593,Supply Center 593,Abuja,75196
W00594,Supply Center 594,Port Harcourt,29297
W00595,Distribution Hub 595,Port Harcourt,69420
W00596,Central Warehouse 596,Port Harcourt,64546
W00597,Supply Center 597,Port Harcourt,35824
W00598,Distribution Hub 598,Port Harcourt,15698
W00599,Supply Center 599,Kano,53909
W00600,Distribution Hub 600,Ibadan,75855
W00601,Supply Center 601,Lagos,38136
W00602,Distribution Hub 602,Ibadan,47221
W00603,Central Warehouse 603,Ogun,24438
W00604,Supply Center 604,Ogun,17185
W00605,Central Warehouse 605,Ibadan,84161
W00606,Supply Center 606,Kano,96582
W00607,Supply Center 607,Lagos,34467
W00608,Central Warehouse 608,Abuja,35660
W00609,Central Warehouse 609,Kano,44029
W00610,Supply Center 610,Port Harcourt,14481
W00611,Distribution Hub 611,Port Harcourt,50807
W00612,Distribution Hub 612,Ibadan,44351
W00613,Supply Center 613,Port Harcourt,20742
W00614,Distribution Hub 614,Ogun,61133
W00615,Supply Center 615,Ogun,4071
W00616,Distribution Hub 616,Lagos,58160
W00617,Supply Center 617,Port Harcourt,27255
W00618,Supply Center 618,Kano,35969
W00619,Central Warehouse 619,Ibadan,16616
W00620,Supply Center 620,Ibadan,3362
W00621,Distribution Hub 621,Port Harcourt,77928
W00622,Central Warehouse 622,Lagos,51797
W00623,Central Warehouse 623,Abuja,65515
W00624,Central Warehouse 624,Port Harcourt,93717
W00625,Distribution Hub 625,Abuja,17545
W00626,Distribution Hub 626,Lagos,67625
W00627,Central Warehouse 627,Port Harcourt,29180
W00628,Central Warehouse 628,Kano,7868
W00629,Central Warehouse 629,Kano,76758
W00630,Central Warehouse 630,Abuja,29650
W00631,Central Warehouse 631,Port Harcourt,43212
W00632,Central Warehouse 632,Port Harcourt,79783
W00633,Central Warehouse 633,Ibadan,65744
W00634,Central Warehouse 634,Ogun,94478
W00635,Distribution Hub 635,Kano,66044
W00636,Central Warehouse 636,Lagos,71976
W00637,Central Warehouse 637,Ibadan,65156
W00638,Central Warehouse 638,Ibadan,60309
