product_id,product_name,category,brand,unit_price_ngn,supplier_id
P00103,Dettol Product 103,Food,Nestle,6015.44,S05503
P00104,Power Oil Product 104,Frozen Foods,Peak,3631.68,S03789
P00105,Milo Product 105,Cleaning,Indomie,17719.19,S01053
P00106,Milo Product 106,Dairy,Power Oil,13656.76,S06813
P00107,Dangote Product 107,Beverages,Milo,9859.02,S09570
P00108,Dangote Product 108,Frozen Foods,Milo,12029.1,S05764
P00109,Nestle Product 109,Dairy,Milo,13547.87,S08948
P00110,Golden Penny Product 110,Dairy,Golden Penny,6968.8,S07957
P00111,Dangote Product 111,Dairy,Power Oil,16788.07,S06625
P00112,Indomie Product 112,Dairy,Indomie,24521.91,S08752
P00113,Dangote Product 113,Dairy,Dangote,2281.9,S07023
P00114,Indomie Product 114,Dairy,Indomie,1447.06,S06212
P00115,Power Oil Product 115,Beverages,Dettol,8305.78,S06212
P00116,Nestle Product 116,Dairy,Nestle,20905.79,S07706
P00117,Dangote Product 117,Cleaning,Dangote,24997.71,S05734
P00118,Golden Penny Product 118,Cleaning,Peak,19574.58,S00660
P00119,Dangote Product 119,Beverages,Golden Penny,21012.88,S02497
P00120,Golden Penny Product 120,Beverages,Dettol,16802.58,S09241
P00121,Golden Penny Product 121,Dairy,Nestle,19219.07,S02750
P00122,Peak Product 122,Beverages,Nestle,2880.85,S00421
P00123,Nestle Product 123,Frozen Foods,Milo,10037.03,S03250
P00124,Peak Product 124,Frozen Foods,Golden Penny,2727.15,S04942
P00125,Peak Product 125,Frozen Foods,Dangote,8810.65,S07019
P00126,Power Oil Product 126,Food,Power Oil,513.77,S06883
P00127,Dettol Product 127,Food,Milo,24027.53,S07533
P00128,Indomie Product 128,Dairy,Indomie,18398.12,S04426
P00129,Dettol Product 129,Dairy,Milo,20678.22,S09708
P00130,Nestle Product 130,Toiletries,Golden Penny,20802.13,S01420
P00131,Nestle Product 131,Dairy,Golden Penny,18811.81,S09337
P00132,Milo Product 132,Toiletries,Dangote,12458.8,S05326
P00133,Indomie Product 133,Dairy,Golden Penny,8999.66,S04233
P00134,Power Oil Product 134,Toiletries,Nestle,13983.62,S08465
P00135,Golden Penny Product 135,Food,Golden Penny,18057.85,S08005
P00136,Golden Penny Product 136,Cleaning,Dettol,16218.39,S08042
P00137,Dettol Product 137,Food,Peak,7497.04,S06626
P00138,Golden Penny Product 138,Toiletries,Power Oil,11936.86,S08699
P00139,Power Oil Product 139,Dairy,Power Oil,8924.9,S07435
P00140,Nestle Product 140,Toiletries,Nestle,5917.34,S03156
P00141,Power Oil Product 141,Food,Indomie,4950.22,S07934
P00142,Nestle Product 142,Cleaning,Nestle,24516.66,S03181
P00143,Nestle Product 143,Beverages,Power Oil,4650.15,S00232
P00144,Indomie Product 144,Toiletries,Dangote,24362.51,S09067
P00145,Nestle Product 145,Cleaning,Indomie,16019.17,S08043
P00146,Peak Product 146,Food,Nestle,11841.04,S07217
P00147,Power Oil Product 147,Beverages,Dangote,6461.46,S07828
P00148,Peak Product 148,Food,Milo,12395.31,S09454
P00149,Dangote Product 149,Beverages,Indomie,20316.32,S04979
P00150,Peak Product 150,Beverages,Peak,14040.21,S06819
P00151,Golden Penny Product 151,Frozen Foods,Milo,11372.76,S07254
P00152,Nestle Product 152,Frozen Foods,Milo,7773.43,S00987
P00153,Peak Product 153,Beverages,Golden Penny,6763.22,S01331
P00154,Indomie Product 154,Beverages,Indomie,13889.41,S02565
P00155,Dangote Product 155,Dairy,Dettol,17296.4,S07700
P00156,Nestle Product 156,Food,Golden Penny,7345.0,S04633
P00157,Dettol Product 157,Food,Golden Penny,23112.99,S09664
P00158,Golden Penny Product 158,Dairy,Peak,13705.15,S02442
P00159,Nestle Product 159,Beverages,Peak,1679.02,S05040
P00160,Nestle Product 160,Dairy,Peak,11823.71,S04983
P00161,Milo Product 161,Toiletries,Dettol,11056.42,S09799
P00162,Dangote Product 162,Dairy,Power Oil,15172.1,S00424
P00163,Peak Product 163,Beverages,Dangote,24989.4,S04416
P00164,Dangote Product 164,Beverages,Dettol,13070.3,S07246
P00165,Nestle Product 165,Beverages,Milo,15942.66,S08057
P00166,Peak Product 166,Dairy,Power Oil,10327.03,S05261
P00167,Peak Product 167,Beverages,Power Oil,10408.8,S08118
P00168,Nestle Product 168,Cleaning,Milo,20376.44,S09013
P00169,Dangote Product 169,Dairy,Peak,8000.03,S05297
P00170,Peak Product 170,Dairy,Dangote,16509.98,S08890
P00171,Dettol Product 171,Dairy,Dangote,4852.05,S05928
P00172,Dettol Product 172,Cleaning,Dettol,19047.77,S03336
P00173,Nestle Product 173,Frozen Foods,Indomie,23206.28,S07179
P00174,Dettol Product 174,Food,Dangote,24334.04,S09976
P00175,Golden Penny Product 175,Cleaning,Indomie,7906.6,S00225
P00176,Milo Product 176,Food,Golden Penny,24807.98,S01859
P00177,Dettol Product 177,Food,Indomie,12559.71,S04782
P00178,Nestle Product 178,Dairy,Dettol,24510.07,S03994
P00179,Dettol Product 179,Frozen Foods,Indomie,9712.93,S09821
P00180,Indomie Product 180,Food,Nestle,19362.34,S06799
P00181,Power Oil Product 181,Frozen Foods,Nestle,20549.63,S04635
P00182,Nestle Product 182,Frozen Foods,Dettol,21658.46,S07317
P00183,Dettol Product 183,Toiletries,Power Oil,13887.55,S08904
P00184,Milo Product 184,Dairy,Power Oil,21766.12,S03913
P00185,Milo Product 185,Beverages,Milo,1282.45,S07750
P00186,Milo Product 186,Dairy,Indomie,12484.15,S00607
P00187,Indomie Product 187,Frozen Foods,Power Oil,21768.57,S07214
P00188,Peak Product 188,Frozen Foods,Dettol,580.62,S02362
P00189,Milo Product 189,Cleaning,Indomie,2055.74,S04343
P00190,Power Oil Product 190,Frozen Foods,Milo,16315.95,S05384
P00191,Milo Product 191,Toiletries,Dettol,21835.1,S00589
P00192,Peak Product 192,Beverages,Nestle,24936.16,S01481
P00193,Milo Product 193,Food,Peak,11203.23,S04907
P00194,Dangote Product 194,Food,Power Oil,19944.36,S04807
P00195,Power Oil Product 195,Toiletries,Milo,3810.13,S08703
P00196,Milo Product 196,Frozen Foods,Indomie,4415.59,S01294
P00197,Milo Product 197,Frozen Foods,Golden Penny,12542.15,S09555
P00198,Indomie Product 198,Beverages,Dettol,16020.03,S07530
P00199,Nestle Product 199,Cleaning,Dangote,22492.93,S07623
P00200,Nestle Product 200,Cleaning,Indomie,2031.78,S05662
P00201,Nestle Product 201,Cleaning,Milo,17319.78,S07485
P00202,Nestle Product 202,Beverages,Milo,21362.72,S01748
P00203,Golden Penny Product 203,Dairy,Power Oil,14455.34,S04838
P00204,Dangote Product 204,Cleaning,Milo,7007.11,S09273
P00205,Dangote Product 205,Frozen Foods,Dettol,20854.4,S04690
P00206,Golden Penny Product 206,Frozen Foods,Power Oil,5631.31,S03116
P00207,Nestle Product 207,Cleaning,Indomie,15780.55,S00646
P00208,Nestle Product 208,Dairy,Dangote,14573.43,S02154
P00209,Peak Product 209,Toiletries,Power Oil,18737.53,S02878
P00210,Golden Penny Product 210,Beverages,Power Oil,13365.14,S04466
P00211,Indomie Product 211,Toiletries,Dettol,24191.13,S04836
P00212,Power Oil Product 212,Food,Dettol,24079.75,S02307
P00213,Golden Penny Product 213,Cleaning,Milo,24188.29,S09132
P00214,Power Oil Product 214,Food,Milo,545.18,S08792
P00215,Peak Product 215,Dairy,Power Oil,16886.14,S04296
P00216,Milo Product 216,Cleaning,Power Oil,2886.98,S03831
P00217,Dettol Product 217,Food,Power Oil,22898.35,S03627
P00218,Peak Product 218,Cleaning,Dettol,22752.81,S04952
P00219,Milo Product 219,Food,Indomie,1324.6,S00610
P00220,Nestle Product 220,Dairy,Peak,2610.36,S08808
P00221,Indomie Product 221,Dairy,Dettol,9401.09,S08851
P00222,Milo Product 222,Frozen Foods,Indomie,22158.26,S01623
P00223,Dettol Product 223,Frozen Foods,Milo,23488.52,S04584
P00224,Dangote Product 224,Cleaning,Power Oil,5588.29,S07286
P00225,Golden Penny Product 225,Toiletries,Peak,24527.01,S06019
P00226,Power Oil Product 226,Food,Milo,7041.86,S02002
P00227,Dettol Product 227,Food,Golden Penny,16114.27,S09784
P00228,Dangote Product 228,Food,Power Oil,6240.51,S02064
P00229,Golden Penny Product 229,Food,Golden Penny,14742.3,S03818
P00230,Power Oil Product 230,Beverages,Dangote,7076.42,S02371
P00231,Indomie Product 231,Frozen Foods,Nestle,20003.14,S01802
P00232,Dangote Product 232,Beverages,Dangote,9084.41,S03899
P00233,Power Oil Product 233,Food,Indomie,6781.11,S02077
P00234,Milo Product 234,Frozen Foods,Peak,18692.5,S07803
P00235,Dettol Product 235,Toiletries,Peak,11409.73,S03630
P00236,Dangote Product 236,Cleaning,Nestle,11559.45,S00511
P00237,Dangote Product 237,Dairy,Milo,10771.59,S01769
P00238,Dettol Product 238,Cleaning,Dettol,2022.57,S01324
P00239,Power Oil Product 239,Frozen Foods,Indomie,1828.92,S04506
P00240,Power Oil Product 240,Dairy,Nestle,11452.14,S09920
P00241,Milo Product 241,Food,Peak,21349.26,S09034
P00242,Golden Penny Product 242,Dairy,Dettol,22224.66,S06780
P00243,Power Oil Product 243,Dairy,Milo,10516.54,S01558
P00244,Power Oil Product 244,Dairy,Power Oil,16694.68,S06133
P00245,Indomie Product 245,Cleaning,Dettol,1864.91,S01399
P00246,Peak Product 246,Dairy,Peak,18665.81,S06106
P00247,Indomie Product 247,Frozen Foods,Dangote,14744.33,S09202
P00248,Power Oil Product 248,Cleaning,Peak,10388.05,S06930
P00249,Dangote Product 249,Toiletries,Nestle,8920.83,S09469
P00250,Golden Penny Product 250,Beverages,Dettol,5761.27,S01774
P00251,Power Oil Product 251,Frozen Foods,Power Oil,3049.16,S04565
P00252,Golden Penny Product 252,Dairy,Dangote,15303.07,S04382
P00253,Dangote Product 253,Beverages,Nestle,17626.93,S05063
P00254,Power Oil Product 254,Toiletries,Dangote,4698.86,S02348
P00255,Milo Product 255,Food,Indomie,18576.03,S00503
P00256,Peak Product 256,Cleaning,Golden Penny,9529.62,S07433
P00257,Power Oil Product 257,Beverages,Power Oil,7928.61,S05315
P00258,Peak Product 258,Food,Indomie,4103.77,S00816
P00259,Peak Product 259,Toiletries,Dettol,16616.08,S07958
P00260,Dettol Product 260,Dairy,Nestle,5546.11,S08395
P00261,Peak Product 261,Toiletries,Milo,2950.07,S09718
P00262,Dettol Product 262,Frozen Foods,Nestle,1326.35,S06476
P00263,Dangote Product 263,Food,Golden Penny,7675.2,S03461
P00264,Indomie Product 264,Toiletries,Nestle,8337.43,S00127
P00265,Dettol Product 265,Cleaning,Milo,4557.23,S06230
P00266,Golden Penny Product 266,Frozen Foods,Power Oil,1987.47,S00694
P00267,Milo Product 267,Food,Dettol,23044.83,S05130
P00268,Milo Product 268,Frozen Foods,Milo,17795.57,S06844
P00269,Nestle Product 269,Food,Milo,717.24,S05322
P00270,Indomie Product 270,Frozen Foods,Dettol,20834.24,S05929
P00271,Peak Product 271,Dairy,Peak,6234.25,S09649
P00272,Milo Product 272,Frozen Foods,Peak,10015.01,S05084
P00273,Power Oil Product 273,Beverages,Power Oil,19522.12,S01252
P00274,Peak Product 274,Frozen Foods,Golden Penny,22666.88,S05725
P00275,Power Oil Product 275,Cleaning,Indomie,6059.47,S02400
P00276,Nestle Product 276,Beverages,Indomie,15139.49,S01235
P00277,Indomie Product 277,Cleaning,Dettol,11706.04,S09237
P00278,Dettol Product 278,Cleaning,Power Oil,21633.32,S05180
P00279,Indomie Product 279,Dairy,Peak,11829.24,S04962
P00280,Nestle Product 280,Frozen Foods,Dangote,8928.17,S01216
P00281,Nestle Product 281,Dairy,Dettol,1132.66,S06042
P00282,Nestle Product 282,Food,Peak,15452.21,S08308
P00283,Milo Product 283,Dairy,Dangote,11353.4,S09367
P00284,Golden Penny Product 284,Toiletries,Dettol,12633.91,S01014
P00285,Dettol Product 285,Food,Power Oil,24563.16,S01382
P00286,Indomie Product 286,Food,Golden Penny,17749.02,S07200
P00287,Indomie Product 287,Toiletries,Power Oil,22964.83,S06348
P00288,Milo Product 288,Toiletries,Dangote,19772.83,S05483
P00289,Peak Product 289,Toiletries,Peak,14037.49,S06334
P00290,Nestle Product 290,Toiletries,Indomie,8467.38,S09548
P00291,Indomie Product 291,Toiletries,Nestle,24198.87,S06422
P00292,Indomie Product 292,Frozen Foods,Peak,7877.63,S06172
P00293,Power Oil Product 293,Beverages,Peak,16221.42,S06938
P00294,Power Oil Product 294,Food,Power Oil,7859.88,S03510
P00295,Power Oil Product 295,Dairy,Golden Penny,5818.27,S02254
P00296,Indomie Product 296,Food,Nestle,21141.82,S01658
P00297,Dangote Product 297,Cleaning,Power Oil,21934.54,S02148
P00298,Milo Product 298,Beverages,Indomie,4684.98,S02713
P00299,Dettol Product 299,Food,Milo,9234.63,S03892
P00300,Dettol Product 300,Frozen Foods,Nestle,18859.3,S07356
P00301,Golden Penny Product 301,Frozen Foods,Golden Penny,7874.8,S07685
P00302,Golden Penny Product 302,Toiletries,Dettol,11649.66,S04617
P00303,Milo Product 303,Frozen Foods,Milo,24163.45,S03272
P00304,Indomie Product 304,Toiletries,Dangote,16101.24,S06082
P00305,Peak Product 305,Cleaning,Peak,7269.56,S02627
P00306,Nestle Product 306,Dairy,Indomie,20809.96,S01503
P00307,Golden Penny Product 307,Dairy,Power Oil,23275.7,S06798
P00308,Dangote Product 308,Dairy,Power Oil,6047.3,S01338
P00309,Power Oil Product 309,Beverages,Dangote,8103.38,S01624
P00310,Power Oil Product 310,Beverages,Indomie,1149.92,S07741
P00311,Indomie Product 311,Cleaning,Dettol,11325.32,S00087
P00312,Peak Product 312,Food,Nestle,5548.24,S02450
P00313,Milo Product 313,Food,Nestle,6093.48,S01997
P00314,Dangote Product 314,Beverages,Milo,16046.0,S07490
P00315,Peak Product 315,Food,Dettol,14999.13,S00270
P00316,Golden Penny Product 316,Cleaning,Indomie,7423.55,S00026
P00317,Power Oil Product 317,Beverages,Milo,4845.39,S01403
P00318,Power Oil Product 318,Food,Dangote,9883.25,S07703
P00319,Dangote Product 319,Cleaning,Milo,24529.78,S04156
P00320,Dangote Product 320,Toiletries,Peak,8751.1,S01699
P00321,Power Oil Product 321,Beverages,Dangote,8937.02,S05547
P00322,Indomie Product 322,Cleaning,Dettol,24524.32,S07841
P00323,Indomie Product 323,Beverages,Peak,17957.92,S07499
P00324,Dangote Product 324,Toiletries,Golden Penny,1286.4,S03269
P00325,Dangote Product 325,Toiletries,Nestle,12981.51,S08898
P00326,Dettol Product 326,Toiletries,Dangote,18881.61,S03132
P00327,Nestle Product 327,Toiletries,Dangote,21671.8,S05439
P00328,Nestle Product 328,Food,Power Oil,11036.39,S06554
P00329,Dettol Product 329,Dairy,Power Oil,24348.34,S08130
P00330,Dettol Product 330,Toiletries,Nestle,20068.47,S06956
P00331,Peak Product 331,Dairy,Indomie,13727.77,S05263
P00332,Peak Product 332,Food,Power Oil,16590.8,S05022
P00333,Dettol Product 333,Frozen Foods,Milo,4332.79,S07273
P00334,Power Oil Product 334,Dairy,Dangote,18225.0,S05777
P00335,Milo Product 335,Toiletries,Dangote,2061.02,S06656
P00336,Power Oil Product 336,Frozen Foods,Indomie,23829.18,S02340
P00337,Dettol Product 337,Food,Indomie,1867.39,S06002
P00338,Power Oil Product 338,Dairy,Dangote,15206.35,S07372
P00339,Power Oil Product 339,Toiletries,Dettol,19124.49,S09404
P00340,Indomie Product 340,Frozen Foods,Power Oil,10071.24,S04567
P00341,Golden Penny Product 341,Food,Dangote,18444.74,S08177
P00342,Milo Product 342,Frozen Foods,Peak,6692.06,S04265
P00343,Dettol Product 343,Beverages,Nestle,17410.72,S08048
P00344,Golden Penny Product 344,Food,Indomie,21350.09,S07407
P00345,Indomie Product 345,Cleaning,Dettol,24932.11,S05237
P00346,Power Oil Product 346,Cleaning,Peak,13839.93,S04758
P00347,Nestle Product 347,Beverages,Indomie,19883.67,S08336
P00348,Golden Penny Product 348,Food,Golden Penny,19843.23,S03879
P00349,Dettol Product 349,Food,Power Oil,13939.73,S06045
P00350,Dettol Product 350,Frozen Foods,Indomie,15376.32,S01413
P00351,Peak Product 351,Toiletries,Milo,24989.96,S07843
P00352,Milo Product 352,Dairy,Peak,3308.1,S05195
P00353,Peak Product 353,Dairy,Dettol,17066.7,S05645
P00354,Indomie Product 354,Frozen Foods,Indomie,19240.98,S02115
P00355,Milo Product 355,Frozen Foods,Dangote,20818.49,S08489
P00356,Indomie Product 356,Toiletries,Indomie,4216.78,S03695
P00357,Power Oil Product 357,Frozen Foods,Nestle,21179.16,S04106
P00358,Golden Penny Product 358,Cleaning,Nestle,3304.22,S04962
P00359,Peak Product 359,Frozen Foods,Indomie,14876.85,S09514
P00360,Indomie Product 360,Beverages,Power Oil,21094.74,S09235
P00361,Dangote Product 361,Food,Peak,1327.45,S09450
P00362,Nestle Product 362,Cleaning,Golden Penny,19220.58,S06826
P00363,Dangote Product 363,Dairy,Nestle,16119.3,S04950
P00364,Dettol Product 364,Beverages,Milo,7576.36,S01196
P00365,Dangote Product 365,Beverages,Dettol,10507.42,S07610
P00366,Golden Penny Product 366,Toiletries,Indomie,7952.05,S05232
P00367,Power Oil Product 367,Dairy,Indomie,19064.49,S08438
P00368,Peak Product 368,Toiletries,Golden Penny,11768.52,S04383
P00369,Dettol Product 369,Beverages,Indomie,2600.93,S04755
P00370,Milo Product 370,Frozen Foods,Milo,6357.1,S02617
P00371,Power Oil Product 371,Frozen Foods,Power Oil,4907.89,S02611
P00372,Dettol Product 372,Frozen Foods,Dettol,12569.24,S05056
P00373,Dettol Product 373,Food,Peak,23641.77,S08282
P00374,Dettol Product 374,Beverages,Golden Penny,14666.93,S00798
P00375,Dangote Product 375,Toiletries,Dettol,15018.47,S07711
P00376,Nestle Product 376,Frozen Foods,Dangote,21209.87,S07061
P00377,Indomie Product 377,Toiletries,Power Oil,19143.65,S05996
P00378,Dangote Product 378,Dairy,Dangote,14342.98,S03190
P00379,Power Oil Product 379,Frozen Foods,Nestle,2023.59,S08262
P00380,Dettol Product 380,Frozen Foods,Nestle,20667.72,S01947
P00381,Indomie Product 381,Food,Milo,9455.32,S05556
P00382,Power Oil Product 382,Beverages,Golden Penny,15141.08,S06577
P00383,Dangote Product 383,Food,Dangote,3598.5,S05457
P00384,Dettol Product 384,Frozen Foods,Dettol,3893.73,S08447
P00385,Indomie Product 385,Toiletries,Power Oil,4230.05,S04903
P00386,Power Oil Product 386,Frozen Foods,Dettol,17776.75,S04912
P00387,Dettol Product 387,Food,Power Oil,8414.74,S01796
P00388,Milo Product 388,Frozen Foods,Nestle,19959.52,S00437
P00389,Dettol Product 389,Toiletries,Golden Penny,18090.72,S09561
P00390,Dettol Product 390,Beverages,Milo,3864.84,S03969
P00391,Dangote Product 391,Frozen Foods,Peak,4931.45,S07226
P00392,Power Oil Product 392,Dairy,Indomie,10441.41,S03341
P00393,Milo Product 393,Frozen Foods,Dettol,21845.88,S01021
P00394,Indomie Product 394,Frozen Foods,Golden Penny,14109.99,S07838
P00395,Milo Product 395,Toiletries,Indomie,11599.66,S08735
P00396,Power Oil Product 396,Frozen Foods,Power Oil,16961.54,S04332
P00397,Dettol Product 397,Beverages,Golden Penny,7119.36,S04891
P00398,Golden Penny Product 398,Toiletries,Nestle,17681.54,S08012
P00399,Power Oil Product 399,Dairy,Power Oil,14100.09,S04481
P00400,Nestle Product 400,Food,Milo,22414.86,S06465
P00401,Power Oil Product 401,Beverages,Nestle,1243.25,S01295
P00402,Power Oil Product 402,Dairy,Nestle,18733.99,S03506
P00403,Golden Penny Product 403,Frozen Foods,Nestle,23338.99,S04451
P00404,Indomie Product 404,Food,Golden Penny,6212.96,S08701
P00405,Golden Penny Product 405,Cleaning,Golden Penny,1501.78,S06772
P00406,Power Oil Product 406,Cleaning,Dettol,2693.51,S02253
P00407,Dangote Product 407,Frozen Foods,Indomie,10291.3,S07794
P00408,Dettol Product 408,Cleaning,Golden Penny,18946.59,S04707
P00409,Power Oil Product 409,Toiletries,Dangote,22716.84,S01466
P00410,Golden Penny Product 410,Frozen Foods,Dangote,22848.1,S02869
P00411,Milo Product 411,Beverages,Dangote,24929.86,S06505
P00412,Dettol Product 412,Beverages,Nestle,21943.23,S00152
P00413,Nestle Product 413,Frozen Foods,Peak,23225.68,S05490
P00414,Nestle Product 414,Dairy,Dettol,22253.65,S02199
P00415,Dettol Product 415,Toiletries,Golden Penny,20258.58,S05418
P00416,Indomie Product 416,Cleaning,Dettol,16277.48,S03051
P00417,Dangote Product 417,Cleaning,Power Oil,19811.04,S09303
P00418,Golden Penny Product 418,Beverages,Milo,20709.35,S08443
P00419,Power Oil Product 419,Food,Milo,16797.55,S03028
P00420,Indomie Product 420,Dairy,Power Oil,23408.47,S00112
P00421,Nestle Product 421,Dairy,Golden Penny,11279.04,S04375
P00422,Power Oil Product 422,Toiletries,Dangote,6686.52,S05891
P00423,Golden Penny Product 423,Food,Peak,11741.8,S02617
P00424,Milo Product 424,Cleaning,Nestle,17319.2,S04834
