transaction_id,store_id,product_id,quantity_sold,sales_amount,transaction_date,year,month,day
T00051,ST06903,P00686,39,513803.16,2025-05-10,2025,5,10
T00052,ST07836,P05126,27,264741.48,2025-01-06,2025,1,6
T00053,ST07644,P09419,50,812206.5,2025-11-08,2025,11,8
T00054,ST07346,P06958,12,278524.56,2025-06-29,2025,6,29
T00055,ST03910,P01838,37,542946.51,2025-08-06,2025,8,6
T00056,ST01352,P06641,5,69387.2,2025-02-08,2025,2,8
T00057,ST09700,P09650,22,355551.46,2025-06-28,2025,6,28
T00058,ST01589,P09889,41,952855.17,2025-06-20,2025,6,20
T00059,ST08467,P08081,37,520582.97,2025-04-07,2025,4,7
T00060,ST09083,P04579,44,725554.72,2025-06-25,2025,6,25
T00061,ST06043,P05414,10,144392.8,2025-01-03,2025,1,3
T00062,ST08432,P09072,24,202914.96,2025-07-03,2025,7,3
T00063,ST04507,P05769,37,31478.12,2025-05-26,2025,5,26
T00064,ST08188,P08655,41,805231.8,2025-06-23,2025,6,23
T00065,ST01295,P08395,35,773060.05,2025-05-08,2025,5,8
T00066,ST07149,P06753,45,614752.65,2025-06-01,2025,6,1
T00067,ST08695,P01619,24,595943.04,2025-02-21,2025,2,21
T00068,ST06585,P01646,34,368346.82,2025-04-01,2025,4,1
T00069,ST00355,P06019,36,434604.24,2025-12-06,2025,12,6
T00070,ST06816,P04635,43,475877.99,2025-01-27,2025,1,27
T00071,ST00667,P09591,36,721533.96,2025-01-26,2025,1,26
T00072,ST00605,P01739,50,274114.5,2025-12-15,2025,12,15
T00073,ST05351,P00367,7,131255.81,2025-06-03,2025,6,3
T00074,ST05435,P04539,38,102157.3,2025-03-22,2025,3,22
T00075,ST08410,P02313,46,422448.82,2025-04-01,2025,4,1
T00076,ST04846,P06753,4,24546.16,2025-01-31,2025,1,31
T00077,ST07435,P00665,7,149737.7,2025-11-29,2025,11,29
T00078,ST05247,P01793,7,57221.5,2025-12-26,2025,12,26
T00079,ST06249,P03493,23,90458.08,2025-08-25,2025,8,25
T00080,ST06236,P09988,41,204144.74,2025-03-31,2025,3,31
T00081,ST03208,P08945,15,345083.55,2025-08-03,2025,8,3
T00082,ST09569,P04341,19,371978.2,2025-06-25,2025,6,25
T00083,ST00122,P09550,48,158921.28,2025-11-08,2025,11,8
T00084,ST06387,P00208,39,259939.68,2025-02-26,2025,2,26
T00085,ST06345,P08105,18,312835.32,2025-04-23,2025,4,23
T00086,ST05675,P00304,48,537372.0,2025-02-10,2025,2,10
T00087,ST06573,P09905,49,794266.97,2025-07-10,2025,7,10
T00088,ST09603,P00392,16,187093.92,2025-07-08,2025,7,8
T00089,ST07383,P00897,43,26314.71,2025-09-13,2025,9,13
T00090,ST09504,P00908,23,551390.73,2025-08-11,2025,8,11
T00091,ST08004,P08822,50,448383.0,2025-02-24,2025,2,24
T00092,ST03626,P02853,17,393916.35,2025-01-03,2025,1,3
T00093,ST03354,P06673,2,12057.54,2025-12-15,2025,12,15
T00094,ST05244,P08607,7,53266.43,2025-03-25,2025,3,25
T00095,ST02240,P09816,46,597413.96,2025-03-20,2025,3,20
T00096,ST08266,P02169,39,134892.42,2025-03-21,2025,3,21
T00097,ST09134,P08006,20,498526.4,2025-02-10,2025,2,10
T00098,ST01616,P03427,3,68961.18,2025-11-08,2025,11,8
T00099,ST05019,P01533,4,16206.68,2025-06-24,2025,6,24
T00100,ST04807,P01758,21,490297.29,2025-02-13,2025,2,13
T00101,ST06938,P05690,36,249697.44,2025-07-18,2025,7,18
T00102,ST05197,P08463,34,273900.26,2025-01-12,2025,1,12
T00103,ST08947,P05288,18,222643.8,2025-11-06,2025,11,6
T00104,ST09387,P05119,7,133131.32,2025-01-26,2025,1,26
T00105,ST07298,P01747,24,34963.44,2025-02-07,2025,2,7
T00106,ST06376,P04541,8,102458.24,2025-02-11,2025,2,11
T00107,ST05363,P09281,2,21788.9,2025-02-01,2025,2,1
T00108,ST08321,P07036,41,602944.77,2025-04-25,2025,4,25
T00109,ST00524,P02506,48,251156.16,2025-10-28,2025,10,28
T00110,ST08695,P03193,18,216227.52,2025-01-24,2025,1,24
T00111,ST05272,P06663,34,403806.44,2025-08-24,2025,8,24
T00112,ST05468,P00335,47,522454.82,2025-08-19,2025,8,19
T00113,ST07066,P03206,26,291810.22,2025-07-19,2025,7,19
T00114,ST02431,P02434,39,383248.32,2025-05-21,2025,5,21
T00115,ST01155,P01943,23,347772.42,2025-02-01,2025,2,1
T00116,ST05636,P09195,45,155334.6,2025-07-12,2025,7,12
T00117,ST05445,P00475,47,743847.38,2025-02-27,2025,2,27
T00118,ST05433,P04040,21,518123.34,2025-06-09,2025,6,9
T00119,ST09923,P05694,12,254825.16,2025-01-01,2025,1,1
T00120,ST01876,P01912,6,145519.44,2025-12-23,2025,12,23
T00121,ST06659,P08368,5,103084.6,2025-01-04,2025,1,4
T00122,ST00861,P01920,46,495471.98,2025-10-01,2025,10,1
T00123,ST06604,P07489,6,40135.08,2025-07-26,2025,7,26
T00124,ST09091,P04401,28,84682.92,2025-12-31,2025,12,31
T00125,ST01377,P03954,9,38348.91,2025-03-17,2025,3,17
T00126,ST01623,P02079,9,216813.78,2025-07-25,2025,7,25
T00127,ST08319,P03499,4,5956.36,2025-03-28,2025,3,28
T00128,ST07361,P08152,22,142872.84,2025-12-07,2025,12,7
T00129,ST07145,P06985,13,269578.27,2025-10-17,2025,10,17
T00130,ST05351,P05959,14,44601.48,2025-01-12,2025,1,12
T00131,ST09492,P08061,38,473974.76,2025-02-25,2025,2,25
T00132,ST00159,P01791,6,33943.62,2025-08-05,2025,8,5
T00133,ST08635,P04726,44,157956.48,2025-11-03,2025,11,3
T00134,ST08010,P08042,22,523865.98,2025-11-10,2025,11,10
T00135,ST07282,P08394,1,23453.37,2025-02-21,2025,2,21
T00136,ST07627,P00295,38,219283.94,2025-05-03,2025,5,3
T00137,ST06763,P09914,48,1081259.52,2025-03-21,2025,3,21
T00138,ST08782,P03107,10,43286.4,2025-01-07,2025,1,7
T00139,ST08547,P05515,32,98249.92,2025-08-15,2025,8,15
T00140,ST00848,P09375,7,154863.59,2025-01-31,2025,1,31
T00141,ST02785,P05491,49,967283.52,2025-10-10,2025,10,10
T00142,ST01490,P04201,10,159502.0,2025-09-21,2025,9,21
T00143,ST01169,P07958,13,34801.0,2025-08-02,2025,8,2
T00144,ST04574,P08855,4,13356.6,2025-08-16,2025,8,16
T00145,ST02332,P05451,26,133617.12,2025-11-20,2025,11,20
T00146,ST08011,P02472,19,57570.38,2025-01-15,2025,1,15
T00147,ST06413,P02286,15,65416.05,2025-06-13,2025,6,13
T00148,ST09234,P08068,46,348300.96,2025-01-01,2025,1,1
T00149,ST07472,P02130,35,405952.75,2025-05-06,2025,5,6
T00150,ST05801,P01437,36,621644.04,2025-01-31,2025,1,31
T00151,ST03555,P07379,33,336198.72,2025-10-31,2025,10,31
T00152,ST07460,P05457,20,471891.4,2025-04-16,2025,4,16
T00153,ST01910,P07745,14,204140.86,2025-03-03,2025,3,3
T00154,ST01721,P00674,16,326628.0,2025-02-10,2025,2,10
T00155,ST05626,P05829,50,727856.5,2025-09-24,2025,9,24
T00156,ST06344,P00669,30,689101.2,2025-07-02,2025,7,2
T00157,ST03068,P08820,18,166730.76,2025-06-03,2025,6,3
T00158,ST08685,P08286,17,56842.56,2025-08-03,2025,8,3
T00159,ST04046,P05061,27,667130.58,2025-04-18,2025,4,18
T00160,ST01738,P06833,31,476041.58,2025-09-27,2025,9,27
T00161,ST03670,P05341,5,35206.35,2025-11-17,2025,11,17
T00162,ST06664,P01125,8,161916.88,2025-10-24,2025,10,24
T00163,ST05305,P04652,14,315687.12,2025-03-11,2025,3,11
T00164,ST09387,P03433,34,683024.98,2025-01-28,2025,1,28
T00165,ST02932,P02005,1,19087.07,2025-09-03,2025,9,3
T00166,ST06282,P03577,37,518159.1,2025-09-10,2025,9,10
T00167,ST02982,P00094,28,526777.44,2025-12-25,2025,12,25
T00168,ST08529,P03768,42,1033169.76,2025-11-23,2025,11,23
T00169,ST04809,P04342,4,14644.52,2025-05-05,2025,5,5
T00170,ST08568,P07714,24,47357.76,2025-06-27,2025,6,27
T00171,ST09028,P01750,38,362988.16,2025-08-17,2025,8,17
T00172,ST08869,P00409,15,242666.25,2025-07-06,2025,7,6
T00173,ST05902,P04029,24,475660.8,2025-06-22,2025,6,22
T00174,ST01690,P02957,17,121678.52,2025-04-05,2025,4,5
T00175,ST09917,P00314,42,677342.82,2025-07-29,2025,7,29
T00176,ST03412,P05392,1,6556.38,2025-03-17,2025,3,17
T00177,ST08971,P08924,3,55065.84,2025-02-20,2025,2,20
T00178,ST05043,P07030,37,173026.06,2025-04-09,2025,4,9
T00179,ST09860,P06378,2,21954.86,2025-03-01,2025,3,1
T00180,ST00766,P06941,32,604040.64,2025-12-13,2025,12,13
T00181,ST04165,P06693,42,125054.58,2025-06-09,2025,6,9
T00182,ST08651,P04276,11,220809.6,2025-09-19,2025,9,19
T00183,ST03723,P07868,20,51640.2,2025-07-28,2025,7,28
T00184,ST09984,P08683,32,731296.0,2025-12-28,2025,12,28
T00185,ST09818,P00757,20,289734.8,2025-05-24,2025,5,24
T00186,ST04853,P07964,20,429861.8,2025-08-06,2025,8,6
T00187,ST06412,P07128,3,7700.76,2025-12-31,2025,12,31
T00188,ST09658,P08465,46,936042.5,2025-05-23,2025,5,23
T00189,ST01452,P01391,5,76721.75,2025-05-27,2025,5,27
T00190,ST03717,P08720,35,616631.75,2025-08-19,2025,8,19
T00191,ST07056,P08806,19,396051.2,2025-06-18,2025,6,18
T00192,ST08641,P08132,18,318730.32,2025-09-30,2025,9,30
T00193,ST06365,P00368,44,89830.84,2025-12-15,2025,12,15
T00194,ST08833,P01307,1,17246.39,2025-08-14,2025,8,14
T00195,ST01744,P09855,14,220556.56,2025-03-06,2025,3,6
T00196,ST03775,P09652,16,263614.88,2025-09-02,2025,9,2
T00197,ST08449,P00637,15,16860.75,2025-10-16,2025,10,16
T00198,ST08367,P00284,19,453217.83,2025-04-12,2025,4,12
T00199,ST03972,P07327,3,52255.32,2025-12-30,2025,12,30
T00200,ST05233,P05524,6,74299.68,2025-03-01,2025,3,1
T00201,ST04977,P09906,11,215793.38,2025-07-23,2025,7,23
T00202,ST08118,P01360,15,120417.0,2025-04-19,2025,4,19
T00203,ST09282,P02423,39,369077.67,2025-03-04,2025,3,4
T00204,ST01426,P03188,47,912423.69,2025-03-22,2025,3,22
T00205,ST08585,P09414,22,34571.9,2025-07-31,2025,7,31
T00206,ST00780,P01729,36,38456.28,2025-10-23,2025,10,23
T00207,ST08532,P05814,38,330653.2,2025-03-28,2025,3,28
T00208,ST04650,P03795,25,87170.0,2025-08-24,2025,8,24
T00209,ST02251,P05830,7,36356.53,2025-05-20,2025,5,20
T00210,ST01844,P02856,19,116914.6,2025-12-03,2025,12,3
T00211,ST03941,P02764,50,897982.0,2025-03-19,2025,3,19
T00212,ST01031,P04135,16,190378.88,2025-12-14,2025,12,14
T00213,ST03945,P01418,12,135852.0,2025-12-17,2025,12,17
T00214,ST09221,P09032,36,362730.96,2025-12-29,2025,12,29
T00215,ST01483,P05213,46,1005028.7,2025-10-05,2025,10,5
T00216,ST09744,P08547,48,628882.08,2025-01-05,2025,1,5
T00217,ST06435,P02090,13,301827.37,2025-05-21,2025,5,21
T00218,ST07706,P03789,49,536604.39,2025-10-29,2025,10,29
T00219,ST03123,P05890,18,9583.02,2025-05-13,2025,5,13
T00220,ST08834,P04467,25,425116.5,2025-03-11,2025,3,11
T00221,ST04893,P04672,43,1034354.68,2025-11-24,2025,11,24
T00222,ST00673,P03174,14,75045.46,2025-04-29,2025,4,29
T00223,ST00099,P08870,30,195557.7,2025-11-30,2025,11,30
T00224,ST08532,P05286,26,278529.94,2025-01-11,2025,1,11
T00225,ST07522,P07530,49,34252.96,2025-06-07,2025,6,7
T00226,ST06104,P01079,23,175147.07,2025-02-09,2025,2,9
T00227,ST01940,P04697,18,339893.1,2025-03-28,2025,3,28
T00228,ST06201,P00375,15,269526.9,2025-12-01,2025,12,1
T00229,ST08317,P01082,12,24392.88,2025-12-26,2025,12,26
T00230,ST09333,P04057,19,338523.57,2025-10-24,2025,10,24
T00231,ST08331,P00029,44,223531.0,2025-10-16,2025,10,16
T00232,ST02805,P00060,27,157930.83,2025-11-03,2025,11,3
T00233,ST00692,P07367,34,474403.36,2025-07-09,2025,7,9
T00234,ST06232,P09680,39,677552.46,2025-12-08,2025,12,8
T00235,ST01420,P07234,11,153627.76,2025-01-21,2025,1,21
T00236,ST04550,P07984,6,91981.2,2025-05-05,2025,5,5
T00237,ST01672,P08850,47,787435.18,2025-08-31,2025,8,31
T00238,ST06153,P05865,36,204826.68,2025-12-20,2025,12,20
T00239,ST06141,P06683,1,19678.02,2025-05-25,2025,5,25
T00240,ST09967,P02343,22,172963.56,2025-11-27,2025,11,27
T00241,ST05876,P01949,7,50251.74,2025-06-17,2025,6,17
T00242,ST03269,P00031,33,515629.95,2025-07-17,2025,7,17
T00243,ST08219,P08510,8,117298.72,2025-09-17,2025,9,17
T00244,ST02389,P07599,22,33584.76,2025-05-18,2025,5,18
T00245,ST09644,P02787,50,478070.5,2025-05-06,2025,5,6
T00246,ST04035,P07212,10,183061.9,2025-04-02,2025,4,2
T00247,ST02061,P08482,31,674742.28,2025-10-11,2025,10,11
T00248,ST02467,P06667,44,1065886.8,2025-11-18,2025,11,18
T00249,ST01371,P02636,8,163148.56,2025-02-26,2025,2,26
T00250,ST09217,P07234,11,261995.91,2025-06-07,2025,6,7
T00251,ST01344,P09321,38,484982.22,2025-12-07,2025,12,7
T00252,ST07335,P08021,36,458754.84,2025-06-21,2025,6,21
T00253,ST05298,P00736,27,390519.09,2025-02-15,2025,2,15
T00254,ST07356,P07810,27,487505.52,2025-02-28,2025,2,28
T00255,ST09085,P00188,3,35142.27,2025-01-03,2025,1,3
T00256,ST09294,P07713,48,992158.08,2025-05-30,2025,5,30
T00257,ST07758,P05170,29,352168.17,2025-10-10,2025,10,10
T00258,ST03890,P00688,43,908808.87,2025-07-11,2025,7,11
T00259,ST00872,P05608,47,82626.0,2025-08-29,2025,8,29
T00260,ST06814,P01915,6,109218.9,2025-10-24,2025,10,24
T00261,ST05122,P04997,20,118807.8,2025-02-21,2025,2,21
T00262,ST03350,P00312,11,34361.69,2025-01-17,2025,1,17
T00263,ST02129,P00504,9,219450.6,2025-06-22,2025,6,22
T00264,ST03266,P01091,35,793829.4,2025-02-18,2025,2,18
T00265,ST00376,P00634,26,24547.38,2025-08-13,2025,8,13
T00266,ST04721,P05185,43,183187.31,2025-09-23,2025,9,23
T00267,ST09524,P07968,2,41849.6,2025-12-10,2025,12,10
T00268,ST00593,P08185,6,15322.62,2025-02-11,2025,2,11
T00269,ST05730,P06456,1,542.69,2025-09-05,2025,9,5
T00270,ST06272,P02297,27,87538.32,2025-03-18,2025,3,18
T00271,ST06246,P07219,32,35679.68,2025-12-16,2025,12,16
T00272,ST09015,P03936,50,909046.0,2025-02-24,2025,2,24
T00273,ST09206,P00499,21,318724.98,2025-11-10,2025,11,10
T00274,ST03038,P00999,5,109650.25,2025-02-12,2025,2,12
T00275,ST01179,P01907,28,595440.16,2025-04-29,2025,4,29
T00276,ST00493,P09567,24,573854.88,2025-08-29,2025,8,29
T00277,ST02737,P04534,19,317432.43,2025-11-03,2025,11,3
T00278,ST06791,P09362,26,519899.12,2025-09-13,2025,9,13
T00279,ST02903,P01260,36,706053.6,2025-04-28,2025,4,28
T00280,ST04053,P02720,48,439098.72,2025-02-16,2025,2,16
T00281,ST06832,P09946,24,79352.64,2025-01-02,2025,1,2
T00282,ST02980,P02075,4,63217.6,2025-10-09,2025,10,9
T00283,ST05699,P04168,5,92549.05,2025-02-22,2025,2,22
T00284,ST04873,P05352,9,109468.89,2025-10-28,2025,10,28
T00285,ST07323,P06729,15,368095.95,2025-09-13,2025,9,13
T00286,ST05050,P00181,24,429030.72,2025-09-05,2025,9,5
T00287,ST07823,P04172,37,531449.87,2025-12-14,2025,12,14
T00288,ST01815,P01674,5,85776.4,2025-04-14,2025,4,14
T00289,ST06970,P01281,27,335990.97,2025-05-11,2025,5,11
T00290,ST06808,P09661,35,687800.05,2025-01-21,2025,1,21
T00291,ST01546,P05423,35,571870.25,2025-03-28,2025,3,28
T00292,ST02928,P08407,14,220528.84,2025-11-02,2025,11,2
T00293,ST06597,P04735,46,397786.38,2025-06-08,2025,6,8
T00294,ST07701,P06600,48,323569.92,2025-06-30,2025,6,30
T00295,ST06803,P04678,25,134676.5,2025-02-15,2025,2,15
T00296,ST05626,P07906,42,905794.26,2025-01-25,2025,1,25
T00297,ST03204,P08485,4,85375.4,2025-08-19,2025,8,19
T00298,ST01344,P03239,39,352076.79,2025-11-16,2025,11,16
T00299,ST01293,P06759,2,17838.78,2025-12-17,2025,12,17
T00300,ST05717,P09769,15,266502.75,2025-10-08,2025,10,8
T00301,ST02960,P06824,8,36870.88,2025-10-16,2025,10,16
T00302,ST07935,P01679,32,685531.2,2025-01-02,2025,1,2
T00303,ST00704,P07525,36,464177.52,2025-01-20,2025,1,20
T00304,ST03588,P05636,11,47919.74,2025-10-15,2025,10,15
T00305,ST06342,P02068,13,115304.67,2025-01-11,2025,1,11
T00306,ST00948,P03316,17,68391.17,2025-11-01,2025,11,1
T00307,ST01122,P06720,34,535783.56,2025-06-22,2025,6,22
T00308,ST09744,P09665,17,359962.93,2025-10-01,2025,10,1
T00309,ST08057,P08418,3,61288.26,2025-07-19,2025,7,19
T00310,ST03778,P09960,22,382679.66,2025-05-03,2025,5,3
T00311,ST02291,P03507,22,149204.0,2025-05-25,2025,5,25
T00312,ST07919,P03415,8,39718.88,2025-09-24,2025,9,24
T00313,ST02573,P06067,32,466971.52,2025-11-27,2025,11,27
T00314,ST06647,P00019,28,553475.72,2025-10-30,2025,10,30
T00315,ST05607,P08773,8,161534.56,2025-04-20,2025,4,20
T00316,ST04654,P08062,30,161890.8,2025-12-19,2025,12,19
T00317,ST09268,P02038,46,912212.2,2025-02-04,2025,2,4
T00318,ST07527,P06930,12,163062.6,2025-03-12,2025,3,12
T00319,ST07084,P09670,49,489322.82,2025-08-29,2025,8,29
T00320,ST03280,P03543,10,162122.2,2025-12-17,2025,12,17
T00321,ST02831,P00112,45,493731.9,2025-04-17,2025,4,17
T00322,ST07695,P08025,35,575687.7,2025-04-20,2025,4,20
T00323,ST06187,P02273,38,422809.28,2025-06-15,2025,6,15
T00324,ST09033,P01900,17,364156.32,2025-12-31,2025,12,31
T00325,ST08062,P04149,23,27340.1,2025-12-26,2025,12,26
T00326,ST08176,P00792,7,158000.99,2025-01-29,2025,1,29
T00327,ST09403,P05805,16,338940.0,2025-04-24,2025,4,24
T00328,ST07760,P04638,11,98761.19,2025-01-03,2025,1,3
T00329,ST02069,P07059,35,250575.5,2025-02-11,2025,2,11
T00330,ST06530,P03811,35,576859.5,2025-05-04,2025,5,4
T00331,ST06224,P06760,13,238225.39,2025-09-22,2025,9,22
T00332,ST05649,P06371,24,423842.4,2025-02-19,2025,2,19
T00333,ST06069,P07173,41,970456.88,2025-09-12,2025,9,12
T00334,ST05331,P05776,35,350143.5,2025-05-03,2025,5,3
T00335,ST03996,P06802,44,1004299.56,2025-09-06,2025,9,6
T00336,ST09171,P01711,1,15206.36,2025-04-06,2025,4,6
T00337,ST06933,P08498,39,622975.86,2025-06-21,2025,6,21
T00338,ST09666,P08864,32,265488.32,2025-09-19,2025,9,19
T00339,ST05846,P06117,27,429342.66,2025-09-05,2025,9,5
T00340,ST00938,P03242,2,5313.64,2025-07-21,2025,7,21
T00341,ST01248,P00880,45,512114.85,2025-09-23,2025,9,23
T00342,ST05002,P08126,2,41930.64,2025-10-03,2025,10,3
T00343,ST03249,P02625,32,548929.28,2025-03-11,2025,3,11
T00344,ST04143,P06946,15,339084.75,2025-03-05,2025,3,5
T00345,ST02429,P01630,14,110741.12,2025-03-31,2025,3,31
T00346,ST08247,P01164,50,937998.5,2025-01-01,2025,1,1
T00347,ST02809,P06544,18,6569.64,2025-09-26,2025,9,26
T00348,ST07910,P08071,14,330065.26,2025-03-28,2025,3,28
T00349,ST07173,P02750,23,247034.03,2025-05-10,2025,5,10
T00350,ST09899,P02202,45,693685.8,2025-09-21,2025,9,21
T00351,ST05728,P01442,43,1022046.79,2025-12-09,2025,12,9
T00352,ST00853,P08102,43,762348.72,2025-07-05,2025,7,5
T00353,ST02050,P00226,49,477799.0,2025-05-26,2025,5,26
T00354,ST07564,P06379,47,855156.07,2025-10-05,2025,10,5
T00355,ST05031,P09227,25,246965.0,2025-06-12,2025,6,12
T00357,ST03380,P08109,45,1079800.2,2025-08-28,2025,8,28
T00358,ST06375,P04142,26,515546.72,2025-01-20,2025,1,20
T00359,ST09531,P03362,46,344929.16,2025-03-25,2025,3,25
T00360,ST02883,P06955,36,558817.92,2025-03-24,2025,3,24
T00361,ST01066,P02262,19,209201.21,2025-04-22,2025,4,22
T00362,ST09841,P09951,20,33456.6,2025-02-11,2025,2,11
T00363,ST03023,P09077,21,502029.99,2025-03-12,2025,3,12
T00364,ST06838,P02708,26,508823.64,2025-03-04,2025,3,4
T00365,ST04488,P03775,33,72562.38,2025-12-12,2025,12,12
T00366,ST08337,P02543,20,340474.0,2025-07-04,2025,7,4
T00367,ST09310,P09388,25,162540.75,2025-09-11,2025,9,11
T00368,ST04462,P03968,8,5594.0,2025-01-13,2025,1,13
T00369,ST08921,P05372,26,8020.48,2025-03-27,2025,3,27
T00370,ST02333,P03387,47,688750.69,2025-11-01,2025,11,1
T00371,ST02089,P09758,38,533121.0,2025-02-20,2025,2,20
T00372,ST08024,P09604,5,48209.05,2025-03-12,2025,3,12
T00373,ST05748,P09606,30,97337.7,2025-02-21,2025,2,21
T00374,ST03045,P06522,19,381553.82,2025-10-05,2025,10,5
T00375,ST03318,P04321,1,15832.77,2025-03-14,2025,3,14
T00376,ST05045,P01278,18,348755.04,2025-01-15,2025,1,15
T00377,ST05485,P04147,5,78590.65,2025-06-02,2025,6,2
T00378,ST02832,P00343,36,218651.76,2025-03-25,2025,3,25
T00379,ST07850,P08051,44,14508.56,2026-01-01,2026,1,1
T00380,ST01439,P00058,3,61346.67,2025-07-27,2025,7,27
T00381,ST00995,P03964,32,557239.36,2025-11-16,2025,11,16
T00382,ST04075,P07312,36,774846.0,2025-08-14,2025,8,14
T00383,ST04034,P02382,37,603487.02,2025-02-03,2025,2,3
T00384,ST06946,P00029,13,150576.66,2025-05-01,2025,5,1
T00385,ST01295,P09044,28,128679.6,2025-09-22,2025,9,22
T00386,ST08695,P00358,20,243790.4,2025-06-15,2025,6,15
T00387,ST02123,P02516,12,185840.76,2025-11-14,2025,11,14
T00388,ST06004,P07994,23,168398.87,2025-04-20,2025,4,20
T00389,ST05425,P06810,41,655034.04,2025-03-28,2025,3,28
T00390,ST03409,P02722,42,221132.52,2025-05-19,2025,5,19
T00391,ST06161,P06202,21,106629.39,2025-04-17,2025,4,17
T00392,ST02889,P02973,35,729362.2,2025-03-03,2025,3,3
T00393,ST00906,P09656,8,99366.64,2025-09-14,2025,9,14
T00394,ST08029,P05570,14,16363.62,2025-10-01,2025,10,1
T00395,ST01871,P08215,16,382585.76,2025-05-15,2025,5,15
T00396,ST05953,P07100,19,395222.23,2025-05-29,2025,5,29
T00397,ST05312,P09554,50,539653.0,2025-01-10,2025,1,10
T00398,ST02464,P05875,37,304663.18,2025-04-21,2025,4,21
T00399,ST00722,P06467,33,537650.85,2025-05-03,2025,5,3
T00400,ST03567,P09075,41,40684.3,2025-01-16,2025,1,16
T00401,ST08031,P05334,33,516902.76,2025-12-22,2025,12,22
T00402,ST00560,P02790,25,542622.25,2025-04-06,2025,4,6
T00403,ST03184,P09770,43,521051.21,2025-06-06,2025,6,6
T00404,ST04296,P03134,23,342165.48,2025-07-26,2025,7,26
T00405,ST00327,P07592,42,287560.98,2025-12-15,2025,12,15
T00406,ST03858,P06099,49,680270.92,2025-05-15,2025,5,15
T00407,ST08984,P01642,50,233811.0,2025-12-23,2025,12,23
T00408,ST08543,P02067,9,11568.96,2025-11-29,2025,11,29
T00409,ST09838,P01991,7,38237.57,2025-04-09,2025,4,9
T00410,ST00032,P08200,29,291282.67,2025-09-13,2025,9,13
T00411,ST08404,P05332,4,75363.64,2025-01-20,2025,1,20
